proteinA,proteinB,interaction
P09798,P09798,1
P38717,P06782,1
P07342,P25605,1
P15790,P38930,1
P22035,P07269,1
P33418,P50278,1
P14922,P27705,1
P05453,P05453,1
P12385,P05453,1
P19262,P09624,1
P19262,P20967,1
P31688,Q00764,1
P38427,Q00764,1
P38427,P31688,1
P53886,P09798,1
P14724,P09798,1
P53886,P53886,1
P16522,P09798,1
P38042,P09798,1
P16522,P16522,1
P38042,P16522,1
P00937,P00899,1
Q04199,P13712,1
Q12495,P13712,1
Q12495,Q04199,1
P46677,P13393,1
P13393,P23255,1
P38995,P38636,1
P46678,P13393,1
P46678,P29056,1
P13393,P29056,1
P02309,P06701,1
P02309,P11978,1
P11978,P06701,1
P11938,P06701,1
P06701,P02293,1
P06701,P06701,1
P11978,P11938,1
P11978,P06700,1
Q07468,P38959,1
P14747,P25296,1
P07278,P05986,1
P25302,P09959,1
P24869,P25302,1
P29295,P09959,1
P38930,P38930,1
P53378,P53540,1
P38863,P53378,1
P53540,P38863,1
P53540,P32380,1
P32380,P38863,1
P07149,P19097,1
P33304,P32468,1
Q04921,Q04921,1
P32524,Q07350,1
Q07350,P19736,1
P19736,P19736,1
P32524,P19736,1
P43639,P15790,1
P16649,P14922,1
P38042,P38042,1
P43639,P43639,1
P14306,P40368,1
P36517,Q00916,1
P47093,P38999,1
Q12186,Q02875,1
P32524,P38167,1
P40567,P31244,1
P40567,P32606,1
P40567,P38883,1
P40070,P47093,1
P19736,Q04052,1
P22035,P40567,1
P42073,P40020,1
P32578,P06782,1
P22543,P22219,1
P11978,P11978,1
P15646,P33750,1
P26309,P40957,1
P26309,P40958,1
P18851,P18852,1
P18851,P08539,1
P20433,P34087,1
P20676,Q02821,1
P13902,P26798,1
Q01649,P17119,1
P07270,P07269,1
P06787,P32380,1
P39520,P32605,1
P32605,Q06205,1
P53863,P32605,1
O13329,Q00916,1
P39723,Q00916,1
P25607,Q00916,1
Q00916,P43611,1
P42937,Q00916,1
Q00916,Q07938,1
Q00916,Q05790,1
Q03677,Q00916,1
Q00916,Q04213,1
Q01722,Q00916,1
P32361,Q00916,1
P28742,Q00916,1
P35191,Q00916,1
Q00916,P08964,1
P12689,Q00916,1
P22579,Q00916,1
Q00916,P09547,1
Q00916,P33315,1
Q00916,P32639,1
Q00916,P14922,1
P21560,Q00916,1
Q00916,P32828,1
Q02554,P32639,1
Q02554,P09547,1
Q99181,Q02554,1
Q02554,P39102,1
P27705,Q02554,1
Q02554,P14922,1
P53236,Q99181,1
Q99181,P47093,1
P25644,P47093,1
P39081,P47093,1
P47093,P39998,1
P53147,P47093,1
P38768,P47093,1
P47093,P48240,1
P47093,P53742,1
Q12186,P24384,1
Q12186,P09547,1
P27351,Q12186,1
Q12186,Q12510,1
Q12186,P40467,1
Q12186,Q04746,1
P39682,Q12186,1
P32909,Q12186,1
P36084,P32909,1
P36084,Q02875,1
P36084,Q12186,1
P39682,P36084,1
P36084,P27705,1
P36084,P09547,1
Q07350,P21560,1
Q07350,P46958,1
Q07350,P32843,1
P39935,Q07350,1
P38267,Q07350,1
Q07350,Q03899,1
Q07350,Q04195,1
Q07350,P40071,1
Q07350,P36056,1
Q07350,Q12431,1
P53971,Q07350,1
P53742,Q07350,1
P53742,P32524,1
P32524,Q12471,1
P11075,P32524,1
P32524,P25648,1
P32524,P36166,1
Q03264,P32524,1
Q12411,P32524,1
P32522,P32524,1
Q02260,P33418,1
Q02260,P17121,1
Q02775,Q02260,1
P38227,Q02260,1
Q02260,P53090,1
Q02260,P47104,1
P34230,Q02260,1
Q02260,Q12745,1
P32468,P43321,1
P43321,P38927,1
Q00416,P43321,1
P43321,P23201,1
P43321,P40018,1
P31244,P43321,1
P43321,P53339,1
P38699,P43321,1
P43321,Q04301,1
P53742,P40018,1
P32578,P40018,1
P40018,P47818,1
P40018,P53873,1
P19736,P25588,1
P19736,Q04693,1
Q12433,P19736,1
P19736,Q08562,1
Q12080,P19736,1
P32828,P19736,1
P53742,P19736,1
P32606,P19736,1
P19736,Q01846,1
P19736,P50105,1
P38111,P40567,1
P40567,P53615,1
P12954,P40567,1
Q00578,P40567,1
P40567,P09547,1
Q03441,P40567,1
Q04005,P40567,1
P40567,P38811,1
P40567,P53935,1
P40020,Q06199,1
Q06199,P40460,1
P32769,Q06199,1
Q06199,P53742,1
P32499,Q02821,1
Q07350,Q04002,1
P36048,P40567,1
P34077,P14306,1
P12904,P06782,1
P47093,P38203,1
P53952,P47093,1
P48837,P14306,1
Q00916,Q12033,1
P38892,Q99181,1
P43321,Q02046,1
P14306,Q02199,1
P47093,P38769,1
Q08491,P47093,1
P18900,P47093,1
P22147,P47093,1
P47093,P53550,1
Q04477,Q07350,1
Q03497,P32524,1
P19736,Q03388,1
P40567,P32522,1
P40567,Q06199,1
O13329,P32605,1
Q04149,Q07350,1
P40567,P07866,1
Q02336,P07248,1
P32629,P50108,1
P14724,P38042,1
Q12157,P53886,1
Q03048,P46680,1
P35197,P39010,1
P48360,P40576,1
Q08484,P39110,1
P53091,P32354,1
P46985,P47124,1
P35189,P41895,1
Q12018,P53061,1
P25630,P06243,1
P43592,P46671,1
P11938,P29539,1
P32917,P23561,1
P06784,P32917,1
P25344,P23561,1
P24719,Q06891,1
Q01852,P38523,1
P18851,P32917,1
P06782,P46954,1
P21182,P21182,1
P15891,P39743,1
P17555,P15891,1
Q03497,P29366,1
P32599,Q12446,1
P13517,Q12446,1
Q12446,Q03048,1
Q12446,P32790,1
Q12446,P29366,1
P07274,P41832,1
P40450,P07274,1
Q00246,P40450,1
P17555,P17555,1
P06100,Q02336,1
Q02336,P32494,1
P13393,P32494,1
Q02336,Q03330,1
P50875,P32494,1
P33200,P32494,1
P03069,Q02336,1
Q02336,P13393,1
P04387,P04386,1
P04386,P13393,1
Q02336,P04386,1
P03069,P34162,1
P47822,P03069,1
P32494,P03069,1
Q05027,P03069,1
P53040,P03069,1
P38129,P03069,1
Q02336,P38129,1
P32494,Q05027,1
P53040,P32494,1
P32494,P38129,1
P46677,Q05027,1
P46677,P38129,1
P38811,Q02336,1
P35177,P38811,1
P32494,P35177,1
P38811,P32494,1
P07248,P38129,1
P13393,P07248,1
P07248,P46677,1
P53040,P07248,1
P07248,Q12030,1
Q12060,Q12060,1
Q12060,Q02336,1
Q12060,P32494,1
P50875,Q12060,1
Q03330,Q12060,1
P07248,Q03330,1
P07248,P29055,1
P13574,P11746,1
P23642,P39107,1
P38042,Q12440,1
P09798,Q12440,1
Q12440,P16522,1
P25454,P06778,1
P25454,P32863,1
P32349,P32910,1
P25441,P36121,1
P07703,P28000,1
P20434,P10964,1
P20434,P04050,1
P04051,P20434,1
P28000,P22138,1
P16370,P28000,1
P04050,P27999,1
P04051,P27999,1
P22276,Q04307,1
P39107,P32629,1
P22138,P40422,1
P22139,P04050,1
P22139,P08518,1
P29056,P33339,1
P22138,P32529,1
P16370,P38902,1
P22138,P22139,1
P16522,P14724,1
P32523,Q03654,1
Q08920,Q02821,1
Q08683,P09798,1
P09798,P53068,1
P09798,Q12107,1
Q12157,P09798,1
P53886,P53068,1
P53886,P16522,1
P53886,P14724,1
P53886,P38042,1
Q08683,P53886,1
Q04601,P53886,1
Q12107,Q12440,1
Q12440,P53068,1
P53068,P16522,1
P16522,Q12107,1
P16522,Q12157,1
Q08683,P16522,1
P53068,P38042,1
Q12157,P38042,1
P38042,Q08683,1
P38042,Q04601,1
P32830,P87108,1
P39010,P18852,1
P06783,P39010,1
P39010,P18851,1
P32917,P39010,1
P35189,Q06697,1
P35189,P38351,1
P04050,P35189,1
P35189,P22082,1
P35189,P41896,1
P08524,P08524,1
P21264,P21264,1
P10862,P21264,1
P21264,P25365,1
P38275,P21264,1
P38972,Q06708,1
Q12343,P04161,1
P38633,P04161,1
P04161,P25337,1
P25649,Q12433,1
P46680,Q12107,1
Q08269,P32502,1
P40356,Q08269,1
Q08269,P53190,1
P48232,Q08269,1
P38316,P40344,1
