Filename,Algorithm,Time [s],Test,Dataset,Encoding,Part_Train,Part_Test,Model
original_du_MDS,RF,85.6729238033295,original,du,MDS,,,RF_MDS
original_du_MDS,SVM,460.136021375656,original,du,MDS,,,SVM_MDS
original_du_node2vec,RF,86.6651229858399,original,du,node2vec,,,RF_node2vec
original_du_node2vec,SVM,221.32684135437,original,du,node2vec,,,SVM_node2vec
original_du_PCA,RF,78.5944142341614,original,du,PCA,,,RF_PCA
original_du_PCA,SVM,195.196630716324,original,du,PCA,,,SVM_PCA
original_guo_MDS,RF,26.1644957065582,original,guo,MDS,,,RF_MDS
original_guo_MDS,SVM,14.9461741447449,original,guo,MDS,,,SVM_MDS
original_guo_node2vec,RF,23.6284873485565,original,guo,node2vec,,,RF_node2vec
original_guo_node2vec,SVM,13.734363079071,original,guo,node2vec,,,SVM_node2vec
original_guo_PCA,RF,29.2991137504578,original,guo,PCA,,,RF_PCA
original_guo_PCA,SVM,16.6371290683746,original,guo,PCA,,,SVM_PCA
original_huang_MDS,RF,15.638356924057,original,huang,MDS,,,RF_MDS
original_huang_MDS,SVM,5.1048104763031,original,huang,MDS,,,SVM_MDS
original_huang_node2vec,RF,14.8136177062988,original,huang,node2vec,,,RF_node2vec
original_huang_node2vec,SVM,5.47886919975281,original,huang,node2vec,,,SVM_node2vec
original_huang_PCA,RF,12.6359446048737,original,huang,PCA,,,RF_PCA
original_huang_PCA,SVM,4.47478103637695,original,huang,PCA,,,SVM_PCA
original_pan_MDS,RF,241.229857683182,original,pan,MDS,,,RF_MDS
original_pan_MDS,SVM,2295.07999753952,original,pan,MDS,,,SVM_MDS
original_pan_node2vec,RF,198.555185079575,original,pan,node2vec,,,RF_node2vec
original_pan_node2vec,SVM,530.803087949753,original,pan,node2vec,,,SVM_node2vec
original_pan_PCA,RF,188.276500701904,original,pan,PCA,,,RF_PCA
original_pan_PCA,SVM,565.645359277725,original,pan,PCA,,,SVM_PCA
original_Richoux-Regular_MDS,RF,394.383779764175,original,Richoux-Regular,MDS,,,RF_MDS
original_Richoux-Regular_MDS,SVM,2913.34124541283,original,Richoux-Regular,MDS,,,SVM_MDS
original_Richoux-Regular_node2vec,RF,258.479194879532,original,Richoux-Regular,node2vec,,,RF_node2vec
original_Richoux-Regular_node2vec,SVM,1154.36356902123,original,Richoux-Regular,node2vec,,,SVM_node2vec
original_Richoux-Regular_PCA,RF,268.841130495071,original,Richoux-Regular,PCA,,,RF_PCA
original_Richoux-Regular_PCA,SVM,1364.78391981125,original,Richoux-Regular,PCA,,,SVM_PCA
original_Richoux-Strict_MDS,RF,389.877366065979,original,Richoux-Strict,MDS,,,RF_MDS
original_Richoux-Strict_MDS,SVM,2770.54640173912,original,Richoux-Strict,MDS,,,SVM_MDS
original_Richoux-Strict_node2vec,RF,255.426694393158,original,Richoux-Strict,node2vec,,,RF_node2vec
original_Richoux-Strict_node2vec,SVM,1031.89322710037,original,Richoux-Strict,node2vec,,,SVM_node2vec
original_Richoux-Strict_PCA,RF,267.606883525848,original,Richoux-Strict,PCA,,,RF_PCA
original_Richoux-Strict_PCA,SVM,1213.31509995461,original,Richoux-Strict,PCA,,,SVM_PCA
rewired_du_MDS,RF,76.0972993373871,rewired,du,MDS,,,RF_MDS
rewired_du_MDS,SVM,412.550728797913,rewired,du,MDS,,,SVM_MDS
rewired_du_node2vec,RF,76.1136667728424,rewired,du,node2vec,,,RF_node2vec
rewired_du_node2vec,SVM,220.127048492432,rewired,du,node2vec,,,SVM_node2vec
rewired_du_PCA,RF,68.0436372756958,rewired,du,PCA,,,RF_PCA
rewired_du_PCA,SVM,204.946128606796,rewired,du,PCA,,,SVM_PCA
rewired_guo_MDS,RF,26.7314560413361,rewired,guo,MDS,,,RF_MDS
rewired_guo_MDS,SVM,13.9638195037842,rewired,guo,MDS,,,SVM_MDS
rewired_guo_node2vec,RF,24.2772395610809,rewired,guo,node2vec,,,RF_node2vec
rewired_guo_node2vec,SVM,12.9625685214996,rewired,guo,node2vec,,,SVM_node2vec
rewired_guo_PCA,RF,22.9407465457916,rewired,guo,PCA,,,RF_PCA
rewired_guo_PCA,SVM,13.2650856971741,rewired,guo,PCA,,,SVM_PCA
rewired_huang_MDS,RF,14.034708738327,rewired,huang,MDS,,,RF_MDS
rewired_huang_MDS,SVM,4.57458567619324,rewired,huang,MDS,,,SVM_MDS
rewired_huang_node2vec,RF,13.9129023551941,rewired,huang,node2vec,,,RF_node2vec
rewired_huang_node2vec,SVM,5.25099301338196,rewired,huang,node2vec,,,SVM_node2vec
rewired_huang_PCA,RF,12.9678039550781,rewired,huang,PCA,,,RF_PCA
rewired_huang_PCA,SVM,4.3585376739502,rewired,huang,PCA,,,SVM_PCA
rewired_pan_MDS,RF,188.138916492462,rewired,pan,MDS,,,RF_MDS
rewired_pan_MDS,SVM,2080.50633978844,rewired,pan,MDS,,,SVM_MDS
rewired_pan_node2vec,RF,197.511651515961,rewired,pan,node2vec,,,RF_node2vec
rewired_pan_node2vec,SVM,619.585469961166,rewired,pan,node2vec,,,SVM_node2vec
rewired_pan_PCA,RF,195.953865289688,rewired,pan,PCA,,,RF_PCA
rewired_pan_PCA,SVM,668.45999622345,rewired,pan,PCA,,,SVM_PCA
rewired_Richoux-Regular_MDS,RF,369.881005048752,rewired,Richoux-Regular,MDS,,,RF_MDS
rewired_Richoux-Regular_MDS,SVM,2754.62496590614,rewired,Richoux-Regular,MDS,,,SVM_MDS
rewired_Richoux-Regular_node2vec,RF,250.678208112717,rewired,Richoux-Regular,node2vec,,,RF_node2vec
rewired_Richoux-Regular_node2vec,SVM,1175.74509525299,rewired,Richoux-Regular,node2vec,,,SVM_node2vec
rewired_Richoux-Regular_PCA,RF,268.502116203308,rewired,Richoux-Regular,PCA,,,RF_PCA
rewired_Richoux-Regular_PCA,SVM,1399.84995341301,rewired,Richoux-Regular,PCA,,,SVM_PCA
rewired_Richoux-Strict_MDS,RF,384.913528203964,rewired,Richoux-Strict,MDS,,,RF_MDS
rewired_Richoux-Strict_MDS,SVM,2625.74417734146,rewired,Richoux-Strict,MDS,,,SVM_MDS
rewired_Richoux-Strict_node2vec,RF,245.731874227524,rewired,Richoux-Strict,node2vec,,,RF_node2vec
rewired_Richoux-Strict_node2vec,SVM,1074.09765768051,rewired,Richoux-Strict,node2vec,,,SVM_node2vec
rewired_Richoux-Strict_PCA,RF,262.637027740479,rewired,Richoux-Strict,PCA,,,RF_PCA
rewired_Richoux-Strict_PCA,SVM,1254.42660140991,rewired,Richoux-Strict,PCA,,,SVM_PCA
partition_du_MDS,RF,37.7117278575897,partition,du,MDS,both,0,RF_MDS_both_0
partition_du_MDS,SVM,91.7260162830353,partition,du,MDS,both,0,SVM_MDS_both_0
