Model	Dataset	Seed	Metric	Value	Split
dscript	guo	7413	Accuracy	0.5953	original
dscript	guo	7413	Precision	0.6921	original
dscript	guo	7413	Sensitivity	0.3432	original
dscript	guo	7413	Recall	0.3432	original
dscript	guo	7413	Specificity	0.8473	original
dscript	guo	7413	MCC	0.2206	original
dscript	guo	7413	F1	0.4589	original
dscript	guo	7413	AUC	0.690435909106824	original
dscript	guo	7413	AUPR	0.6426584803334103	original
dscript	guo	7413	TP	290	original
dscript	guo	7413	FP	129	original
dscript	guo	7413	TN	716	original
dscript	guo	7413	FN	555	original
dscript	guo	17612	Accuracy	0.4944	original
dscript	guo	17612	Precision	0.4045	original
dscript	guo	17612	Sensitivity	0.0235	original
dscript	guo	17612	Recall	0.0235	original
dscript	guo	17612	Specificity	0.9653	original
dscript	guo	17612	MCC	-0.0331	original
dscript	guo	17612	F1	0.0445	original
dscript	guo	17612	AUC	0.3763724735771166	original
dscript	guo	17612	AUPR	0.4232812348067971	original
dscript	guo	17612	TP	36	original
dscript	guo	17612	FP	53	original
dscript	guo	17612	TN	1476	original
dscript	guo	17612	FN	1493	original
dscript	guo	29715	Accuracy	0.5158	original
dscript	guo	29715	Precision	0.6438	original
dscript	guo	29715	Sensitivity	0.0706	original
dscript	guo	29715	Recall	0.0706	original
dscript	guo	29715	Specificity	0.961	original
dscript	guo	29715	MCC	0.0692	original
dscript	guo	29715	F1	0.1272	original
dscript	guo	29715	AUC	0.7718380990982939	original
dscript	guo	29715	AUPR	0.7086866377655288	original
dscript	guo	29715	TP	150	original
dscript	guo	29715	FP	83	original
dscript	guo	29715	TN	2043	original
dscript	guo	29715	FN	1976	original
dscript	guo	30940	Accuracy	0.5002	original
dscript	guo	30940	Precision	1.0	original
dscript	guo	30940	Sensitivity	0.0004	original
dscript	guo	30940	Recall	0.0004	original
dscript	guo	30940	Specificity	1.0	original
dscript	guo	30940	MCC	0.0139	original
dscript	guo	30940	F1	0.0008	original
dscript	guo	30940	AUC	0.3638047635384821	original
dscript	guo	30940	AUPR	0.4077859604642738	original
dscript	guo	30940	TP	1	original
dscript	guo	30940	FP	0	original
dscript	guo	30940	TN	2583	original
dscript	guo	30940	FN	2582	original
dscript	guo	31191	Accuracy	0.4993	original
dscript	guo	31191	Precision	0.4937	original
dscript	guo	31191	Sensitivity	0.0535	original
dscript	guo	31191	Recall	0.0535	original
dscript	guo	31191	Specificity	0.9451	original
dscript	guo	31191	MCC	-0.003	original
dscript	guo	31191	F1	0.0965	original
dscript	guo	31191	AUC	0.5978862288830393	original
dscript	guo	31191	AUPR	0.5339168726287834	original
dscript	guo	31191	TP	157	original
dscript	guo	31191	FP	161	original
dscript	guo	31191	TN	2774	original
dscript	guo	31191	FN	2778	original
dscript	guo	42446	Accuracy	0.5015	original
dscript	guo	42446	Precision	0.524	original
dscript	guo	42446	Sensitivity	0.0336	original
dscript	guo	42446	Recall	0.0336	original
dscript	guo	42446	Specificity	0.9695	original
dscript	guo	42446	MCC	0.0088	original
dscript	guo	42446	F1	0.0632	original
dscript	guo	42446	AUC	0.6427900538924457	original
dscript	guo	42446	AUPR	0.5686341062189675	original
dscript	guo	42446	TP	109	original
dscript	guo	42446	FP	99	original
dscript	guo	42446	TN	3143	original
dscript	guo	42446	FN	3133	original
dscript	guo	50495	Accuracy	0.4582	original
dscript	guo	50495	Precision	0.1906	original
dscript	guo	50495	Sensitivity	0.0257	original
dscript	guo	50495	Recall	0.0257	original
dscript	guo	50495	Specificity	0.8907	original
dscript	guo	50495	MCC	-0.1665	original
dscript	guo	50495	F1	0.0454	original
dscript	guo	50495	AUC	0.5696450858203924	original
dscript	guo	50495	AUPR	0.4910641275732964	original
dscript	guo	50495	TP	89	original
dscript	guo	50495	FP	378	original
dscript	guo	50495	TN	3080	original
dscript	guo	50495	FN	3369	original
dscript	guo	60688	Accuracy	0.4889	original
dscript	guo	60688	Precision	0.2453	original
dscript	guo	60688	Sensitivity	0.0106	original
dscript	guo	60688	Recall	0.0106	original
dscript	guo	60688	Specificity	0.9673	original
dscript	guo	60688	MCC	-0.0759	original
dscript	guo	60688	F1	0.0204	original
dscript	guo	60688	AUC	0.3419476668980753	original
dscript	guo	60688	AUPR	0.3957252178326919	original
dscript	guo	60688	TP	39	original
dscript	guo	60688	FP	120	original
dscript	guo	60688	TN	3545	original
dscript	guo	60688	FN	3626	original
dscript	guo	75212	Accuracy	0.4891	original
dscript	guo	75212	Precision	0.4486	original
dscript	guo	75212	Sensitivity	0.0951	original
dscript	guo	75212	Recall	0.0951	original
dscript	guo	75212	Specificity	0.8831	original
dscript	guo	75212	MCC	-0.0354	original
dscript	guo	75212	F1	0.1569	original
dscript	guo	75212	AUC	0.5653734154302925	original
dscript	guo	75212	AUPR	0.5128804297396163	original
dscript	guo	75212	TP	362	original
dscript	guo	75212	FP	445	original
dscript	guo	75212	TN	3361	original
dscript	guo	75212	FN	3444	original
dscript	guo	81645	Accuracy	0.5479	original
dscript	guo	81645	Precision	0.7845	original
dscript	guo	81645	Sensitivity	0.132	original
dscript	guo	81645	Recall	0.132	original
dscript	guo	81645	Specificity	0.9637	original
dscript	guo	81645	MCC	0.1725	original
dscript	guo	81645	F1	0.226	original
dscript	guo	81645	AUC	0.7769206385682583	original
dscript	guo	81645	AUPR	0.7303068700927079	original
dscript	guo	81645	TP	517	original
dscript	guo	81645	FP	142	original
dscript	guo	81645	TN	3774	original
dscript	guo	81645	FN	3399	original
dscript	huang	7413	Accuracy	0.6984	original
dscript	huang	7413	Precision	0.7415	original
dscript	huang	7413	Sensitivity	0.6091	original
dscript	huang	7413	Recall	0.6091	original
dscript	huang	7413	Specificity	0.7877	original
dscript	huang	7413	MCC	0.4033	original
dscript	huang	7413	F1	0.6688	original
dscript	huang	7413	AUC	0.7709691515495087	original
dscript	huang	7413	AUPR	0.7724604813518157	original
dscript	huang	7413	TP	307	original
dscript	huang	7413	FP	107	original
dscript	huang	7413	TN	397	original
dscript	huang	7413	FN	197	original
dscript	huang	17612	Accuracy	0.4712	original
dscript	huang	17612	Precision	0.0364	original
dscript	huang	17612	Sensitivity	0.0023	original
dscript	huang	17612	Recall	0.0023	original
dscript	huang	17612	Specificity	0.94	original
dscript	huang	17612	MCC	-0.1662	original
dscript	huang	17612	F1	0.0043	original
dscript	huang	17612	AUC	0.5391423189533384	original
dscript	huang	17612	AUPR	0.46846825336194897	original
dscript	huang	17612	TP	2	original
dscript	huang	17612	FP	53	original
dscript	huang	17612	TN	831	original
dscript	huang	17612	FN	882	original
dscript	huang	29715	Accuracy	0.4962	original
dscript	huang	29715	Precision	0.0	original
dscript	huang	29715	Sensitivity	0.0	original
dscript	huang	29715	Recall	0.0	original
dscript	huang	29715	Specificity	0.9924	original
dscript	huang	29715	MCC	-0.0618	original
dscript	huang	29715	F1	0.0	original
dscript	huang	29715	AUC	0.7119852317524468	original
dscript	huang	29715	AUPR	0.6013051909160925	original
dscript	huang	29715	TP	0	original
dscript	huang	29715	FP	9	original
dscript	huang	29715	TN	1174	original
dscript	huang	29715	FN	1183	original
dscript	huang	30940	Accuracy	0.7206	original
dscript	huang	30940	Precision	0.8241	original
dscript	huang	30940	Sensitivity	0.5609	original
dscript	huang	30940	Recall	0.5609	original
dscript	huang	30940	Specificity	0.8803	original
dscript	huang	30940	MCC	0.4656	original
dscript	huang	30940	F1	0.6675	original
dscript	huang	30940	AUC	0.8215317033815036	original
dscript	huang	30940	AUPR	0.7716426661088495	original
dscript	huang	30940	TP	806	original
dscript	huang	30940	FP	172	original
dscript	huang	30940	TN	1265	original
dscript	huang	30940	FN	631	original
dscript	huang	31191	Accuracy	0.7731	original
dscript	huang	31191	Precision	0.9703	original
dscript	huang	31191	Sensitivity	0.5633	original
