Model	Dataset	Metric	Value	Split
dscript	du	Accuracy	0.6613	Original
dscript	du	Precision	0.8463	Original
dscript	du	Sensitivity	0.3942	Original
dscript	du	Recall	0.3942	Original
dscript	du	Specificity	0.9284	Original
dscript	du	MCC	0.3817	Original
dscript	du	F1	0.5379	Original
dscript	du	AUC	0.8023778850212254	Original
dscript	du	AUPR	0.7730831501447901	Original
dscript	du	TP	1107	Original
dscript	du	FP	201	Original
dscript	du	TN	2607	Original
dscript	du	FN	1701	Original
dscript	guo	Accuracy	0.4703	Original
dscript	guo	Precision	0.2636	Original
dscript	guo	Sensitivity	0.0331	Original
dscript	guo	Recall	0.0331	Original
dscript	guo	Specificity	0.9074	Original
dscript	guo	MCC	-0.1224	Original
dscript	guo	F1	0.0589	Original
dscript	guo	AUC	0.594435918367347	Original
dscript	guo	AUPR	0.5129437972110895	Original
dscript	guo	TP	29	Original
dscript	guo	FP	81	Original
dscript	guo	TN	794	Original
dscript	guo	FN	846	Original
dscript	huang	Accuracy	0.5917	Original
dscript	huang	Precision	0.5696	Original
dscript	huang	Sensitivity	0.75	Original
dscript	huang	Recall	0.75	Original
dscript	huang	Specificity	0.4333	Original
dscript	huang	MCC	0.1933	Original
dscript	huang	F1	0.6475	Original
dscript	huang	AUC	0.5314735243055556	Original
dscript	huang	AUPR	0.46411018940138676	Original
dscript	huang	TP	360	Original
dscript	huang	FP	272	Original
dscript	huang	TN	208	Original
dscript	huang	FN	120	Original
dscript	pan	Accuracy	0.6928	Original
dscript	pan	Precision	0.9623	Original
dscript	pan	Sensitivity	0.4014	Original
dscript	pan	Recall	0.4014	Original
dscript	pan	Specificity	0.9843	Original
dscript	pan	MCC	0.4747	Original
dscript	pan	F1	0.5665	Original
dscript	pan	AUC	0.8386790657205601	Original
dscript	pan	AUPR	0.8697895674673646	Original
dscript	pan	TP	1789	Original
dscript	pan	FP	70	Original
dscript	pan	TN	4387	Original
dscript	pan	FN	2668	Original
dscript	richoux_regular	Accuracy	0.5684	Original
dscript	richoux_regular	Precision	0.9585	Original
dscript	richoux_regular	Sensitivity	0.143	Original
dscript	richoux_regular	Recall	0.143	Original
dscript	richoux_regular	Specificity	0.9938	Original
dscript	richoux_regular	MCC	0.2603	Original
dscript	richoux_regular	F1	0.2488	Original
dscript	richoux_regular	AUC	0.8620568636060431	Original
dscript	richoux_regular	AUPR	0.8658006791215598	Original
dscript	richoux_regular	TP	878	Original
dscript	richoux_regular	FP	38	Original
dscript	richoux_regular	TN	6104	Original
dscript	richoux_regular	FN	5264	Original
dscript	richoux_strict	Accuracy	0.5045	Original
dscript	richoux_strict	Precision	0.6667	Original
dscript	richoux_strict	Sensitivity	0.0182	Original
dscript	richoux_strict	Recall	0.0182	Original
dscript	richoux_strict	Specificity	0.9909	Original
dscript	richoux_strict	MCC	0.0392	Original
dscript	richoux_strict	F1	0.0354	Original
dscript	richoux_strict	AUC	0.6274380165289256	Original
dscript	richoux_strict	AUPR	0.613225868026781	Original
dscript	richoux_strict	TP	4	Original
dscript	richoux_strict	FP	2	Original
dscript	richoux_strict	TN	218	Original
dscript	richoux_strict	FN	216	Original
dscript	gold	Accuracy	0.5034	Original
dscript	gold	Precision	0.5089	Original
dscript	gold	Sensitivity	0.1935	Original
dscript	gold	Recall	0.1935	Original
dscript	gold	Specificity	0.8132	Original
dscript	gold	MCC	0.0086	Original
dscript	gold	F1	0.2804	Original
dscript	gold	AUC	0.4991926406372543	Original
dscript	gold	AUPR	0.5101305389588656	Original
dscript	gold	TP	3991	Original
dscript	gold	FP	3852	Original
dscript	gold	TN	16771	Original
dscript	gold	FN	16632	Original
dscript	dscript	Accuracy	0.9204	Original
dscript	dscript	Precision	0.7787	Original
dscript	dscript	Sensitivity	0.1739	Original
dscript	dscript	Recall	0.1739	Original
dscript	dscript	Specificity	0.9951	Original
dscript	dscript	MCC	0.3444	Original
dscript	dscript	F1	0.2844	Original
dscript	dscript	AUC	0.8887580188677451	Original
dscript	dscript	AUPR	0.5397029045192439	Original
dscript	dscript	TP	746	Original
dscript	dscript	FP	212	Original
dscript	dscript	TN	42678	Original
dscript	dscript	FN	3543	Original
