Model	Dataset	Metric	Value	Split
dscript	du	Accuracy	0.5025	Rewired
dscript	du	Precision	0.8889	Rewired
dscript	du	Sensitivity	0.0058	Rewired
dscript	du	Recall	0.0058	Rewired
dscript	du	Specificity	0.9993	Rewired
dscript	du	MCC	0.0444	Rewired
dscript	du	F1	0.0115	Rewired
dscript	du	AUC	0.7928303871439007	Rewired
dscript	du	AUPR	0.7942074119183734	Rewired
dscript	du	TP	16	Rewired
dscript	du	FP	2	Rewired
dscript	du	TN	2773	Rewired
dscript	du	FN	2759	Rewired
dscript	guo	Accuracy	0.6951	Rewired
dscript	guo	Precision	0.731	Rewired
dscript	guo	Sensitivity	0.6175	Rewired
dscript	guo	Recall	0.6175	Rewired
dscript	guo	Specificity	0.7727	Rewired
dscript	guo	MCC	0.395	Rewired
dscript	guo	F1	0.6695	Rewired
dscript	guo	AUC	0.7473095019198528	Rewired
dscript	guo	AUPR	0.6901982714869705	Rewired
dscript	guo	TP	557	Rewired
dscript	guo	FP	205	Rewired
dscript	guo	TN	697	Rewired
dscript	guo	FN	345	Rewired
dscript	huang	Accuracy	0.6779	Rewired
dscript	huang	Precision	0.9204	Rewired
dscript	huang	Sensitivity	0.3895	Rewired
dscript	huang	Recall	0.3895	Rewired
dscript	huang	Specificity	0.9663	Rewired
dscript	huang	MCC	0.4356	Rewired
dscript	huang	F1	0.5473	Rewired
dscript	huang	AUC	0.8731479224376731	Rewired
dscript	huang	AUPR	0.8625430698447545	Rewired
dscript	huang	TP	185	Rewired
dscript	huang	FP	16	Rewired
dscript	huang	TN	459	Rewired
dscript	huang	FN	290	Rewired
dscript	pan	Accuracy	0.8332	Rewired
dscript	pan	Precision	0.9051	Rewired
dscript	pan	Sensitivity	0.7445	Rewired
dscript	pan	Recall	0.7445	Rewired
dscript	pan	Specificity	0.9219	Rewired
dscript	pan	MCC	0.6772	Rewired
dscript	pan	F1	0.817	Rewired
dscript	pan	AUC	0.8890146670086936	Rewired
dscript	pan	AUPR	0.8679777179288047	Rewired
dscript	pan	TP	3375	Rewired
dscript	pan	FP	354	Rewired
dscript	pan	TN	4179	Rewired
dscript	pan	FN	1158	Rewired
dscript	richoux_regular	Accuracy	0.5395	Rewired
dscript	richoux_regular	Precision	0.8509	Rewired
dscript	richoux_regular	Sensitivity	0.0957	Rewired
dscript	richoux_regular	Recall	0.0957	Rewired
dscript	richoux_regular	Specificity	0.9832	Rewired
dscript	richoux_regular	MCC	0.1714	Rewired
dscript	richoux_regular	F1	0.1721	Rewired
dscript	richoux_regular	AUC	0.7979920774387471	Rewired
dscript	richoux_regular	AUPR	0.7631879174521552	Rewired
dscript	richoux_regular	TP	588	Rewired
dscript	richoux_regular	FP	103	Rewired
dscript	richoux_regular	TN	6039	Rewired
dscript	richoux_regular	FN	5554	Rewired
dscript	richoux_strict	Accuracy	0.7273	Rewired
dscript	richoux_strict	Precision	0.8289	Rewired
dscript	richoux_strict	Sensitivity	0.5727	Rewired
dscript	richoux_strict	Recall	0.5727	Rewired
dscript	richoux_strict	Specificity	0.8818	Rewired
dscript	richoux_strict	MCC	0.4779	Rewired
dscript	richoux_strict	F1	0.6774	Rewired
dscript	richoux_strict	AUC	0.807892561983471	Rewired
dscript	richoux_strict	AUPR	0.7623826538983003	Rewired
dscript	richoux_strict	TP	126	Rewired
dscript	richoux_strict	FP	26	Rewired
dscript	richoux_strict	TN	194	Rewired
dscript	richoux_strict	FN	94	Rewired
dscript	dscript	Accuracy	0.9376	Rewired
dscript	dscript	Precision	0.7492	Rewired
dscript	dscript	Sensitivity	0.4707	Rewired
dscript	dscript	Recall	0.4707	Rewired
dscript	dscript	Specificity	0.9842	Rewired
dscript	dscript	MCC	0.5636	Rewired
dscript	dscript	F1	0.5782	Rewired
dscript	dscript	AUC	0.8772642536191283	Rewired
dscript	dscript	AUPR	0.6188065584748638	Rewired
dscript	dscript	TP	2019	Rewired
dscript	dscript	FP	676	Rewired
dscript	dscript	TN	42214	Rewired
dscript	dscript	FN	2270	Rewired
