Model	Dataset	Metric	Value	Split
topsyturvy	gold_01	Accuracy	0.5114	Original
topsyturvy	gold_01	Precision	0.7238	Original
topsyturvy	gold_01	Sensitivity	0.0369	Original
topsyturvy	gold_01	Recall	0.0369	Original
topsyturvy	gold_01	Specificity	0.9859	Original
topsyturvy	gold_01	MCC	0.0723	Original
topsyturvy	gold_01	F1	0.0701	Original
topsyturvy	gold_01	AUC	0.5782683664623772	Original
topsyturvy	gold_01	AUPR	0.5879764622494736	Original
topsyturvy	gold_01	TP	760	Original
topsyturvy	gold_01	FP	290	Original
topsyturvy	gold_01	TN	20333	Original
topsyturvy	gold_01	FN	19863	Original
topsyturvy	gold_02	Accuracy	0.5113	Original
topsyturvy	gold_02	Precision	0.7977	Original
topsyturvy	gold_02	Sensitivity	0.0302	Original
topsyturvy	gold_02	Recall	0.0302	Original
topsyturvy	gold_02	Specificity	0.9923	Original
topsyturvy	gold_02	MCC	0.0827	Original
topsyturvy	gold_02	F1	0.0582	Original
topsyturvy	gold_02	AUC	0.5892888847182133	Original
topsyturvy	gold_02	AUPR	0.6111918689858337	Original
topsyturvy	gold_02	TP	623	Original
topsyturvy	gold_02	FP	158	Original
topsyturvy	gold_02	TN	20465	Original
topsyturvy	gold_02	FN	20000	Original
topsyturvy	gold_03	Accuracy	0.5068	Original
topsyturvy	gold_03	Precision	0.7937	Original
topsyturvy	gold_03	Sensitivity	0.0183	Original
topsyturvy	gold_03	Recall	0.0183	Original
topsyturvy	gold_03	Specificity	0.9952	Original
topsyturvy	gold_03	MCC	0.0634	Original
topsyturvy	gold_03	F1	0.0357	Original
topsyturvy	gold_03	AUC	0.598965245735992	Original
topsyturvy	gold_03	AUPR	0.6241574201576621	Original
topsyturvy	gold_03	TP	377	Original
topsyturvy	gold_03	FP	98	Original
topsyturvy	gold_03	TN	20525	Original
topsyturvy	gold_03	FN	20246	Original
topsyturvy	gold_04	Accuracy	0.5192	Original
topsyturvy	gold_04	Precision	0.8441	Original
topsyturvy	gold_04	Sensitivity	0.047	Original
topsyturvy	gold_04	Recall	0.047	Original
topsyturvy	gold_04	Specificity	0.9913	Original
topsyturvy	gold_04	MCC	0.1164	Original
topsyturvy	gold_04	F1	0.089	Original
topsyturvy	gold_04	AUC	0.5981301065139059	Original
topsyturvy	gold_04	AUPR	0.62736481128031	Original
topsyturvy	gold_04	TP	969	Original
topsyturvy	gold_04	FP	179	Original
topsyturvy	gold_04	TN	20444	Original
topsyturvy	gold_04	FN	19654	Original
topsyturvy	gold_05	Accuracy	0.5173	Original
topsyturvy	gold_05	Precision	0.8507	Original
topsyturvy	gold_05	Sensitivity	0.042	Original
topsyturvy	gold_05	Recall	0.042	Original
topsyturvy	gold_05	Specificity	0.9926	Original
topsyturvy	gold_05	MCC	0.1116	Original
topsyturvy	gold_05	F1	0.08	Original
topsyturvy	gold_05	AUC	0.594962108048492	Original
topsyturvy	gold_05	AUPR	0.6247389044189418	Original
topsyturvy	gold_05	TP	866	Original
topsyturvy	gold_05	FP	152	Original
topsyturvy	gold_05	TN	20471	Original
topsyturvy	gold_05	FN	19757	Original
topsyturvy	gold_06	Accuracy	0.5168	Original
topsyturvy	gold_06	Precision	0.8472	Original
topsyturvy	gold_06	Sensitivity	0.0409	Original
topsyturvy	gold_06	Recall	0.0409	Original
topsyturvy	gold_06	Specificity	0.9926	Original
topsyturvy	gold_06	MCC	0.1092	Original
topsyturvy	gold_06	F1	0.078	Original
topsyturvy	gold_06	AUC	0.5885827778288244	Original
topsyturvy	gold_06	AUPR	0.6186414606582531	Original
topsyturvy	gold_06	TP	843	Original
topsyturvy	gold_06	FP	152	Original
topsyturvy	gold_06	TN	20471	Original
topsyturvy	gold_06	FN	19780	Original
topsyturvy	gold_07	Accuracy	0.5252	Original
topsyturvy	gold_07	Precision	0.8135	Original
topsyturvy	gold_07	Sensitivity	0.0654	Original
topsyturvy	gold_07	Recall	0.0654	Original
topsyturvy	gold_07	Specificity	0.985	Original
topsyturvy	gold_07	MCC	0.1283	Original
topsyturvy	gold_07	F1	0.121	Original
topsyturvy	gold_07	AUC	0.6162481037365735	Original
topsyturvy	gold_07	AUPR	0.6342360623165234	Original
topsyturvy	gold_07	TP	1348	Original
topsyturvy	gold_07	FP	309	Original
topsyturvy	gold_07	TN	20314	Original
topsyturvy	gold_07	FN	19275	Original
topsyturvy	gold_08	Accuracy	0.5219	Original
topsyturvy	gold_08	Precision	0.8123	Original
topsyturvy	gold_08	Sensitivity	0.0571	Original
topsyturvy	gold_08	Recall	0.0571	Original
topsyturvy	gold_08	Specificity	0.9868	Original
topsyturvy	gold_08	MCC	0.1192	Original
topsyturvy	gold_08	F1	0.1067	Original
topsyturvy	gold_08	AUC	0.5948540687309554	Original
topsyturvy	gold_08	AUPR	0.6175799106105297	Original
topsyturvy	gold_08	TP	1177	Original
topsyturvy	gold_08	FP	272	Original
topsyturvy	gold_08	TN	20351	Original
topsyturvy	gold_08	FN	19446	Original
topsyturvy	gold_09	Accuracy	0.5348	Original
topsyturvy	gold_09	Precision	0.8002	Original
topsyturvy	gold_09	Sensitivity	0.0928	Original
topsyturvy	gold_09	Recall	0.0928	Original
topsyturvy	gold_09	Specificity	0.9768	Original
topsyturvy	gold_09	MCC	0.149	Original
topsyturvy	gold_09	F1	0.1663	Original
topsyturvy	gold_09	AUC	0.6149457726447547	Original
topsyturvy	gold_09	AUPR	0.6310058225881914	Original
topsyturvy	gold_09	TP	1914	Original
topsyturvy	gold_09	FP	478	Original
topsyturvy	gold_09	TN	20145	Original
topsyturvy	gold_09	FN	18709	Original
topsyturvy	gold_10	Accuracy	0.5305	Original
topsyturvy	gold_10	Precision	0.7991	Original
topsyturvy	gold_10	Sensitivity	0.0814	Original
topsyturvy	gold_10	Recall	0.0814	Original
topsyturvy	gold_10	Specificity	0.9795	Original
topsyturvy	gold_10	MCC	0.1386	Original
topsyturvy	gold_10	F1	0.1478	Original
topsyturvy	gold_10	AUC	0.6030097357955743	Original
topsyturvy	gold_10	AUPR	0.6217889955646704	Original
topsyturvy	gold_10	TP	1679	Original
topsyturvy	gold_10	FP	422	Original
topsyturvy	gold_10	TN	20201	Original
topsyturvy	gold_10	FN	18944	Original
