Model	Dataset	Metric	Value	Split
topsyturvy	du	Accuracy	0.5471	both->0
topsyturvy	du	Precision	0.7596	both->0
topsyturvy	du	Sensitivity	0.1378	both->0
topsyturvy	du	Recall	0.1378	both->0
topsyturvy	du	Specificity	0.9564	both->0
topsyturvy	du	MCC	0.164	both->0
topsyturvy	du	F1	0.2333	both->0
topsyturvy	du	AUC	0.5470888848329987	both->0
topsyturvy	du	AUPR	0.5357667082987063	both->0
topsyturvy	du	TP	755	both->0
topsyturvy	du	FP	239	both->0
topsyturvy	du	TN	5240	both->0
topsyturvy	du	FN	4724	both->0
topsyturvy	du	Accuracy	0.5589	both->1
topsyturvy	du	Precision	0.8311	both->1
topsyturvy	du	Sensitivity	0.1478	both->1
topsyturvy	du	Recall	0.1478	both->1
topsyturvy	du	Specificity	0.97	both->1
topsyturvy	du	MCC	0.2069	both->1
topsyturvy	du	F1	0.251	both->1
topsyturvy	du	AUC	0.5588925387142186	both->1
topsyturvy	du	AUPR	0.5489476245250102	both->1
topsyturvy	du	TP	315	both->1
topsyturvy	du	FP	64	both->1
topsyturvy	du	TN	2067	both->1
topsyturvy	du	FN	1816	both->1
topsyturvy	du	Accuracy	0.4979	0->1
topsyturvy	du	Precision	0.4749	0->1
topsyturvy	du	Sensitivity	0.0399	0->1
topsyturvy	du	Recall	0.0399	0->1
topsyturvy	du	Specificity	0.9559	0->1
topsyturvy	du	MCC	-0.0105	0->1
topsyturvy	du	F1	0.0736	0->1
topsyturvy	du	AUC	0.4978883153449085	0->1
topsyturvy	du	AUPR	0.49899724471685597	0->1
topsyturvy	du	TP	85	0->1
topsyturvy	du	FP	94	0->1
topsyturvy	du	TN	2037	0->1
topsyturvy	du	FN	2046	0->1
topsyturvy	guo	Accuracy	0.4811	both->0
topsyturvy	guo	Precision	0.4704	both->0
topsyturvy	guo	Sensitivity	0.2999	both->0
topsyturvy	guo	Recall	0.2999	both->0
topsyturvy	guo	Specificity	0.6623	both->0
topsyturvy	guo	MCC	-0.0405	both->0
topsyturvy	guo	F1	0.3663	both->0
topsyturvy	guo	AUC	0.48111612175873725	both->0
