Filename,Time [s],Test,Dataset,Part_Train,Part_Test,Model
time_original_dscript_es,33256.1010870934,original,dscript,es,,DeepFE_es_NA
time_original_dscript,17290.6717233658,original,dscript,,,DeepFE
time_partition_dscript_0_1_es,11076.2518377304,partition,dscript,0,1,DeepFE_0_1
time_partition_dscript_0_1,6380.1115231514,partition,dscript,0,1,DeepFE_0_1
time_partition_dscript_both_0_es,10377.1207039356,partition,dscript,both,0,DeepFE_both_0
time_partition_dscript_both_0,8177.56925129891,partition,dscript,both,0,DeepFE_both_0
time_partition_dscript_both_1_es,11719.6450405121,partition,dscript,both,1,DeepFE_both_1
time_partition_dscript_both_1,7824.47688388825,partition,dscript,both,1,DeepFE_both_1
time_rewired_dscript_es,34717.4110300541,rewired,dscript,es,,DeepFE_es_NA
time_rewired_dscript,17884.2036213875,rewired,dscript,,,DeepFE
time_original_du_es,856.307332992554,original,du,es,,DeepFE_es_NA
time_original_du,1220.57992982864,original,du,,,DeepFE
time_partition_du_0_1_es,498.604016065598,partition,du,0,1,DeepFE_0_1
time_partition_du_0_1,3819.04335069656,partition,du,0,1,DeepFE_0_1
time_partition_du_both_0_es,499.357984542847,partition,du,both,0,DeepFE_both_0
time_partition_du_both_0,4580.03239774704,partition,du,both,0,DeepFE_both_0
time_partition_du_both_1_es,512.627571582794,partition,du,both,1,DeepFE_both_1
time_partition_du_both_1,4201.54419445992,partition,du,both,1,DeepFE_both_1
time_rewired_du_es,857.441898822784,rewired,du,es,,DeepFE_es_NA
time_rewired_du,1198.89230489731,rewired,du,,,DeepFE
time_gold_standard_gold_standard_test_es,5764.50121188164,gold,standard,gold,standard,DeepFE_gold_standard
time_gold_standard_test,8370.29712629318,gold,standard,test,,DeepFE_test_NA
time_original_guo_es,362.604214668274,original,guo,es,,DeepFE_es_NA
time_original_guo,379.259001493454,original,guo,,,DeepFE
time_partition_guo_0_1_es,228.763277292252,partition,guo,0,1,DeepFE_0_1
time_partition_guo_0_1,1366.12094426155,partition,guo,0,1,DeepFE_0_1
time_partition_guo_both_0_es,179.712821960449,partition,guo,both,0,DeepFE_both_0
time_partition_guo_both_0,1289.93155884743,partition,guo,both,0,DeepFE_both_0
time_partition_guo_both_1_es,227.921405315399,partition,guo,both,1,DeepFE_both_1
time_partition_guo_both_1,1282.76474666595,partition,guo,both,1,DeepFE_both_1
time_rewired_guo_es,303.273340702057,rewired,guo,es,,DeepFE_es_NA
time_rewired_guo,393.519436836243,rewired,guo,,,DeepFE
time_original_huang_es,259.624347448349,original,huang,es,,DeepFE_es_NA
time_original_huang,246.756720066071,original,huang,,,DeepFE
time_partition_huang_0_1_es,106.218626976013,partition,huang,0,1,DeepFE_0_1
time_partition_huang_0_1,757.313423156738,partition,huang,0,1,DeepFE_0_1
time_partition_huang_both_0_es,110.220742940903,partition,huang,both,0,DeepFE_both_0
time_partition_huang_both_0,950.208263397217,partition,huang,both,0,DeepFE_both_0
time_partition_huang_both_1_es,110.070207834244,partition,huang,both,1,DeepFE_both_1
time_partition_huang_both_1,816.580371141434,partition,huang,both,1,DeepFE_both_1
time_rewired_huang_es,471.894460439682,rewired,huang,es,,DeepFE_es_NA
time_rewired_huang,244.639208555222,rewired,huang,,,DeepFE
time_original_pan_es,1489.70549678803,original,pan,es,,DeepFE_es_NA
time_original_pan,2215.00762248039,original,pan,,,DeepFE
time_partition_pan_0_1_es,924.363988637924,partition,pan,0,1,DeepFE_0_1
time_partition_pan_0_1,8797.97867250443,partition,pan,0,1,DeepFE_0_1
time_partition_pan_both_0_es,903.106456041336,partition,pan,both,0,DeepFE_both_0
time_partition_pan_both_0,6571.03191876411,partition,pan,both,0,DeepFE_both_0
time_partition_pan_both_1_es,796.559037685394,partition,pan,both,1,DeepFE_both_1
time_partition_pan_both_1,5980.53305697441,partition,pan,both,1,DeepFE_both_1
time_rewired_pan_es,2751.67968320847,rewired,pan,es,,DeepFE_es_NA
time_rewired_pan,2122.22269177437,rewired,pan,,,DeepFE
time_original_Richoux-Regular_es,1881.07454943657,original,Richoux-Regular,es,,DeepFE_es_NA
time_original_Richoux-Regular,2786.11429977417,original,Richoux-Regular,,,DeepFE
time_rewired_Richoux-Regular_es,1946.27274250984,rewired,Richoux-Regular,es,,DeepFE_es_NA
time_rewired_Richoux-Regular,2854.9787967205,rewired,Richoux-Regular,,,DeepFE
time_original_Richoux-Strict_es,1892.00039291382,original,Richoux-Strict,es,,DeepFE_es_NA
time_original_Richoux-Strict,2788.14789009094,original,Richoux-Strict,,,DeepFE
time_rewired_Richoux-Strict_es,1891.30978560448,rewired,Richoux-Strict,es,,DeepFE_es_NA
time_rewired_Richoux-Strict,2786.96979165077,rewired,Richoux-Strict,,,DeepFE
time_partition_richoux_0_1_es,1207.1700284481,partition,richoux,0,1,DeepFE_0_1
time_partition_richoux_0_1,10848.6840064526,partition,richoux,0,1,DeepFE_0_1
time_partition_richoux_both_0_es,1134.51211452484,partition,richoux,both,0,DeepFE_both_0
time_partition_richoux_both_0,8119.86347723007,partition,richoux,both,0,DeepFE_both_0
time_partition_richoux_both_1_es,875.070737123489,partition,richoux,both,1,DeepFE_both_1
time_partition_richoux_both_1,7924.63228392601,partition,richoux,both,1,DeepFE_both_1
