P17890 P28791
P22141 P53847
P53037 Q12462
P28791 Q04602
P40070 P16474
P53337 P41810
P43583 P50273
P40094 Q04749
P21242 P01097
P46682 Q08960
P13434 P39702
P22211 P53947
P53918 P34237
P16370 P47124
P32776 Q12096
P40051 Q12524
P20048 P28795
P04802 P40541
P25299 P35844
P40548 P50091
Q02630 P21957
P38262 P38929
P33755 P36164
P00045 P53037
P40547 P32352
P38875 P38358
P20434 Q12160
P36037 P53192
P53040 Q12067
P38152 P38817
Q00578 Q03630
Q12517 P53863
P05375 Q12142
P20606 P07276
P38242 P40152
P32836 P38873
Q12142 P41903
P25502 Q12165
P17898 Q12324
P36775 P25584
Q12109 P40498
P35201 P53248
Q12192 P32344
P25298 P25349
P30902 Q12462
P11746 P38166
P46983 Q12096
Q04228 P32578
P36016 P53622
P10849 Q03697
P49686 P35197
P47158 Q07549
P46989 Q99287
P38989 P20048
P54999 P41903
P32913 P23542
Q04847 Q02948
P40955 P40003
Q06815 P24004
P04386 P32787
P43571 P50944
P53541 P28795
P39007 Q05902
Q04228 P32573
P38879 P13711
Q04835 P40532
P36775 P32573
P50896 P23394
P46982 P37302
P07284 P08638
P24384 P41318
Q12425 Q12462
P21592 P36149
P07806 Q12096
P40484 P53394
P40957 Q05568
P38972 P50102
P21560 Q03694
P53886 P48813
Q92328 Q03730
P32485 P07256
P36147 Q00582
P38826 P36525
P20433 P38292
P28496 P31412
Q03697 P39718
P47064 Q03824
P34160 Q08215
P39986 Q12524
Q12495 P08456
P22137 P10355
Q12452 P32913
P53918 P17255
P40471 P28795
P38705 P40155
P15179 P36039
P05759 Q12462
P53061 P53248
P48415 P20676
P40008 P53039
P40582 P40152
P24279 P39103
P13517 Q07921
P32580 P40056
P35844 P53838
P41895 Q03694
Q00453 Q12133
P53193 P27825
P34072 Q05568
Q07904 P53290
P25625 P39526
P19516 P42839
P32916 P34230
P24309 P39526
P53540 Q12142
P54999 P38228
P29496 P43560
P31244 Q04934
P40215 P38292
P53906 P38137
P39904 Q03824
P20050 P38301
P36130 P38736
P25371 P27796
P40547 P36168
P40509 Q04934
P39720 P05375
Q00776 Q12191
P07246 P38301
P22579 P39107
P34160 P40345
P46989 P13711
Q05359 P41903
Q00873 P25568
P53271 P23542
P52553 P36029
P08468 P22211
P32862 P17967
Q12480 Q12154
P36130 Q06162
Q12055 P38810
Q04370 P25591
P53061 Q05919
P53083 P38182
P43583 Q01163
P25299 P35200
Q07732 P38292
P17214 P12868
P40051 P50091
P38996 P32573
P46680 Q06629
P31115 P40576
Q04458 P32389
P48559 P07266
Q02793 Q12473
O13297 Q04746
P53248 P32939
P39715 Q08199
P12695 P36107
Q00578 P36062
P32445 Q04562
P09959 Q06169
Q12270 Q12462
P53267 P43571
P36146 Q08001
P40518 P39927
P08518 P36051
Q06686 P32629
P53193 Q12028
P40351 Q04370
P40515 P41909
Q12386 Q04602
P08417 P15367
Q00816 Q12405
Q08920 P23642
P32445 Q07468
P36163 Q05902
P19736 Q03103
P50108 Q03370
P80235 Q99394
P53079 P53747
P40547 P53299
O13297 Q05871
P40540 P39718
Q12233 P36018
Q3E790 Q12270
P40533 P28795
Q04847 P21825
P04147 Q12154
P12695 Q12462
P10507 Q12462
Q99257 Q07468
P19516 P40056
Q12452 Q03630
P33331 Q06707
Q03579 P32600
P11655 Q12527
P13574 P53112
P43582 P53192
P07266 P25371
P26755 P32906
P00447 P29704
P53974 P39009
Q12248 P22214
Q02199 P47818
P53267 P38836
Q08096 Q04599
P25644 Q01163
P08525 Q99394
Q6WNK7 P32386
P15315 Q07418
P39543 P36168
P49018 P53093
P38203 P33893
Q05050 P22135
P32916 P27796
Q12344 P54000
P39734 P47061
P53082 Q07830
P03874 Q03308
Q02772 Q03308
Q04935 P32621
P40554 Q07418
Q03028 Q06107
P32916 Q04991
P54837 P38137
P32485 Q06541
P53933 P38811
Q12144 P36164
P38374 P43682
P36018 Q08484
P07236 P25386
P32341 Q12270
P32485 P38069
P32908 P53079
P19736 P00175
Q12155 P38814
P28519 P38221
Q12109 P40078
P38636 P14922
P32318 P40367
P50087 P43560
Q02100 P32378
Q04377 P22803
P40107 P38182
P26725 P32578
P32628 P33894
P53951 P18962
P09959 P53112
P50108 P20795
P07269 P40159
P13433 P47064
P06197 P32796
P07866 Q03774
Q12344 P38712
P50088 P38814
P40047 Q00582
P41543 P53184
P09959 Q08754
P36130 P53332
Q12404 Q08484
P46970 P18410
P43583 Q05040
Q06704 Q04031
Q08004 P38836
Q12349 P24004
P32500 P33759
P38198 P47140
P33411 Q03899
Q12098 Q04301
P18410 P27614
P25604 Q05905
P19658 Q02896
P38972 P38863
P38523 P53093
P40968 P35056
P22579 P53838
P38817 Q08236
P40018 P39010
P39904 P26798
P38825 P46965
Q12480 P32318
Q12530 Q08968
Q06681 P38821
P40460 Q99325
Q12142 Q08921
P08468 P38995
Q04053 Q12032
P39727 Q08215
P08153 P40451
P33755 P32629
P43555 Q12380
P38164 P47108
P14907 Q04934
P53064 P46671
P27801 Q08484
P46970 Q05568
P32361 P41806
P14693 P36051
P53271 Q08001
P38862 Q03730
P47061 Q12405
P31539 Q12527
P40484 Q03660
P25644 Q12462
Q01519 P38310
P38170 P18962
P39993 Q02749
P08466 P40529
P54861 Q02969
Q05359 P32796
P14908 Q12405
P26754 P38778
P36012 Q12241
P09959 P32629
P32915 P39108
Q01649 Q12233
P39522 P53191
P21538 O14464
P40547 Q07895
P40464 Q06096
Q03373 P30777
P08153 P46983
P06105 Q07418
Q04341 Q07549
P52488 Q08162
P52593 P38244
P40107 P38273
P36051 P53248
Q06541 P27796
P11655 Q12462
P53146 P36168
P33418 P38292
P39984 Q12462
P25298 P25386
P40345 P32913
P40540 P42839
P35723 P53271
P31109 P35845
Q12114 P53248
Q02630 Q06541
Q12386 P28795
P54837 Q03308
P46989 P38142
P54790 P53184
P49687 P22211
P41896 P38742
P21192 P41800
P13711 P32343
P32352 Q03824
P39998 Q04712
Q08932 P32352
Q92328 Q01590
P32331 P53112
P32454 Q02804
P38989 Q99190
P41912 Q03784
P41895 P53248
P48837 P36051
P47017 P53954
Q08484 P28795
P34087 P53337
P53878 P36107
Q12098 P41909
Q08004 Q03824
P32830 P38821
P40090 Q06096
P34077 Q03370
P38839 P53314
P39015 P00424
P26755 P23642
P38200 Q99257
P39107 P28795
P40367 P36107
Q02784 P53860
P40477 P32386
P13393 Q03322
P16639 P40460
P38859 P47082
P53540 P53959
P21269 P27825
P32558 Q12349
Q12232 Q06497
P25502 P38821
P43583 P39702
P53064 P27801
P35203 P38793
P20434 P09457
P16622 Q08754
P40957 P39010
P21306 Q06346
P32915 Q06708
P46947 Q12346
P40051 P47064
P18410 P22214
P40075 Q04749
P38345 P39734
Q99394 P24004
Q12374 P38353
Q12462 P14359
P07269 P38137
P22137 P27692
P17442 Q99190
Q00776 Q12524
P11076 Q12324
Q12098 Q99190
