P40413 P53904
P38286 Q04697
P53011 P49687
P11633 Q06168
P53177 P06777
Q07987 P36068
Q05636 P42945
P15705 P42843
P38987 P38523
Q08685 P38968
Q07418 P32800
P32807 P04385
P53125 P32367
P02994 P25454
P29055 Q06697
P05986 P05986
Q12251 P25454
P19735 Q03338
P52919 P53847
P38811 Q02821
P20424 P39743
P20436 P34087
P17255 Q12343
P40036 P27637
P28274 P14741
P10823 P08678
Q04087 P47135
O13512 O13567
P15891 P48562
P40562 P22134
Q03071 P53861
Q06440 P32381
P25299 P53897
P16370 P20434
P40051 Q04149
P53742 P32524
Q03834 P41800
Q12415 P33339
Q04964 P07246
P38286 P38358
P07260 P16474
Q12341 P38249
P49957 P53738
Q02866 P19358
P36102 P53934
P40469 P38316
Q10740 P16861
P38311 P29055
P36057 P32916
P11076 P39524
P50094 P32468
P33338 P38249
P14742 P42842
P48439 P39007
Q08271 Q08144
P06838 P12709
P32264 P53843
P25299 P32499
P32628 P38304
P32318 Q06142
P38708 P41811
P12904 P49017
Q03330 Q12030
Q12152 P41940
P38334 P34162
P46682 P38153
P38333 P25586
P25296 Q03652
P25591 P47053
P32803 P35723
Q08683 Q04601
P04050 P35189
P12385 P38737
Q04226 P47135
P40075 Q04660
P53108 P32854
P19956 P36520
P40473 P40473
P39730 P32497
P15992 Q08273
Q92316 P48439
P57743 P32828
P07703 Q12267
P06782 P25694
P38822 Q12144
Q99383 Q02629
Q12211 P40055
P32457 Q04195
P38885 P15891
P33750 Q05022
P38748 P38748
P28006 P32325
Q00916 Q04213
Q08977 P40460
Q12136 P53093
P21374 P21374
P33333 P23642
P39719 P33296
Q02821 P32337
P25607 P53306
P53930 P35817
Q06819 P49704
Q06406 P51979
P14741 P04397
Q12159 P06102
P35999 P38862
P50113 P21264
P39735 P25389
P53616 Q12745
P43545 Q03144
Q04149 P04397
P38264 P21147
P38042 P16522
P24583 Q02795
P38881 P07143
Q06142 P25293
P34223 P25694
Q08496 P20486
P09798 Q12379
P28495 P40045
P22137 P40494
P21827 P40517
P40010 P53261
Q12734 P34730
P40507 P19882
P38822 P22135
P32908 P19882
P11633 P09938
P41811 P22204
Q04162 Q08743
Q08235 P36160
P40054 P39517
P36068 P36068
P15790 Q03532
P48560 P46961
P38758 Q08831
P40303 P23639
P32793 P47129
P87263 P04173
P38691 Q08496
P06704 Q08231
P32854 Q03860
P39935 P53883
P43556 P38346
Q12285 Q12154
P41940 P05317
P40541 Q04002
P40565 P04147
Q06568 Q02574
Q05636 Q08491
P30283 P20486
P25357 P38262
Q99257 P32263
P46677 P13393
O13545 P37264
P32461 P40487
P80428 Q03435
Q12136 P32578
P38993 P53337
Q06096 Q06410
P09064 P38249
P43587 P38523
P34111 P32367
P20486 P33317
P22213 Q01590
P46655 Q00246
P22204 Q06411
P29295 P12695
P38784 P40971
Q03370 P38633
P32179 P38740
Q03497 P32524
P38872 P40555
P25339 P39008
Q08601 P32893
P20053 P33334
P32473 P32898
P47093 P33334
P14907 Q06678
P22138 P32529
P36160 P06843
Q02574 P04385
P42941 P34238
P53324 P53616
P07263 Q03048
P40069 P38316
Q06436 P39744
P38011 P06839
P38779 P26321
P54786 P11978
P53079 P53271
P07991 P40565
P38429 P22579
O13564 Q12280
P06242 P04050
P08518 P42843
P17629 P16140
P40971 P39954
P39937 P40987
P47079 P32641
P25358 Q07824
Q02931 P25491
Q12522 Q08004
P32325 P06243
P51998 P53875
P43634 Q07458
P50273 Q99383
Q03433 Q05471
P40040 Q04659
P29469 P29469
P00830 P05626
P28000 Q06149
Q06436 P53914
P16661 P23968
P08539 P38740
P19659 P36100
P06778 P25694
Q05948 P39977
P17214 P53288
P24869 P25293
P25301 P34730
P40302 Q12250
P31109 P40357
P32366 P53894
P40570 P53550
P40542 P40422
P53215 P53215
P42938 P24871
Q04062 P38348
P32861 P40856
P47135 P40519
P53550 P47094
P36047 P35191
P38353 Q12402
P46948 P53859
P53883 P39744
P47079 P25615
P25298 P04147
P14680 P19882
P12904 Q00684
Q12462 P29055
P38330 P36136
P05150 P42843
Q12749 P34760
P32602 Q01590
P39014 P32906
Q08208 P22134
P41940 Q12347
P02994 Q06640
Q04437 P25491
P16861 P50102
Q07732 P32494
Q06410 Q03935
P43560 P07703
P38815 P38130
P47154 P35206
P08964 Q06410
P06782 P07259
P32337 P38910
P22141 P38304
Q03655 P38842
P29468 P39081
P19263 P33333
Q12216 P47068
P46675 P38863
P36022 P40014
P38328 P32381
P38781 P04802
P40055 Q12754
P25567 P06782
Q12389 P38789
P32350 P40479
Q12464 P53632
P07149 P15891
P29952 P19735
P15873 P50094
Q12306 P25694
Q12349 P47157
O13519 P38260
Q03201 P28817
P40364 P38153
P32610 P17255
P06778 P04385
P42073 P27637
P32454 P47033
Q02774 Q06644
P50101 P38888
P40335 P38759
Q12152 P07991
Q08144 Q04338
P36057 P38992
P47086 Q02794
Q99181 P19358
P43614 P53726
Q06340 P06700
P16474 P16474
P50091 P53050
P22203 P47104
P32803 Q05359
P18239 P06774
Q12349 Q03790
Q08965 Q08496
P38111 P47027
P05453 Q03735
P12612 Q00362
Q12359 P38131
P39078 P38987
P25847 P25336
Q05471 P31376
P40454 Q08215
P54837 Q12327
Q08446 P80667
Q12349 Q04100
P34216 P22216
Q12306 P24279
