P38316 P07256
P53731 P39101
P41800 P25579
Q12418 P38084
P41810 P11972
Q03897 P08539
P33200 P10834
Q99207 P24384
Q03435 P39073
P40007 P07272
P38313 P10507
P40453 P38112
P32585 P22141
Q04636 P27614
Q02884 P53215
P46669 P39994
Q12050 Q07732
Q12233 P13902
Q06200 P53924
Q12270 Q02732
P38968 P38863
Q08278 P40529
P39702 P17695
Q04199 P00128
Q03792 P38736
Q08032 P35184
P42934 P40469
P20676 P09064
Q05031 P89102
Q12522 P50874
Q06488 P27895
Q03656 P13434
Q12004 P48415
P38149 P12887
P47117 P32787
P32796 P15424
P53616 P36010
Q04673 P53280
Q12083 P22137
P25360 P20436
P32583 P07278
Q02204 P40480
Q02336 P47129
P43603 P08539
P32833 P32523
Q01684 P38789
P53278 P33441
P38727 P38208
P28004 P25454
P43621 P40010
P40478 P32504
P46669 P32264
Q02516 P40217
Q07980 P09959
P36172 P29539
Q04958 P25515
P53277 P23291
Q08214 P32803
P39928 P11972
P50104 P39548
P87108 P40055
P40003 P25632
P53124 P10961
Q12443 P34161
P53116 P38266
P53961 P38991
P25453 P04786
P46956 P22515
Q06205 P48813
P40529 P07273
P53079 P38793
P40465 P33421
Q12505 P22214
P46954 P40475
P43568 P40527
Q07914 P53538
Q05933 Q05016
Q12060 Q06665
Q06676 P36224
P43321 P23337
P53070 P40495
P53955 P32788
P53877 P18562
Q03860 P47019
P11747 P00854
P38720 P10961
P39548 P30624
P16522 P13185
P41815 P00445
P47171 P39112
P39011 P38637
P53209 P25657
P40465 P13259
P38429 P14736
P41896 P07262
Q12241 P47167
Q12390 P23833
Q12734 P39875
P38123 P30822
P39108 P38784
P53036 P32585
Q06102 P26798
Q02908 P43542
P48361 P40450
P52919 P39001
P36057 P31111
Q02206 P27351
Q04225 P32481
Q12270 P33301
P40151 P19880
Q07896 P40992
Q07824 P43622
Q12343 P46682
P45818 P38068
Q04477 P53930
Q04636 P27515
Q03920 P46678
Q05931 P40565
Q03063 P06104
P38689 P07703
P32570 P32501
P38254 P16151
P43561 P39521
Q03308 P39996
Q03532 P49018
P39730 P25632
P38156 P32601
P38353 P32842
Q03323 Q02892
P52960 P38428
Q03533 P25371
Q06677 P38805
P53865 P40075
Q03630 P38911
Q03619 P29539
P38590 P01149
P33754 P33339
P40302 P38351
P49573 P46954
Q06488 P25644
P33297 P25299
Q03208 P47012
P53044 P35193
P47132 P40038
Q08215 P48439
P50108 P15367
Q12224 Q03103
P40512 P32836
Q04048 P21957
P33750 P25453
P34758 P32897
Q03213 P53840
P45818 P23287
P47166 P25451
Q02892 P33200
Q04934 P25046
P25346 P08679
P81449 P32618
P40475 P22203
P24719 P11710
P40475 P38217
Q04062 P18239
Q12495 P06243
P39994 P20457
Q12411 P32558
P43621 P32364
Q12243 P38636
P39713 P33759
P43562 P23285
P14242 P06784
Q05874 P23179
P53259 P38993
P40204 P14908
Q99260 P32657
P25575 P25376
Q06205 P36145
P47074 P43593
Q06412 P40073
Q12469 P10566
Q03280 P43545
Q04847 P16658
P53824 P38794
P38286 P03965
P47041 P40075
P38712 P00549
Q92316 P48568
P25657 P16387
Q04673 P28496
Q03976 P10823
Q99383 P11978
Q12396 P04912
P53857 P00330
Q03338 P38910
P40991 P29056
Q06628 P34161
Q08208 P22214
P34241 P23639
Q03935 P19658
Q08729 P40890
Q04868 P32529
P34226 P32657
Q08446 P30283
Q07540 Q02908
Q07963 P38877
Q08986 P23642
Q12026 Q05931
Q04958 Q00723
P40348 P32471
Q03792 P21651
P53091 P38147
P29468 P04821
P46964 P38817
Q03290 P29469
Q06135 P40325
Q07914 Q06679
P38962 P25584
Q12450 P38329
Q03497 P32833
Q03898 P05626
P35723 P32264
P43562 P17119
Q12262 P32842
P38992 P32598
Q06631 P53847
Q04562 P32944
P18963 P12954
Q01080 P22140
P20604 P13433
P53949 P40352
Q08278 P36012
P38837 P32494
P39875 P12945
P38776 P36165
Q12050 P53955
Q08273 P38086
Q06677 P23776
P37296 P33296
Q02336 P53628
P47090 P18238
Q03455 P53150
P38881 P38276
Q08562 P39960
Q05998 P14741
Q04067 P33301
Q04004 P21651
Q03455 P32867
Q12341 Q12035
P53184 P28000
Q03944 P38692
Q12222 P20434
P53910 P48582
Q12443 P40013
Q05871 P20457
P53152 P40496
P53280 P11710
Q02555 P36017
Q02555 P01149
P47912 P36116
Q12041 Q06200
Q03465 P34730
P53952 P28496
P43609 P17709
P32389 P02309
P53100 P27692
Q12059 P40554
P38138 P36149
Q03162 P40968
Q6Q547 Q08683
Q05871 P40357
P53168 P42944
Q03177 P53045
Q08965 P39735
P43616 P38351
P53961 P25648
Q02776 P53150
Q06407 P06701
Q07904 Q03935
P32641 P32628
P54862 P33338
P39723 P38842
P32480 P00128
P47115 P23639
Q12098 Q06200
P25657 P08539
P38273 P38264
Q03656 P04911
P32911 P08456
P32599 P23776
P40462 P24384
P38077 P32641
Q04493 P38699
P28320 P11709
P47052 P33329
P36421 P32618
Q07963 P32833
Q02805 P15303
Q07904 P38690
Q12060 Q02931
P89886 P23833
Q03860 P38863
Q02574 P00445
Q12396 P38696
Q12380 P22082
Q02794 P32561
P53215 P09798
P32916 P04076
Q06479 P38819
Q06344 Q03758
P42934 P41911
P42945 P00420
Q99344 Q12118
P36139 P35191
P53600 P28004
Q01159 P39730
Q00873 P38781
P32803 P15938
P36116 P28006
Q04225 P38288
Q99186 Q01080
Q99278 P38863
Q02884 P36009
P40857 P28274
P53743 P34218
Q12440 P35718
Q02774 P40328
Q12045 Q03435
P40509 P01097
P38774 P07250
Q06449 P53750
P40362 P38910
Q08245 P39547
P36029 P32558
P53633 P38113
Q12149 P32913
P12868 P11710
Q03697 Q02208
P53616 P48836
P35189 P00359
Q03697 P39730
Q12527 P53142
P46675 P35189
P40091 P19736
P42944 P38344
Q12343 P53253
P50623 P38713
P47038 P15891
Q02794 P47005
Q03322 P25346
P38729 P32528
P53878 P47134
Q04461 P32610
Q07921 P20486
P53267 P20676
P38251 P30771
P38967 P27895
P53538 P10566
P41921 P21304
P40096 P33304
P32571 P16649
P38072 P36094
Q12447 Q03323
P38820 P05626
P53604 P26188
P09435 P00410
Q08902 P04046
Q06440 P46669
P25369 P25301
P47176 P37838
P53221 P40020
Q12483 P40513
P52488 P07260
Q08685 P53124
P53116 P41546
Q99394 P33441
Q03263 P53191
Q00578 P40360
Q12262 P18851
Q08018 P40038
P53851 P06775
Q12019 P12294
P53045 P18852
P53174 P13711
Q02866 P13902
Q03940 P40965
Q12223 P38705
P46956 P09733
P40355 P21951
P32478 P07273
P35198 P32319
Q02260 P32341
Q08236 P39685
P36009 P05318
P38723 P07560
Q08235 P26754
Q12692 P53168
P39987 P32912
Q06339 Q03330
P47132 P25367
Q99394 P40075
P47037 P24004
Q03661 P13393
P40890 P02293
P32319 P17442
P52960 P05318
P26188 P17214
P39548 P32367
Q06632 P40970
Q08980 Q05568
Q02196 P24384
P33759 P04051
P38700 P26754
Q03655 Q00381
Q05778 Q05359
P40561 P34252
Q06630 P53181
P13382 P07866
Q08685 P39079
P53081 P40438
P54860 P25651
Q03579 P38859
P40475 P40303
P32581 P14291
Q08271 P36029
Q07800 P21243
Q99314 P32319
Q12004 P15705
Q06224 P53924
Q06169 P21691
P53115 P40480
P38779 P38144
Q12256 P08638
Q02784 P40541
Q03690 P39987
P32832 P20081
P53086 P32334
P32479 P32387
P40352 P28743
P39521 P30656
P38820 P36121
P42073 P05626
P42946 P38867
P53905 P41912
Q06580 P38776
P39960 P32559
P53604 P39734
P38064 P11709
P53079 P39113
Q08271 P38702
P38751 P30619
P35201 P32794
P38276 P16522
Q06677 P38859
Q12100 Q04847
Q99278 Q12285
P47027 P19097
P38811 P38622
P52918 P39875
P39704 P32899
Q01454 P43622
P38811 P13712
P53181 P52553
P54854 P24719
P53867 P48234
P38429 P32571
P53039 P40217
Q00711 P24869
Q06135 Q03957
P36019 P22276
Q12157 P06169
Q12018 P25297
Q12161 P39705
Q12341 Q04636
P46677 P33754
P40316 P32387
P53167 P39016
P53203 P23641
Q04067 Q02805
P32588 P25376
Q12224 P23776
P32499 P15436
P40475 P07170
Q12280 P22214
Q01217 P53735
P53261 P47052
P39550 P07866
P43604 P40529
Q08966 P28496
Q06451 P12684
Q12206 P22140
Q01080 P38274
Q03862 P39520
Q12734 P46956
P47134 P38817
Q12216 P33892
P54837 P32597
P48361 P47171
P33335 P25382
P40564 P08518
P43603 P38703
P39734 P00175
P40151 P38806
P39113 P25298
Q12749 P40856
P32499 P19658
Q08217 P16370
P07560 P06777
Q04673 P38794
P53344 P38886
P46681 P33313
P40496 P38286
P39524 P22276
P40079 P32838
Q12389 P45818
Q12450 P53258
P47049 P36116
Q08096 P25296
P32803 P32447
P39101 P06704
Q00362 P41546
P52917 P40038
Q02932 Q02794
Q08773 P23624
P20457 P19658
P48836 P40077
P36118 P13434
Q03691 P08431
P39540 P33297
P53070 P32318
Q06628 P53212
P53045 P50875
P38720 P34161
P49955 P36125
P40438 P32478
P53738 P47042
P41912 P10363
P47027 P30771
P46655 P36160
P40563 P32486
P24482 P07703
P53959 P47012
Q04603 P13433
Q12276 P13393
P40527 P38063
P53169 P35718
P39720 P38705
P53552 P38838
Q03655 Q01217
Q08886 Q08562
P38082 P22140
Q12024 Q05359
P34252 P33399
Q06245 P39534
P10566 P08566
P53941 P33122
Q03919 P39955
Q06217 P39928
P47049 P06244
Q07914 P40202
P43602 P25344
Q03148 P32910
