P31244 P22137
P53739 P39083
P39101 P30283
P36160 P29056
Q12034 P20133
Q03750 P39678
P36017 P11075
Q12418 P38810
P38287 P32794
P40574 P39743
P23394 P09435
P22219 P02293
P41814 P36037
P38862 P18962
Q04491 P38129
Q08492 P15646
Q03081 P39073
Q06708 P32500
Q06628 P40092
Q05946 P53893
P53082 P33399
P37302 P32563
P40958 P11978
Q06506 P40350
P38903 P22007
Q06628 P38872
Q12020 P14741
P25453 P13434
P25451 P19735
P46995 P20052
P35729 P23724
Q12449 P00812
P38889 P33331
Q04149 P32911
P53271 P26570
P22804 P16661
P40495 P22202
Q03018 P38624
P40453 P38956
Q05947 P46675
P43561 P17442
Q08949 P53250
Q12168 P32490
P08458 P05453
P32565 O14467
P52286 P09232
Q08162 P12688
Q03322 P53036
Q08162 P38624
P41808 P25604
P47041 P18410
P47050 P36006
Q05583 P34160
Q02199 P53129
P46947 P10081
Q12417 Q12377
P39705 P29496
Q12473 P30619
P34077 P32571
P40574 P39904
P53269 P20484
Q04660 P41318
Q01649 P41832
P46985 P11938
P38774 P24870
P37370 P31244
P48562 P15108
P39927 P38555
P43569 P22147
P53829 P43593
P53061 P39550
Q08746 P20053
P38805 P36017
P53313 P38705
P36131 P25655
Q08649 Q03532
P89886 P39904
Q04660 P40003
P18898 P16658
Q07528 P18410
P53847 P40395
P14904 P13186
Q04217 P36124
Q12149 Q06344
Q12424 P38886
P38077 P32800
P43568 P02293
Q12276 P25389
P53738 P34110
P47083 P17536
Q06819 P14741
P53248 P33204
Q05166 P39966
P42846 P35728
P32525 P28007
P13517 P13185
Q12449 Q07657
Q04217 P32524
Q02100 P31383
P53830 P16521
P38636 P09624
Q01684 P30283
P39010 P25297
Q12078 P34160
Q99207 Q05636
P53196 P15807
Q06103 P20081
P42942 P27999
Q12499 P32599
P40013 P35203
Q06411 P47122
Q07915 P20081
Q08749 P38072
P49955 P24814
Q05580 P53271
Q03220 P38266
Q04693 P34253
P48582 O13554
Q03956 P38232
Q12440 P40494
P53169 P32588
P39935 P04076
Q12163 P40515
Q08873 P11746
P38785 P25341
P38991 P34077
Q03071 Q00776
Q08817 Q04412
Q06675 Q04225
P43574 P38219
P33334 P29340
P38801 P06104
Q12033 P25655
Q06169 Q00416
Q08723 P53248
Q08920 P48582
P32492 P27472
Q12033 P43583
P53930 P23642
Q03758 P53010
Q12285 P40988
Q06163 P31374
P39703 P32458
Q06640 Q03088
Q12021 Q06102
Q08962 P20435
P32505 P18494
Q04121 P23594
P53040 P32895
P53221 P08524
P36139 P32527
P40060 P13574
P35817 P25502
P39990 P38153
Q05900 Q04305
P25333 P22147
P53552 P53196
P89886 P53691
Q08550 P32895
Q03322 P09032
P53886 P42846
Q12021 Q04868
Q04373 P32366
P32794 P32345
P40548 P19414
Q03900 P11746
P38013 P27801
P38287 P10592
Q01217 P12695
Q12250 P09440
P41920 P38871
Q12330 P38820
P36049 P32589
Q04264 P40413
P39954 P04786
P40471 P32481
Q03774 P36131
P25657 P08458
P38193 P28743
Q03656 P48240
P38855 P38682
Q04121 Q03503
P29469 P09938
Q00618 P32561
Q99257 P23594
P53082 P40960
P53278 P14742
Q04660 P36130
Q92331 P53865
P38130 P36027
Q05080 P40155
Q12236 Q12100
P40024 P33307
Q06108 P38749
P43583 P06103
P52553 P32634
