Q12100 P38631
P38291 P35169
P36008 P28795
P53256 P12612
P48836 P43587
P53280 P53067
Q08444 Q04048
P38737 P00931
Q04439 P36107
Q12330 P38774
Q04978 P47089
P40473 P36010
P33400 P12383
P38749 P32591
Q05670 P46963
P22336 P00958
P34164 P13712
P40092 P25582
P54786 P32581
Q06704 Q04062
P39984 P33891
P53290 P28795
P39534 P35177
P41832 P38339
P46963 P38310
Q08746 Q02260
Q04005 P00812
Q08962 P20435
P38793 P38293
P38774 P38301
P42839 P32628
Q12206 P23202
P38324 P31109
Q08236 P46957
P40565 P17555
Q12084 P36094
Q04660 P20604
P38697 P33334
Q12335 P23776
Q08963 Q02100
P46655 P43616
P50946 P50091
P33755 P20606
Q03691 P40319
P60010 P36005
P32573 P27895
P48582 P38165
Q05568 P07283
Q05947 P47165
Q05670 P14742
Q03220 P24279
Q06568 Q03862
P40335 P19524
P53886 P32642
P37296 P07991
Q05580 P36047
Q12277 P34077
P39705 P29496
Q08217 P48582
P40090 P13574
P43535 P40462
Q00816 P38313
P53600 P06242
Q06549 P40395
P53834 P50101
P53036 P33333
Q06819 P00331
P38708 P05085
P47160 P38861
Q12306 P36124
Q06525 P34218
Q05946 P53893
P53250 P27472
P48566 P35688
P52286 P32561
Q12222 P33307
Q02892 P35198
P25343 P05453
P14737 P07149
Q03630 P53322
Q06580 Q04217
Q03071 P53064
Q04493 P53847
P39718 P15442
Q12009 P15303
Q05775 P27895
P53297 P13586
P25694 P07283
P36145 P30771
Q12151 P41805
P37302 P36000
Q06616 P23624
Q04651 P53974
P43572 P04386
P38696 P23644
P36062 P10659
Q07930 P00931
Q05947 P09624
P48363 P32501
Q03532 P34217
Q12009 P17119
Q08601 P40186
P32864 P07834
Q03148 P04912
P53196 P47045
Q12518 P53886
P38708 P05986
Q08746 P33411
P34758 P10622
P53168 P40512
Q12222 P32767
P34164 P08566
P38723 P38288
P14682 P13045
P32582 P22213
Q12361 P39704
P54999 P23638
Q06411 P38237
Q12241 Q04199
P46674 P28320
Q07834 P33199
Q04089 P54784
Q04675 P11938
P36121 P34218
Q06142 P32773
Q06108 P53256
Q12691 P46949
P53163 P22203
P35688 P33331
P32807 P06777
Q05166 Q05080
Q03096 Q02821
P32480 P24867
P42839 P13517
P39927 P38555
Q00381 P16892
Q99207 Q02196
Q07914 P38264
Q12041 P23639
P41834 P38324
Q03900 P30902
P32905 P32263
Q08729 P49960
Q07915 P40963
P40020 P32944
Q06169 P23624
Q99189 P40965
P40036 P38089
P42845 P06243
P38063 P34216
P38631 P25298
P39926 P32450
Q02825 P54860
Q02256 P38789
P42073 P39013
Q02256 P38779
P38911 P28274
P38590 P36010
P39703 P32581
Q02629 P39081
P40484 P11433
Q12021 Q04868
P27472 P20081
P40078 P23287
P38793 P38237
Q12154 P42846
Q12285 P22007
P40457 P33328
Q12499 P53859
P40561 P32939
P32793 O13553
P53540 P19454
P47057 P22216
P50101 P00546
Q08119 P19454
P47093 P46673
Q07657 P39108
Q05778 P25604
Q99257 P23594
Q02199 P10363
P40064 P33298
Q08963 Q04002
P47122 P40563
P36049 P32589
P35056 P34240
P53082 P25294
Q03956 P48566
Q04411 P25367
Q05022 P53628
Q12176 P40066
Q03758 P53010
P38313 P33313
Q07980 P36084
Q06151 P53886
P36131 P32366
P51996 P35203
P37012 P25344
Q03862 Q02260
P32786 P08524
P40512 P17555
P42884 P40069
Q03774 P24482
Q07471 P38829
Q08096 P12954
P20459 P17536
Q03220 P32578
P33329 P07270
Q12754 Q04368
P39079 P33306
P48606 P32800
Q05958 P36012
Q06251 P39531
Q12154 P53104
P11745 P07170
Q04322 Q02767
Q08685 P11978
Q08923 P39001
P38200 P32492
P40494 P10659
P53159 P46970
P38200 P31688
