P78536 P01375
P13725 P42702
P78346 O95707
Q8IXH7 Q8N8Q3
P11684 P02751
Q9NPF4 P15941
Q00403 P13984
Q02878 Q99558
Q6PIZ9 P07766
Q9NPJ4 Q13285
Q03135 Q9Y6H8
P21246 P47756
Q9HCU9 Q16576
Q01780 Q96AT9
Q9BS86 Q05996
Q9NYK6 Q15834
P48552 P35869
Q99700 Q9P1U0
O95347 Q9NTJ3
Q9UM13 Q12834
P12272 P05231
P80108 P05187
Q9UBW8 P60228
Q9Y5A7 Q9NZN9
Q9NXE8 Q15834
O60573 Q9NRA8
P06400 P24385
Q8WU20 Q07889
P54253 Q9NRA8
Q15102 Q96ID5
O43715 O14727
O75344 P04406
Q13352 P03372
P21673 Q9BSH4
P53621 Q02978
Q8N668 Q9GZQ3
Q9GZN7 Q7L5N1
P40238 Q9Y4H2
P49069 P08F94
P00480 Q15388
Q9H0Q3 Q9GZT6
Q96S82 P46379
Q8NF91 P02545
P21246 Q9UNI6
Q15631 Q99598
O15519 O14920
Q8TDV0 P22466
Q96T76 P03372
P01589 P60568
O43561 Q15464
Q7Z392 Q9H0R4
Q9H2C0 P22314
Q13569 Q01831
P15018 P40189
Q9GZS1 O15446
P21673 Q9Y3C7
Q9Y6D9 P17480
Q969N2 Q92643
Q8WXD5 P62304
O43913 Q13416
Q13685 Q8IXH7
Q99726 O14617
Q00403 P29084
Q9H814 O14980
P46379 O95163
P07737 Q13432
Q9UMX1 Q9NPA3
P54368 P54253
O14777 O95229
Q9NY26 Q15464
P20807 Q7Z6G3
O95219 Q53H12
P10124 P02768
P15927 Q8NBJ4
Q9BVJ6 Q8NHQ1
P32780 P03372
Q99627 Q9BT78
P06400 P30260
P30793 P05026
Q9UBD5 O96020
Q9UKV8 Q9UPY3
P0CAP2 Q96FK6
Q14739 P04553
Q9P2H0 Q5UIP0
O95084 P42695
O75943 O60921
Q9H1D9 Q5T3J3
Q9NV58 Q9UMX1
Q04637 P55010
P67870 P55010
O95059 P78346
P54253 O00154
Q9GZT8 Q15555
O75716 P02686
P32971 P03950
P62258 P21580
Q7L5N1 Q8N2I9
Q9UMF0 P49768
Q03181 P48552
P68400 Q6VY07
Q07820 Q7Z6Z7
P06400 Q86Y97
Q86YC2 P51587
