Q96EZ8 Q9H1A7
P12532 P56557
O00142 Q8N4B1
Q96S90 Q9BZ71
Q9BWK5 Q8TCP9
Q5K4L6 Q9UKP3
Q969D9 Q86XD8
Q6P050 P30405
Q6RFH5 Q03154
Q8IXY8 Q8WYQ5
Q96LB3 O15375
Q8N3Z0 O75928
Q9NUW8 P54852
Q9Y675 P40225
O60353 Q7Z7B1
Q96PH6 Q969G6
Q9UP65 Q96BD8
Q99558 Q9ULY5
P0DM35 P34913
P49281 Q9UNQ2
Q9HBU9 Q9NX36
Q96R47 Q7Z4T9
Q5VTL8 P05060
P61236 Q587I9
Q96IL0 Q8TF64
Q86XQ3 Q8NA77
Q8N7Y1 Q96F24
Q5F1R6 Q9NRJ5
P59037 Q14258
Q8IY45 Q13562
Q6UX07 P10632
Q9BX79 P23760
Q96CJ1 Q13185
O43463 Q00839
Q9H808 Q8NDN9
O75373 O00624
Q9H8V8 P35998
Q8N7G0 Q6ZNC8
Q6IC98 Q9UBE0
Q9H496 Q4V328
Q6UXD7 P14672
Q99944 Q6ZTZ1
Q12800 Q8IVV7
Q96A49 Q8IXI2
Q9BYR9 Q9Y2B1
Q9NS64 Q96HI0
Q13278 P10827
Q8N4E4 Q96IQ7
O43395 Q9BSH5
Q9UKT6 Q7Z5H3
Q8WW52 Q8N813
P11362 Q8N7I0
O60884 P12525
Q9NTW7 Q9NPE2
Q9NVJ2 Q9UEW8
H3BNL8 P24347
E9PI22 P32242
P47901 Q15345
Q2WGN9 P06340
O95136 O94817
Q7Z6W7 Q8IWX7
P30501 Q9NZ53
Q8TAX0 Q9HAE3
Q9UHD8 Q8WZ92
Q8NGI6 Q8N0V4
Q96MU6 Q6ZNG0
P20851 O00186
Q5MY95 Q9Y5N6
Q4G0N7 Q86YJ5
Q6ZNQ3 P22612
Q96M29 O15528
Q8NDC0 Q969H9
Q13285 Q8NFR3
Q9BY31 Q14990
Q9NUH8 Q8NGI9
Q9NQZ3 Q5TZK3
Q9NXU5 P08567
A5D8V6 Q68G74
Q3YBM2 A6NLW8
Q6IED9 Q9NXZ2
Q96R09 P02533
Q9H0K6 O15127
Q5T0L3 Q9NWT8
P13985 P56748
A6NHY2 Q9Y4H4
O95758 Q86TA1
Q6PCB0 Q92838
P49760 P16452
P54829 Q9BQD1
P48169 Q9UN86
P46108 Q969M2
P46459 Q8TAI1
Q49SQ1 P00374
Q5JNZ5 Q9H8W4
Q06547 P08237
Q8N6V4 P53778
Q96S42 Q9Y2Y6
Q9Y244 Q9NPI9
P19961 P08910
O95925 Q5JRC9
P00739 Q99819
Q86YW5 A2RUQ5
P61081 Q9NYL9
Q5MJ68 Q9NS26
Q96BF6 Q86TA1
Q9NWW5 P05496
Q96S82 A6NLC5
Q3ZCQ2 P52569
P05090 Q14677
Q5T7P6 Q9NS61
O60809 P40429
Q8N543 Q9HAJ7
Q8TD22 Q8WVQ1
Q9GZN6 P23510
P59036 Q8N9W5
Q9NSY2 O95208
Q495W5 Q9NWS8
Q9BWL3 O75409
Q13371 Q9UHD4
P49674 Q86T26
Q6GTX8 Q495W5
Q86SE8 Q8NES8
Q9ULC5 Q9Y375
P41002 P10645
A5PLL1 O75390
Q96RK4 Q9UI32
Q9NVX0 Q9H2C5
Q6NSI4 Q9BZP3
A6NKD9 Q8NHC7
Q8WXF5 Q8WUT4
Q9BQ87 Q86XR2
Q8TED4 Q14914
P05534 Q9UGP5
Q4U2R6 O60404
Q9UKG1 Q5JQS5
P35637 Q96DP5
Q96IK1 P55290
A7E2U8 O60603
A6NH11 Q8N8E1
Q92686 Q9BYE7
Q9Y6Z7 Q12899
O75473 O95475
Q9NXF8 Q9P2W7
P46098 O14813
Q8IVL5 P35575
A4D1E9 Q9BYQ2
Q9NYZ4 P20700
Q99943 Q8TBC4
Q6UXH1 Q8NC60
O75934 Q9BTL3
Q9H4F8 P42574
P41220 Q96NZ9
A8MZ26 Q6P4F1
Q9Y5W5 P22303
Q9Y5E9 Q96DA0
P35790 Q8TBG9
Q96KD3 Q99417
Q8N8I6 P12271
P61803 P16083
Q96N87 Q5TGZ0
Q6ZSR6 P16220
Q7L0R7 P13688
Q9NXW9 Q5JT78
P31513 Q99616
P48544 Q9BV40
Q92930 Q5VX71
P34903 P21941
Q1A5X7 Q969E3
Q6ZV77 Q9Y5Q6
Q07325 Q5SSG8
Q6UXP9 A8MVZ5
P31213 Q7Z4W3
Q6NSJ5 Q96A84
P02746 Q9H3P7
A6NH52 A6NJY4
Q9NP74 A0A0B4J2D9
Q15109 P61952
Q6ZQT0 Q6AZW8
Q8TEQ0 Q96FZ5
Q5T013 Q96GE4
P50750 Q6PIF2
Q15758 Q8TDD5
O95859 P35250
O60431 Q9NQG5
Q8IU57 Q53FD0
Q5H9R7 P16401
