P38088 P29469
P47037 Q07468
Q02793 Q08921
Q99186 Q06096
P53397 Q03530
P32485 P40061
P40563 P38827
P36016 P47082
P21560 P25568
P39009 P53273
P38891 P53192
P25345 P23542
P11914 Q03308
Q00539 P53112
P21825 Q05568
P32609 P25584
Q02773 P32339
P22543 Q12527
P25574 P41318
P24384 Q01163
P07261 P36096
P38793 P50944
P11927 Q12021
P40350 Q01590
Q01574 Q04338
P38825 P40056
P46970 P53845
P14737 P42223
P39727 P47075
P49704 P42839
P38691 P53847
Q12155 P53129
Q02732 Q12003
P32380 P47026
Q04958 Q03694
Q08951 P50874
P49687 P40071
Q03880 Q04934
P37020 Q03897
Q02199 P38228
P53845 Q99385
P28239 P38995
P47069 P27801
P25375 P38237
P19882 P25584
Q03018 P32916
P40955 P32796
P00410 P53838
Q06385 Q05902
P17898 P53273
P32526 P28795
P53973 Q12154
P89105 P43614
P32500 P38927
P21954 P34230
P46971 P42839
P16522 P47150
Q12159 Q04338
P06786 Q04370
Q01454 P38717
Q08548 Q04370
P36006 P38770
P17891 Q00684
P22936 P38153
Q08754 Q03897
Q01802 P38349
Q06892 P36039
Q03697 P39727
Q00453 Q12006
Q99186 P34230
P12383 P10507
P40460 P38959
P38888 P38821
P38910 Q12016
P53628 P32363
P40460 P40955
P28239 P41807
P38169 P35197
P31380 P47127
Q00539 P00729
P14693 Q06651
P31244 P40482
P34077 Q99385
Q03530 P40094
P12689 Q12232
P39969 Q99383
P40825 Q12155
Q04847 Q01590
Q02336 P50091
P32790 Q05902
Q12315 P32913
P32363 Q04749
P22136 Q04228
P16547 Q12527
P31378 P00729
P48813 P11075
P08417 P41909
P19880 P53112
P31380 P39526
P40350 P00175
P04050 P32600
P40026 P53192
P46681 P32893
P52488 P80667
P48559 Q06708
P39015 Q03697
P15938 P16387
P38717 P32796
P52488 P53629
Q08951 Q00582
Q03497 P36168
P39010 P36168
P13586 Q07468
P40532 P36168
P40971 P38873
Q07395 Q02783
P37296 Q12096
P40066 P42223
Q12749 P53223
P20050 P38682
P18544 P38182
P24280 Q07418
P53847 P11075
P38826 P12687
P32863 P13433
P40155 P38797
P39108 Q04991
P12383 Q12527
Q01649 P42223
P48525 P38742
P39719 P38555
P10961 P18410
P04386 Q99385
P38182 P48527
Q07878 P46983
P40565 P22136
P33767 Q12473
Q05541 P27825
P04050 P35845
P53159 Q07468
P19658 P14906
P29496 P33760
P22855 P40509
P19880 Q03778
P52488 P53847
Q12016 P42223
P18414 Q06651
Q6WNK7 P39007
Q06159 P43601
P53079 P13712
Q03308 Q03218
P05066 Q12063
P32504 P50945
P34223 P38137
P40345 P50091
P50942 Q12211
P25375 P38915
Q02629 Q12096
P32829 P38682
P00410 Q05902
P47054 Q99385
Q00776 P34230
Q04183 P32578
P11745 P38863
P06208 Q08754
P33322 P32522
Q06568 Q12003
P36093 Q04748
P38261 Q03532
P39015 P53541
P39707 Q05902
P53968 P07342
P38705 P28795
P26755 Q07418
Q99190 P36168
P40047 P32837
P53629 P40501
P32591 P40367
P25569 Q12372
P40317 P38876
P50087 P22543
P36037 P24004
Q12287 Q06541
P00175 P35845
P28795 P39968
P32381 P27476
P43571 Q12114
P09624 Q07895
P32363 P53112
P32339 P38855
P40567 P47075
Q03713 P53950
P38153 Q04629
Q99332 P34756
P22082 P32796
Q02793 P41318
Q05541 P07271
Q12386 P53838
P40008 P20606
P06839 P11655
P25045 P22219
P35203 Q12241
P53730 Q03824
P22136 Q04991
P47112 P36062
P50945 Q03697
P08417 Q12473
Q12315 P38182
P07272 P32796
P21825 P32893
P39007 P34230
Q04225 P53541
P27705 P36062
P11914 P38164
Q05787 P32621
P15624 Q12098
Q92331 Q03308
P30822 P47170
P32790 P32837
P38910 Q06096
Q08920 P53622
P38198 P53079
P43638 P21657
P53037 Q12527
P36094 Q04991
P16387 Q03370
P53064 P32387
Q04629 P32600
P39104 P53951
P04786 P80667
