P40020 P17123
P42944 P26343
P29295 P19454
P00546 P40075
P05986 P53691
P21672 Q04964
P43568 P23293
P38264 P33335
P00546 P32334
P38768 P47093
Q12514 Q12514
P38957 P38751
P22214 P22213
P43545 Q12223
P35189 Q06697
P43321 P40070
P35178 P40991
P39547 P36172
Q12078 P25515
P53845 P53039
P21182 P21182
P35189 P41896
P06843 P06843
P53181 P43542
P05085 P07249
P40477 Q02630
Q03761 Q12514
P06782 Q03125
P36100 P19659
Q12066 Q06169
P23291 P39962
P07270 Q02939
P05986 Q03407
P43321 Q00723
P54786 P54786
P41697 P41697
P38264 Q99385
P39515 P23644
P38729 P43562
P49687 P33331
P25385 P22213
P46677 Q12297
P48581 Q08949
P46964 P48439
P54786 P50111
Q02629 Q99257
P53045 P40548
P00546 P38990
P12904 Q08732
P40350 Q08986
P00546 P43568
P53267 P38991
P47093 P39081
P14742 P36005
P40971 P39004
P17157 P43565
P06782 P46954
Q03497 P38274
P36068 P36068
P41808 P09938
P22579 P19454
P23291 P53265
P38204 P47132
P13902 P07270
P38310 P43561
P38992 Q08980
P40089 P53905
P25293 P53939
P00546 P38764
P25293 P38615
P48837 P38615
P33767 P39007
P14681 P25297
P43321 P38203
Q02795 P53389
Q08723 P08458
Q02574 P32776
P06778 P26754
P40368 Q02630
P25385 P22214
P05986 P38690
P40969 P40969
Q03503 Q02197
P53267 Q12248
P25586 P42846
P06100 Q12138
P11746 P11746
Q02629 P52891
P00546 P20486
P38806 Q08649
P53108 P38962
Q03063 Q03373
P13517 Q12446
P43321 P40018
Q04195 P50623
P14306 P40368
P00546 P24583
P39009 P14832
P16892 P38622
P47093 P48240
P37296 P31412
P48439 Q92316
P04817 P38264
P12904 P43637
P39001 P21190
Q03322 P31109
P41808 P43568
P40325 P40325
Q00772 Q12224
P50875 P06844
P39081 Q06224
Q00772 P38879
P25293 P25389
P22214 P40509
P38615 P21190
P40450 P41697
P11746 P07249
P21672 P21672
Q06217 P40204
P38729 P04817
Q12102 P35728
P51601 P51601
P07272 P07272
