P60228 Q59EK9
Q9P2H0 O95251
Q6PML9 Q15596
Q01344 P32927
Q15477 Q8IZH2
P46379 Q9H095
P03372 P35222
Q5T3J3 Q16891
P35222 Q9NSC2
Q5JY77 P41594
O14773 O14746
P15822 P54253
Q9UJX3 Q9UJX6
Q9UNI6 Q9P2H0
P12270 P52948
P09086 P12956
O60216 Q8N3U4
O75925 Q6PJP8
Q5T3J3 O43379
P06401 O75925
P19838 Q14690
P35222 P19838
P16870 Q9BVJ6
P78552 Q8TDR0
Q8N2H9 P51617
P54253 O75935
Q13029 P06400
P09884 P09874
Q9Y6H5 Q8N5H7
Q96T58 O94776
O60925 Q9Y2X7
Q6VY07 Q13563
P61513 Q5T3J3
Q03181 P48552
Q6VY07 P11717
Q96RE7 O15379
Q99973 O14746
Q92598 P00558
Q6IA17 P51617
O95347 Q9NTJ3
Q9BVJ6 O43261
Q9NV58 P23258
P17480 P68400
Q99558 Q13077
O14920 P21580
O95163 O14920
Q9UBD5 Q99741
P68400 Q9NQB0
Q7Z589 P51587
O60610 Q13563
O95219 P48357
O60282 Q15596
O00203 Q00610
Q14183 P61764
Q01780 Q15477
P62495 Q8IYD1
O75665 Q5JY77
P28799 P52790
O15287 P51587
O14745 P15313
Q9Y6C7 P03372
O75916 O14775
Q9UPT5 Q96A65
Q9NRI5 P78559
O14746 P12956
Q96N16 Q9UBS5
Q9HCS7 Q03468
Q99700 Q96EK5
Q6PJT7 Q9UPT5
O43395 Q15834
Q8TDM6 P35222
Q9UMS4 P04053
P03372 P10827
O94875 P18206
P46379 Q16891
Q5T124 Q8IYR0
P60468 P04114
Q6UB99 Q15596
P21580 O76080
Q92621 Q8N1F7
Q07889 Q12929
P04053 P12956
P43351 P27694
P49641 Q9Y2X7
O15360 O15287
Q15834 Q9UPT5
Q12834 P17987
O14777 O95229
P37198 Q96QU8
Q9Y2X7 Q9C0J8
P13010 Q14191
Q9UBB6 Q99698
Q8WUM0 P49454
Q13191 P36888
Q9Y678 O14579
P00491 Q9GZT6
P98161 P35222
O75694 Q53GS7
Q09472 Q8WW38
Q99933 P03372
O75925 Q9UPW6
P15941 P25054
Q15291 P06400
Q5JSS6 Q8N0X2
Q9UN74 Q5T3J3
P42081 P33681
Q14896 Q8WZ42
Q13873 P00540
P54253 Q96RK0
O14746 P42345
Q86VP6 Q13620
Q96J94 Q9UPY3
Q9UQE7 Q92845
P35222 P35221
Q8TEW0 Q01970
Q13077 Q02223
Q9UIF7 P27694
P05556 P13611
P35520 Q8IV36
O43747 P78559
P18206 Q00610
P68400 P35222
Q96KB5 Q12959
Q15834 Q8NE31
Q9Y6J0 P16298
Q15464 P31785
P27694 P49736
Q09161 O95793
Q12929 P05556
Q9UBU7 Q9UBD5
P51843 Q13285
Q9Y2X7 Q96RU7
Q12834 O60566
P15509 O14920
Q9BRV8 Q9UHD2
O75208 Q9HCE9
P21359 P05067
Q9Y263 Q9UBN7
Q5JVS0 Q07021
P54253 Q9H4I2
Q9UKG1 O94776
Q9P253 Q9NRW7
O14745 O43572
P98082 P98164
P57740 Q8WUM0
Q96PN7 Q13285
Q8NHZ8 P30260
Q96RK0 Q9HC77
P00491 Q5T3J3
Q9Y678 P53618
Q9UBU8 P06400
P10827 P61201
P15941 P35222
Q9UQB8 O60610
P04004 P15151
O14976 Q00610
P17480 Q08999
Q05586 P21359
Q16478 O43292
O60566 Q02224
Q8NDV3 Q9UQE7
Q01831 P19447
Q8N5M1 P25705
Q16576 Q9UKG1
Q92624 Q12788
Q9Y2X7 Q9H0I3
Q9UKN8 Q8WUA4
Q13596 P06213
O60925 Q5JY77
P54253 Q5HYC2
Q8WVB6 P35249
Q8TEL6 O14920
Q14134 Q8NHQ1
Q15464 P14784
O60641 O15294
O76061 O95831
Q8NFZ5 Q02763
P10124 P16070
Q09472 P42226
O43683 P78406
P48736 Q13480
Q12834 P30260
P13010 Q9BXJ9
Q99558 O95163
Q92878 P49959
Q13200 Q5T3J3
Q9HC77 P18627
P46100 Q9H7U1
P54253 Q96T58
P13010 P78527
Q99607 Q9Y3I1
O95251 Q9H8G2
Q15406 O14775
Q13190 Q5T3J3
P20396 P16870
O75052 P98164
Q9C000 Q9Y239
Q03468 P28715
Q9GZT8 Q15834
Q96JB2 Q14746
Q07864 P09884
P48552 Q15834
P68400 Q9Y624
Q9H2C0 P22314
Q9UJX3 Q13042
O15169 Q9BVJ6
P31785 Q01113
Q05048 Q12996
Q8TD16 Q13561
Q7L8L6 Q15834
P03372 Q6PML9
O14745 P35222
Q09472 Q14676
Q5T8A7 O75691
Q92759 P19447
Q14966 Q96EK5
Q9NVI1 Q9BXW9
P37198 P49792
Q13765 Q5T3J3
Q5VST9 Q8WZ42
Q12959 Q13224
O43823 P49736
Q8TDR0 Q9NRI5
O15169 P25054
P40189 P42702
Q08211 P57678
Q9GZT8 Q15555
Q7Z3B3 Q15834
P78536 Q12959
O75530 P13612
P54253 P16383
P35916 P05556
O14920 P19838
O76061 Q8TER5
Q99665 P29460
Q14789 Q9P2H0
O00311 O60610
Q99836 P51617
Q92556 P98174
Q9UBS8 P03372
P55895 P15918
O75901 P19021
Q9P2H0 Q9Y2X7
Q16478 Q8NBJ4
Q8IZH2 P04075
Q9UP83 O15553
P13010 Q07864
O95219 P06213
Q12802 P03372
P68400 Q14005
O60568 Q15834
P20807 Q7Z6G3
Q9Y6D9 P17480
P49959 Q9BXW9
P54253 Q9P2G9
O14920 P35222
Q9Y2X7 O75334
P53618 P48444
Q9UDY2 P35221
O15169 P35222
P12956 Q9BTW9
Q15650 Q09472
P46379 O95163
Q99698 Q96DF8
Q9UPT5 Q96KP1
Q12888 P19838
Q9NWF9 O15455
P07101 P68400
P03372 Q07889
Q92908 Q09472
O60566 P30260
Q99933 P06400
Q9P2S2 Q9GZR7
O00116 O15228
Q03701 P18627
Q99567 P52948
P13010 P09874
Q14191 P09874
P80108 P02647
Q13094 Q15464
Q9NSC5 P21817
P31785 P13232
Q13888 P18074
P30154 P13569
P06213 Q9Y4H2
P31785 P14784
O75925 O15169
Q9UBD5 Q13416
P98082 O15169
P15509 P32927
Q9HAV4 P35658
Q8TDC0 P16298
P43351 P49736
Q9Y2J2 Q96ID5
Q9UPV9 O15294
Q9UKA4 P31323
A5YKK6 Q9NZN8
Q14738 P30154
Q9UJX3 Q12834
Q99836 Q9BXR5
Q93008 P35222
Q96JH7 Q13190
Q9UKT4 O60447
P78527 Q99828
Q96RK4 Q15154
Q96QZ7 P08887
Q9HBM1 P60468
P15822 Q92979
P13611 P16070
Q99741 Q13416
P13798 P04278
P98161 P35221
P43351 Q14191
O15379 O75081
Q96PN7 Q09472
P07602 O96006
P54253 Q9H7H0
P42345 Q8N122
P06213 O14544
Q04637 Q9BUB5
Q92973 P52948
O95424 Q8NBJ4
Q9P2R6 Q5JSZ5
Q13421 Q8WXI7
Q9BVJ6 Q15834
Q8TEQ6 Q9UHI6
P10827 Q15646
Q92845 P25054
Q13042 Q9UJX2
Q08211 O60502
Q15528 Q8NBJ4
Q9NX74 P07814
O15379 Q03181
Q9GZM8 P43034
Q12923 P35222
P49757 P05067
O14713 P98164
Q5FBB7 P12956
Q92994 Q08999
O14579 P53621
Q8IZH2 P46379
Q5T5C0 Q12846
O95251 Q9C0J8
Q12888 Q5IJ48
Q9UP83 P83436
Q13077 P19438
Q05586 P11137
Q8IYF3 Q6ZU52
Q07889 O00499
Q99558 O14920
Q16576 P06400
P06400 Q09472
Q8IYF3 P48552
Q00341 Q08211
Q9BYM8 Q96EP0
P25705 P04278
Q12959 P98164
Q1MX18 Q8TEW0
P20273 Q13094
P35052 P05067
Q05586 P35222
O60925 Q9P2H0
Q9Y2X7 O43294
