Q14683 P43246
Q9P2H0 O95251
P53350 P49736
Q9NZU7 O00555
O95125 Q8WTR7
Q92834 Q14683
Q13309 P24941
P52292 Q02548
P24723 P05107
Q08345 Q96DI7
Q9UPT5 Q9Y6D5
Q5T3J3 Q16891
P12931 P51692
P05787 P11021
O95835 P53667
O14978 Q9H8W4
O95967 Q96EQ0
O75582 P07101
Q92997 Q96L94
Q9BZ71 Q14289
P36896 Q8N6C5
P09086 P12956
P35240 P04626
Q13137 Q96S44
P17612 P05114
P33993 P27694
P07332 P20936
Q9Y5B0 P30876
Q5MNZ9 Q96SI1
O60674 Q9NRF2
Q05586 O15399
O15525 O75444
O60216 Q8N3U4
Q96B97 P27986
P15498 P50570
P05771 Q13224
P63151 P30154
P10275 P19838
P16870 Q9BVJ6
Q96ST3 P29590
P05106 P16284
P54253 Q92614
P43405 P09769
Q92793 P31269
P68366 P22676
Q15047 Q5UIP0
Q6NZI2 Q9UQR1
P49023 P06239
Q08999 P33993
P49790 Q9GZY0
O94855 P61968
P21802 Q14289
P14598 O43451
O60749 P36896
O00238 Q70EL2
P18206 Q9NYB9
Q14994 P28069
P17252 Q16625
O43255 Q99708
P06400 P15336
O75886 Q969R5
Q14192 P05107
Q14831 P68363
O95365 Q02446
P0DP25 Q14833
Q16539 P41235
Q8N4C8 Q92845
Q04206 Q04864
P08253 P20742
Q9BVJ6 O43261
Q9HCE7 Q9GZS3
P03372 Q04206
Q9BQT9 Q99767
Q9NV58 P23258
Q9C0K0 P24468
P40199 P13688
P17612 P04035
P27986 O14512
P09874 Q01094
Q14686 P06400
P17844 Q15596
O95163 O14920
Q14289 P46108
P08631 P11274
Q8IW41 P13807
P48729 P17931
Q9GZU2 Q12933
O15379 Q92956
P15529 P01024
Q70Z35 P36897
Q92834 P23258
P43405 P40763
Q9GZU2 Q93009
O95219 P48357
P06400 Q05516
P08253 P11362
P29350 Q9UM82
Q99759 P08238
P53667 Q8TE77
P07332 P27986
P54259 P46379
P68104 Q9NRR5
Q92956 P48552
Q01780 Q15477
P14136 Q5T2W1
P42345 P23443
Q9Y6W6 P27361
O43426 Q96B97
Q8TB52 Q9HCE7
O75665 Q5JY77
P49841 P16220
Q86SQ0 Q14315
P42229 P23458
O00499 P56199
Q8NEC5 Q6UY14
Q9HCE7 P17480
P17252 P29475
Q9Y6C7 P03372
P10828 O75376
Q9H257 Q6ZU52
P07951 Q9NR12
P16333 P00533
Q96N16 Q9UBS5
P55036 Q9UHD9
Q8IZP0 P20929
P61371 Q8TE12
Q13322 P31749
Q99836 O60602
Q13356 P35613
P48059 P36897
Q9Y4K3 Q16539
Q5M9N0 Q9NR46
Q08380 P05556
P29400 P14780
P08069 Q15139
P42772 Q9P2H0
P51692 P29350
P22607 P40763
P48382 P33076
Q6IA86 O60674
Q96S55 Q14191
P04053 P12956
Q99972 P02751
Q5JVS0 P63244
P43351 P27694
O43791 O75367
O75182 Q15047
Q9NUW8 P11387
O00499 P23229
Q8IW41 P15336
Q9GZN2 Q13547
Q5FBB7 P62714
Q06455 Q9Y2W2
P56524 P46100
P26447 Q9UKX2
Q3L8U1 Q14994
P27361 P53355
Q86YM7 Q9Y566
Q13492 P19174
Q9Y2X7 O75145
P25205 P24928
Q15785 Q9NPF5
Q9NZL4 P11142
Q9UQ13 P04049
O60674 P32927
Q96A23 Q9C0C9
P22670 P31629
Q05516 P56524
P24723 P12931
O95163 Q99728
Q16288 P18031
O15399 Q05193
P17676 O75582
Q01826 P39880
P42858 P62993
Q15746 P68032
P35555 P13611
P03372 P04626
Q16254 P06400
P68104 P29074
Q9UBT7 Q96PY6
Q00653 Q92896
P42229 Q15303
P35520 Q8IV36
P10916 Q6UWE0
Q92793 P15976
P30530 P19174
O15534 P48730
P02679 P00488
P54257 Q9Y6V7
O00482 P01160
P23193 P29083
P31269 O00470
P06493 Q9H4X1
O43918 Q92793
Q99962 Q8IUX8
P41220 P05129
P23769 P19793
O60216 Q14683
P43364 Q15560
Q8N4C6 O14965
P13497 P02452
Q9UNY4 Q99459
Q15139 P45984
Q9UF11 P36897
Q13813 P07196
O75208 Q9HCE9
O43707 Q96QZ7
O94762 O43312
Q13009 Q02156
