Q9BQ66 Q9BT49
O00231 Q7L5N1
Q96AD5 O15198
P51159 P10144
P10145 P25025
Q16594 P49848
P00734 P10451
Q15843 Q96LD8
P31942 Q9UKR5
O76003 Q70Z53
P17096 P23511
P27824 P15260
Q15365 Q9UKM9
Q9UBW8 Q6P1K2
Q9NX52 Q15768
O14613 P60953
P10415 P00441
Q15573 P04637
P04406 P11166
O94777 P37287
P04637 Q99547
P37268 Q9BTV4
P05026 P56817
Q13485 Q99966
P05091 Q9UKR5
P21673 Q9Y3C7
P09211 Q00597
Q9Y6X1 P61619
P04637 Q9BQD7
P43116 O14684
P10145 P04899
O15519 P49810
P01222 P01215
O95166 Q9UK41
Q9Y2S7 Q9H1I8
P51116 Q06787
P04899 P18089
P20309 P84077
P15172 P47928
Q9NPI8 Q00597
P16989 Q15366
P55316 P98177
P23511 P22415
P42574 P10415
Q96AE4 Q16637
P00742 P35237
Q9BT04 Q9BU20
Q9H840 P62318
Q9H444 Q96CF2
P39748 P52565
P27348 O15198
Q86XR7 Q8IUC6
P26368 Q96LR2
Q15796 P62263
Q9HD36 Q07812
P61218 P19387
P21246 Q9UGL9
Q9UL45 Q6QNY1
P04792 P02489
P22087 Q16637
P14210 P05981
O95870 O75391
Q96HZ4 Q14469
Q9UGP8 Q99442
P51116 Q15041
Q06265 Q9NPD3
P09871 P00736
Q15024 Q9NQT4
P54826 Q15465
P07339 P02818
P41002 P14635
Q16589 Q15257
Q16558 P00395
Q13432 Q8TDN6
Q9GZM7 Q99750
O43561 P01732
Q99500 P63096
P61981 Q92804
P31946 P62258
Q13442 P01127
Q9H3N8 P63096
Q8WV24 Q99750
Q8WXD5 P62304
Q9NQ94 Q92945
O75818 P78345
Q03135 Q9Y6H8
Q13432 O00231
Q6ZVK8 O75525
Q9BT78 Q92905
Q9BQ95 Q15797
P52565 P46527
Q9Y2U8 Q15797
Q9BUL9 Q969H6
P19387 P53803
Q9H244 P04899
Q14103 Q15366
P35869 P13984
Q15120 P08559
P30679 P21554
P21246 O94864
Q15797 P55316
P00749 P00750
O14744 P62318
Q13526 P20338
Q92990 Q9UNZ2
P31944 P42575
Q7LG56 P31350
Q5RL73 O95257
P61978 P84103
Q9NQZ6 Q9BQD3
Q9HD47 P62826
Q99717 P08621
P01040 P09668
Q13432 Q96GX8
P31947 O60269
O14613 P17081
Q9NQL2 Q76FK4
O75528 Q9BRR6
O15514 P62875
O75344 O75909
P63104 Q12778
Q9HD36 Q92934
Q15796 Q99732
P56537 O76024
Q6ZVK8 Q9H446
Q13432 Q96SN7
O00161 P23763
P68431 P49450
O14653 P84077
P15884 Q02363
Q86UU9 P21452
P62487 P49842
P14866 P26599
P02768 P07288
P07711 P53634
P09601 P30043
P08697 P17538
Q96EY1 Q06609
P25024 O95837
P29016 P61769
Q9NZL9 P31153
Q92597 P62249
P04070 P35237
P61981 Q04917
Q8N668 Q9Y6G5
P07339 P07858
P38936 O75496
Q8IUC6 Q7Z434
P20248 P38936
P28072 Q99436
Q13571 Q9Y5J3
Q00587 Q9BQ66
Q01453 P40855
Q15796 P40855
Q86U90 O75884
Q9H4E5 P60953
P02775 P25024
P48594 P25774
P55769 P98175
P31431 P21741
P02741 P02743
Q9UK55 P00742
Q99719 Q15019
Q9NRX3 Q9BXR0
Q9UKR5 P19387
P51684 P60022
P10321 P61769
P68036 Q13485
Q92597 Q9Y6Q5
P04156 P25788
P01303 P32245
P01009 P08246
P09466 Q7L5N1
P07288 P01009
Q92597 P39023
Q99750 Q9H5Z6
P38159 Q92530
Q6Y2X3 P21728
Q9Y333 Q96IZ7
P38432 Q15020
P05413 Q9UK41
P55010 P47813
O75628 P63104
P42574 Q06609
P01732 P10321
P31942 P02766
P46977 Q8NCD3
Q9H1J1 Q9Y5S9
P04899 P30542
Q9Y3B2 Q15024
P19086 P14416
Q16637 P62316
Q9BZR8 Q07817
Q13162 Q06830
P05121 P00747
Q9H237 P56706
P06454 P14635
Q9UBW8 Q92905
P55854 O96020
Q15424 P09651
P21673 Q9BWH2
P61978 Q9Y580
Q92806 P48051
P24158 P30740
P42574 P60953
P49286 P63096
Q8N336 Q9NWX6
P61981 P26651
Q04844 P02708
O75446 Q16778
Q8N668 Q9GZQ3
Q9NQX5 P24385
O75822 O75528
Q8N5J2 O95777
O60671 Q9GZQ8
P04406 Q9NXU5
P04183 Q5RL73
Q8N1S5 Q96D05
Q92597 P31943
P84243 Q86X55
Q01453 P27824
P30519 P26641
Q01844 Q93062
Q9H633 O75818
Q01844 Q9BQD3
O15514 P53803
Q6EEV6 P30041
P09669 P21246
P54252 P51665
P63165 P04637
P00387 P00167
Q9Y6Q5 P61966
Q92597 P11940
P00709 P15291
Q99638 P12004
P46527 Q92905
P11172 Q9UKI2
P08246 P05546
P07858 P02818
Q9NQT5 Q9NPD3
Q13158 Q9Y3A3
P09210 P08263
P20226 Q969F0
Q96KS0 Q16665
Q01844 P56278
Q7LG56 P04637
O75593 P84022
Q9UQF0 Q15758
Q6Y7W6 P14678
Q15696 P26368
P36575 Q9UHM6
P01732 P01889
Q9UIV8 P43235
P08754 P14416
P15502 P08246
P08588 P49407
P84077 Q8NC60
P55851 P63104
Q9H6Z4 P62826
P37268 Q15041
P48039 Q13151
P03952 Q04756
P01116 P10415
P32745 P63096
P63165 O75030
Q8N488 Q13158
P04637 Q9H0Q3
P40123 Q01518
P61981 Q96F86
P18827 P21741
Q03395 P23942
P62318 P14678
O43603 P50148
Q9H2V7 P10415
P78324 O60936
P04637 P50453
P00734 P55085
Q9NR33 Q9NRF9
P04637 P67809
P35914 Q9GZW8
Q15543 P20226
P07237 P05198
Q06495 P40855
P19387 P19388
Q9BU76 Q9NVV9
P31689 P30408
P00734 Q16613
Q14919 Q9NRF9
Q16637 P62308
P00734 P22891
P48551 P01563
P20248 P62324
P25789 P60900
Q6ZNK6 Q96CG3
Q6RW13 P30556
Q9HAW0 P20226
P63104 P18089
P37108 P49458
P62380 P52655
Q15819 Q9Y3A3
P63279 P27540
P42574 Q02078
Q9NYN1 Q13485
P62314 Q16637
Q16665 P51398
Q14469 Q02535
Q9UKJ5 Q9BQ66
P05121 P08246
P06748 P05549
P50552 Q96MA1
P25116 P30679
P09471 P63096
P0CG47 P04439
P61956 Q13569
Q9HBZ2 Q16665
Q8IUC6 Q14653
Q8TBR7 Q9UJ14
Q16665 P27695
P67870 P04637
Q13011 P50453
Q13123 P35080
Q9Y3B2 Q9NPD3
Q9P0L0 P63027
P55212 P42574
Q9Y5S9 P61326
P11831 P23511
O75771 O43543
Q03135 P61586
Q96LA8 P17096
P04183 P04637
P49918 P15172
P48039 Q15084
Q16611 P10415
Q01844 Q9Y676
P62805 P63279
P04792 P07315
O00244 Q04656
Q07955 Q01081
P21246 Q9Y657
Q9Y6I8 P40855
Q14103 Q15365
Q15102 P68402
O95630 P13196
P30304 P84022
P08559 P11177
P63096 P35462
Q9NZC7 P04637
O95999 Q15628
P43681 Q04917
P27540 Q9Y5J3
P49356 P62070
P51116 Q9HAF1
P55212 P05549
O00458 Q92963
P09455 O75446
Q15465 P18509
P01042 P00734
O95400 Q92530
Q9UK97 P63208
P04792 P99999
O43583 Q9ULC4
Q8WUD1 Q15797
Q9NQT5 Q96SZ6
P36575 Q14749
P06454 P20248
O60383 Q15102
O00590 P10147
P61081 Q15843
O95070 Q969M3
O00161 P51116
Q16637 P62306
Q9UI14 P51148
Q9BSL1 Q13571
P24387 P55089
Q13326 Q16585
O43809 Q8N684
A0A5B6 P01889
P23246 P09012
Q15573 P20226
Q01844 Q16558
P14672 Q15084
Q15102 Q9Y3C7
P42575 P30281
P00746 Q9H0R4
P04792 P02511
Q96A72 Q9Y5S9
Q13438 Q15796
Q01130 P35637
Q9BTU6 P08962
Q99627 Q9UBW8
P49888 Q5RL73
O15297 P46777
Q96AE4 Q92879
Q15365 Q9BTD8
P21246 Q9NXU5
P52434 O15514
Q15544 P20226
O00253 Q9UBU3
Q00403 Q14978
Q13790 P02652
P16989 P11233
P63167 P20338
P01903 P28068
P32297 P30926
P04080 P07858
P25116 P04899
O43524 Q15796
Q00688 P67870
O00422 Q9UGY1
P00742 P10646
O60238 Q07817
Q99689 Q96GM5
P05155 P48740
Q9NPQ8 Q5JWF2
P78345 O75817
P36542 Q9UQN3
Q9H0F7 Q15041
Q96BI3 P49768
P83369 P14678
Q15796 O15198
O95067 P38936
P21796 Q07812
P35372 P30679
Q14978 P38432
P09693 P07766
Q8WYA1 O15516
Q15527 O60512
Q9BTV7 P04637
O60512 Q9NXU5
P62829 Q9P287
Q9Y4Y9 P62306
P12004 P67809
P21246 Q9H8M9
Q12981 P10415
Q9UHE5 Q13485
O60383 Q99547
Q9NPB9 P13500
Q14344 O95977
Q9UNI1 P01011
P43088 P43116
Q96RK1 Q92754
P35813 P84022
P14209 P62256
P03950 Q15904
P05230 P15880
P02792 Q12962
P04637 P20248
Q6EEV6 P31943
P60981 O15198
P60201 P02686
P62861 Q7L5N1
Q6EEV6 O00299
P48023 Q13526
P25774 P02818
Q15672 P15172
Q9UBX3 Q9BQ66
P25686 P62979
Q9HCU8 P12004
P78396 P30304
Q9BW71 P62805
Q9NY26 Q9NP94
O43603 P22466
P67870 P55010
Q8WV24 Q9BQ66
P22888 Q5JWF2
Q9P298 P0CAP2
O96007 P32969
P00995 P15502
O14893 P08621
P00734 P05121
P07711 Q9UIV8
Q9UHD4 O76075
P29466 P05549
Q7Z2D5 Q70Z53
P04899 P21462
P42574 O75475
P62826 Q99932
P01569 P48551
P25025 P80162
Q93062 Q8TC90
Q08170 Q9H307
P62330 P49407
P11940 Q15366
P00734 P02760
P30281 Q9H063
O94763 P19388
Q03135 P29033
Q96D98 Q8N6I1
O75177 Q15427
Q16594 Q9Y6J9
P42574 P61604
Q9UI14 Q9NP79
P60953 Q13432
P25025 P30679
O75381 Q96G25
P27540 Q14190
Q9H2A3 P50553
O95777 P83731
P02768 P08709
P46094 P47992
P61981 Q9UHX1
P20962 Q7L5D6
Q9BT49 Q96LR2
P60891 Q9NZD8
P15927 Q9Y3C7
P42768 Q8N8S7
P84095 Q15797
P27797 O15533
O14842 P50148
P42830 P25025
Q13242 P0DJD3
Q6KF10 Q15797
Q01844 Q9NRG1
P26641 Q96D98
Q15024 Q13868
P00734 P04070
Q01726 P32245
P13500 Q16570
P11940 Q15365
P60953 P42768
P05154 P00734
Q9UKR5 Q9Y333
Q6EEV6 P12268
Q9BRA2 P01185
P00167 P04798
P01732 P13747
P20366 P29371
P35080 P46783
Q14469 Q9NPI8
P07510 P02708
P15173 Q02535
Q9H211 O75496
P00387 P99999
Q13217 P58753
P51114 O95084
Q2Y0W8 P00918
P54368 O95190
Q9GZQ6 O15130
Q99689 O43719
P61978 Q9NQX5
P60201 P27824
Q15233 Q8WXF1
Q06609 O43502
P23246 Q9UK76
O75569 P58753
O75525 Q13242
P17542 P15923
P62258 Q04917
P50616 O15198
O43541 Q15750
P10599 P27695
P32246 P13236
Q9NQT4 P23246
P62380 Q15286
P08758 P37268
O95292 P63027
O00327 O15516
P49842 Q99808
Q6WBX8 O60671
