Q9NQ79 Q15555
O75326 P16333
Q9NQ76 P16333
Q9ULZ2 P10275
Q9ULZ2 Q13480
Q9ULZ2 P10721
Q9ULZ2 Q96B97
P20936 Q8IZP0
P20936 P10275
P20936 P04632
P20936 Q13480
P20936 P10721
P20936 P16333
P20936 P09619
Q8WXE9 P42566
Q00535 Q8TDN4
Q00534 Q16543
Q00534 P42771
Q00534 P42772
Q00534 P42773
Q00534 P55273
Q00534 P08238
Q00536 Q92624
Q00536 Q15436
Q00536 O43829
Q9NXR5 Q92624
Q9NXR5 P78424
O00716 Q9NRZ9
O00716 Q96JM7
O00716 P43246
O00716 P06400
Q6VAB6 Q16543
Q6VAB6 Q13451
Q6VAB6 P07900
Q13835 Q9UHL9
Q13835 P02533
Q13835 P05783
Q13835 P13647
Q13835 P05787
Q13835 P08670
P40424 P31314
P40425 Q13515
P40425 Q9H257
P40425 P49639
P40425 P09067
P40425 Q00444
Q13838 O00148
Q13838 O00560
A6H8Z2 Q92764
Q9UQ03 Q92624
O60508 Q9UMS4
O15259 Q13444
P51504 Q86X02
Q96DX7 Q86WT6
P07900 Q16543
P07900 Q7L3B6
P07900 P50750
P07900 Q96G23
P07900 O15111
P07900 Q02790
P07900 Q14318
P07900 Q9Y6K9
P07900 Q9UHH9
P07900 P05412
P07900 Q6VAB6
P07900 P04150
P07900 P43034
P07900 P53041
P07900 Q9H6T3
P07900 Q15831
P07900 Q9UNE7
Q9P215 P08238
Q9UK17 Q9NZI2
Q92832 Q6UW56
Q92831 O60566
Q92831 Q9Y5W3
Q92830 O75717
Q92830 Q8IYH5
Q969K4 Q13618
Q969K4 Q05639
Q9UHB4 Q5JST6
Q9UHB4 Q9BT92
Q9UHB4 Q9UHD9
Q6NX49 Q9GZM8
Q6NX49 Q12933
Q6NX49 Q9BZW7
Q14566 P42771
Q14566 Q7L590
Q14566 P49736
Q14566 P25205
Q14566 P33993
Q14566 Q08945
Q14566 Q96C00
P41217 Q8TD46
Q7Z5L2 Q8IW40
Q7L8L6 O95259
Q8NHX9 Q9ULQ1
P35452 Q13077
Q9H4P4 Q9NWX5
Q9H4P4 Q9NSB8
Q9H4P4 Q9BRK4
Q9H4P4 O15049
Q9H4P4 P35249
Q9H4P4 Q99614
Q9H4P4 Q8N1B4
Q9UHH9 P07900
Q9UHH9 P50222
P23352 P11362
Q9HAP6 Q13368
Q9H213 Q6NT76
Q9H213 Q15025
Q9H213 Q8WV44
Q9H213 O15535
Q96G23 P07900
O60381 P06400
Q8HWS3 Q08117
Q8HWS3 Q8NEC5
Q8HWS3 Q86UW9
Q8HWS3 O43559
Q8HWS3 Q14511
Q8HWS3 Q494U1
Q8HWS3 Q13131
Q8HWS3 P54646
Q8HWS3 P48378
Q8HWS3 O75716
Q8HWS3 A5D8V6
Q9C0H9 P56945
Q9C0H9 P12931
Q9NXR1 Q70YC5
Q15762 Q92692
Q15762 Q495A1
P10916 Q99972
P10912 Q16829
P10912 P16333
P10912 P18031
P10912 P17706
P10912 P26045
P10912 P43378
P10912 Q9HD43
Q8N720 Q9H257
Q8N720 P11802
Q8N720 Q9BVG8
Q8N720 Q6A162
Q8N720 Q6NUQ1
Q8N720 Q8NA61
Q8N720 Q12933
Q8N720 P15498
O75604 Q8IYA8
O75604 Q2TAC2
O75604 Q8WTU0
O75604 Q08379
O75604 Q9NYA3
O75604 Q4V328
O75604 Q9NSC5
O75604 Q9UJC3
O75604 Q9BVG8
O75604 P19012
O75604 Q6A162
O75604 Q969G2
O75604 Q9BRK4
O75604 Q00987
O75604 Q9GZM8
O75604 Q12933
O75604 Q9Y4K3
O75604 P14373
O75604 Q86XT4
O75604 Q8N1B4
Q8WUF5 P62136
Q8WUF5 P62140
Q9UHC7 Q9UER7
Q6KB66 P19012
Q6KB66 P08727
Q6KB66 P35900
Q6KB66 P50222
P43361 P28676
P43361 P25791
P43361 O15481
P43361 P40692
P43361 Q13563
Q96RU3 Q05193
Q96RU3 O60749
Q96RU8 Q8N2I9
Q96L50 Q15645
Q9Y5A7 Q9NZN9
Q9Y5A7 P54274
Q9Y5A6 Q6A162
Q9Y5A6 Q8WV44
Q9Y5A6 Q9P0L1
Q9Y5A6 P17028
Q9Y5A6 Q96IT1
Q9Y5A6 P10073
P00558 O15379
Q13643 Q13444
Q13643 Q9UMQ3
Q13643 Q8IYA8
Q13643 Q8NE01
Q13643 P09603
Q13643 A2VCK2
Q13643 A0AVK6
Q13643 Q7L775
Q13643 Q86YD7
Q13643 P15408
Q13643 P23769
Q13643 Q12891
Q13643 Q9UKT9
Q13643 Q63ZY3
Q13643 Q6UWL6
Q13643 P57682
Q13643 Q5T749
Q13643 Q9NRM7
Q13643 P25791
Q13643 Q8N448
Q13643 A2RUH7
Q13643 Q86TB9
Q13643 Q96BD5
Q13643 P29350
Q13643 Q2TAL8
Q13643 O60216
Q13643 P48380
Q13643 O00560
Q13643 Q9NU19
Q13643 Q6ZVT0
Q13643 B2RUY7
Q13643 Q8WYQ9
Q13643 Q8TAU3
Q13643 Q96KM6
Q13642 P48552
Q13642 P62714
Q9HCE1 P35226
Q9HCE1 O95503
Q9HCE1 O95931
Q9HCE1 Q9HC52
Q9HCE1 P19525
Q9HCE1 P35227
Q8N6K7 Q8IYR0
Q8N6K7 P10809
Q8N6K7 O60341
Q8N6K7 Q8TAP4
Q96CN9 Q9NYB9
Q96CN9 P18848
Q96CN9 Q9BUH8
Q96CN9 Q13490
Q96CN9 Q86XR8
Q96CN9 Q8NHQ1
Q96CN9 P08151
Q96CN9 Q08379
Q96CN9 Q2KHM9
Q96CN9 Q9BRK4
Q96CN9 Q9NPJ6
Q96CN9 Q15742
Q96CN9 Q9P286
Q96CN9 Q9UBB9
Q96CN9 Q14134
P06239 Q13444
P06239 P10275
P06239 P20749
P06239 P01730
P06239 Q5VV42
P06239 Q13480
P06239 P08238
P06239 P10721
P06239 Q9BRK4
P06239 Q9H204
P06239 P04150
P06239 Q04759
P06239 Q9Y2R2
P06239 P29350
P06239 Q9NP31
P06239 P43405
P06239 P43403
Q96KM6 Q13643
Q96KM6 Q8IUQ4
Q96KM6 Q13077
P10644 Q9H8W4
P10644 P17612
P10644 P51817
P10644 P35250
Q16236 Q14145
Q16236 O15525
Q16236 O60675
Q16236 P10276
Q16236 Q9BTA9
Q9H9P5 Q9NPB3
Q86XT4 O60733
Q86XT4 P54725
Q86XT4 Q3SY00
Q86XT4 O75604
Q01968 Q6ICB4
P36897 P02750
Q8N5G2 P49639
Q12788 Q92624
Q12788 Q9Y5X4
Q12788 Q16576
A1A5B4 Q12959
O15062 O43602
O15062 Q9UH65
O15062 O15156
Q03989 P54253
Q03989 O95429
Q03989 P61024
Q03989 P03372
Q9Y297 Q5JTC6
Q9Y297 P18848
Q9Y297 Q76N32
Q9Y297 P35222
Q9Y297 Q13616
Q9Y297 Q12959
Q9Y297 Q02750
Q9Y297 Q00987
Q9Y297 Q16621
Q9Y297 Q99952
Q9Y297 Q8WWW0
Q9Y297 Q13127
Q9Y297 O95863
Q9Y297 O75410
Q9Y297 Q9C026
Q9Y297 P30291
Q9Y297 Q5D1E8
Q5FYB1 Q6A162
P35070 Q15323
P35070 O75360
P35070 P26447
P35070 O43765
Q9Y2T4 P67775
Q9Y2T1 P35222
Q9Y2T1 Q0D2H9
Q9Y2T1 P53350
Q9Y2T1 P62714
Q9Y2T1 Q15583
Q9BZ67 Q96HH9
Q9BZ67 Q9H8W4
P29034 Q02790
P29034 P52292
P29034 Q00987
P29034 P23297
P29034 P04271
Q8N9W4 Q14525
Q8N9W4 Q6A162
Q8N9W4 Q8NA61
O15066 Q92845
P35251 P35250
P35250 P10644
P35250 P35251
P35250 P35249
O75427 Q6A162
O75427 Q7Z3S9
O75427 Q9Y2Z0
O75426 P08238
Q92731 O15162
Q92731 P53041
Q92731 Q12800
P51884 P50281
P20138 Q15323
P20138 Q92764
P20138 Q6A162
P20138 Q06124
P20138 P29350
Q5T2T1 O14910
O00505 Q9NR30
O00505 P19447
O00505 Q96MH2
O00505 Q14974
O00505 Q13330
O00505 Q96P16
O00505 Q2YD98
O00505 O43167
