O95476 Q8N9A8
A8MV65 Q3LI70
Q6IPU0 P61764
P07510 Q9BYQ3
Q16348 P29972
Q9NZG7 Q9BXN2
P35637 Q01844
O95363 P60411
Q6UXG3 P60411
P07237 Q13162
Q13287 Q9XRX5
Q6PEX3 P60411
Q9UI95 Q12834
Q15427 P98175
Q7L273 Q8N490
Q9BYQ3 Q5TA81
Q6PEX3 Q9BYQ4
P60411 Q5T5A8
P61619 P27824
O95363 Q9H3M0
P60520 O95210
Q15084 Q13162
A2RTX5 P26639
Q6ZRY4 Q6VB84
P23284 O43765
O95751 Q9UBU9
O43516 P42768
P35212 P35372
Q9Y5S9 P61326
Q8N8S7 Q9NYB0
Q8WWY3 P38159
P49901 P63167
Q7Z3S9 Q9BYQ0
P49247 Q6IPU0
Q8TBK6 Q9NZ81
Q9UI95 Q7L273
P13688 Q16568
P06126 P61769
O43617 Q86SZ2
P63165 Q12800
O60238 Q9BXN2
P47813 O94829
O95273 P46779
P04155 Q9NYZ4
Q8WYA6 O95751
P61978 Q14011
Q93062 Q9BTE1
O14633 P26371
Q9NRG1 Q96G04
O95751 Q96BZ8
Q969H0 P63208
Q03692 Q9UMX0
A8MQ03 Q5T5B0
Q8N474 O60353
P60409 Q7Z3S9
Q8NAT1 Q7Z3S9
P60328 O14633
Q8NEC5 O14817
P60370 Q9UHI7
Q7Z3S9 A1A5C7
A8MQ03 Q5TA78
Q6P1W5 Q93062
O95751 Q8WYA6
Q6UXX9 P60372
Q7Z5A9 P53611
Q9H1C4 Q5T700
P13236 P51681
O75419 P38936
Q9Y5L2 O43681
Q13740 P30203
Q9NVP2 P54198
P60370 P59990
Q96PV6 P09012
P0DI81 O43617
P78358 Q9Y5R4
P27487 P19875
Q9UK22 P63208
P26371 A8MQ03
Q9H9A7 Q13472
P11441 Q96EQ0
Q9GZQ8 Q9NT62
P08648 O14786
P63208 Q9NXK8
P63244 Q9NWQ8
P05067 P01137
Q15369 Q8N668
Q6IPU0 P49247
P38159 Q15415
P13693 P04792
P60411 Q6NUJ2
P60409 Q5T686
P60409 P29972
P06756 P18564
Q9NQL9 O15353
Q96CG3 Q99757
P02741 P31995
O95994 P12104
Q13042 Q8NHZ8
Q8WWM7 Q13283
Q15185 P08238
Q08AM6 O43251
Q15415 Q14011
Q9H4D5 Q9NPJ8
Q9NZ81 Q08AM6
P60412 Q9BYQ4
Q05519 Q5T013
Q9Y4M8 Q93062
P38432 P55081
O43765 Q8TCT8
P49238 Q9P0B6
Q8TDQ0 P13688
Q9H813 Q04941
O95257 Q9Y3C7
Q6L8G9 P60411
P60370 P60409
P60410 P15151
Q13478 Q14116
O95944 O43914
Q13895 P38432
P78552 P05112
Q6L8G9 Q9BYQ4
P07910 B2RXH8
P63165 P04637
P11177 P10515
Q9NRR5 Q9H492
Q6UY14 Q2TAL6
O14817 A8MQ03
Q9UMX0 Q9BWD3
Q6P9F7 Q8IWT6
Q9BSE2 Q9BXN2
O94808 Q9NUX5
P00736 P09871
P01241 P10912
Q9BYQ3 Q5TA78
Q8IXL6 P02810
O75386 P60409
P80217 Q6UXB4
Q9NZD8 P02489
Q7Z3S9 Q9Y3R4
Q5XG85 O95273
Q6UY14 Q969U6
Q5T5A8 Q9BYQ2
Q14318 Q8TBM7
Q6UY14 P34130
P04637 Q9H3D4
Q9UGL9 Q701N4
Q96NY9 P39748
Q9GZL7 Q14137
Q9BYQ4 Q6L8G4
P61769 P06126
Q9UHD9 P09651
Q08AM6 Q92562
O75969 P13861
Q13309 Q9UM11
P49901 Q5TA78
Q96FX2 Q8WWB5
Q9Y223 P60370
P10644 Q9BSF0
P60411 Q9UHJ9
O15427 Q86WQ0
Q5VWX1 Q9NQX5
Q02790 P04792
Q9BYR5 Q9BYQ2
O76003 Q96Q83
P19883 P03950
Q9UMX0 O60844
Q7Z7F0 Q9UHX1
P60409 P48146
P26371 Q96HA8
P05556 P08648
Q8WXF1 Q15233
Q13347 Q6UXB4
O00322 P35247
P05121 Q96EQ0
Q9NVM1 O43765
Q9UBK9 Q7Z3S9
P14770 O43597
Q8WTP8 Q15415
P30411 P01042
Q07108 Q8WZ59
P12268 Q96GX9
Q9UJX2 Q9HAB3
Q96HA8 P56279
Q9P1W8 Q08722
Q9GZQ3 Q9Y6G5
Q9NPD3 Q01780
P02686 Q9GZU7
Q9H4A6 Q15041
Q8NBS9 Q13162
Q6UWV2 O60487
P02671 Q8IXL6
Q495A1 Q9NQS3
Q9NS73 O15160
Q9H0R6 O43716
P49901 Q9BYR3
Q07627 P01308
O94829 P47813
Q92562 Q08AM6
Q9BYQ4 P63313
Q9Y5S9 Q9BZI7
P26371 Q92692
Q9ULW3 P50402
Q7Z3S9 O43688
Q7Z3S9 Q04900
P08238 Q02790
Q01959 P14416
Q5TA82 Q7Z3S9
Q8N9Q2 P15531
A1A580 Q93062
O15243 P48357
Q9UMX0 Q92575
O14633 Q9BQ66
P19875 P27487
O95210 P60520
Q8TC90 Q7Z3S9
Q9NYB0 P80297
Q96BZ8 Q8WW34
Q8IXL6 P01008
Q9NYB0 Q8WW12
Q8N684 Q08117
P60568 P14784
Q7RTY0 O95273
Q13287 Q8N4P3
Q7Z3S9 Q969U7
Q8TAX7 P02810
P80294 P58062
P63244 Q99497
P30260 Q12834
Q14011 Q5VWX1
Q9Y297 P04637
Q5T700 Q8WZ59
Q86SE5 Q8WTP8
O00204 P50225
Q9UKJ5 P60409
P28799 O76003
A8MQ03 P49901
Q9UMX0 P04155
P02511 P02489
Q5TA76 O14817
Q9UMS4 P98175
P61073 P32302
Q9UMX0 O75830
Q5T5A8 Q9BYR5
Q16531 O75530
P47211 P22466
Q9Y2C9 O00206
Q9NWV8 Q9NYB0
P27797 O95166
P49901 Q9BYQ3
Q9HCJ2 Q96CW9
P60409 Q9UKJ5
Q8NC69 Q9H7E9
P21980 P05067
P51116 Q8N983
P60411 Q06250
P61956 Q9HC62
Q9BXW4 Q15459
Q9BYQ4 Q86YT5
Q5TA45 Q8TDS5
Q96EQ0 Q8WWX9
P78358 O15296
Q9Y5P3 P56545
Q9UMX0 O14764
Q5XUX1 P63208
O75530 Q15022
P63208 Q969U6
A1L3X4 P60411
O43524 O75529
Q99873 P40337
Q9BXC9 Q8IWZ6
Q8IY57 Q9HD64
P59991 Q14990
Q8WZ19 Q13829
Q5TA77 P60411
Q96EY1 Q96LA8
Q8IYL3 Q9NYB0
Q9H6Z4 P35813
Q9Y271 Q9NS75
Q9NZD8 Q8IWE2
Q9BYR3 Q5T5A8
Q5TA77 Q9BYQ4
Q5TA81 Q9BYQ4
Q6L8G9 O43597
Q9NS73 P61964
Q3SY00 Q9BQ04
Q9NYF8 P50402
Q8N539 P21145
Q9Y3V2 P63165
P60409 Q8TAB7
Q9H2X0 Q8NEC5
Q969E8 O95166
P60409 P27658
O95751 P55081
Q5TA82 O43609
Q12805 P46379
Q9Y5S9 Q96A72
O94829 P61326
Q7Z417 P60410
Q8WWX9 Q96EQ0
P01042 P30411
Q8WW12 Q9NYB0
P60409 Q6UXX9
P60412 O76003
A6ZKI3 Q86TG7
Q9BYR5 Q5TZK3
Q6UY14 Q8TAB7
Q29983 P26718
P01275 Q12884
O76003 P28799
P09601 Q9NUX5
Q9NUX5 P09601
Q13287 Q9Y6C2
Q6P1W5 Q13895
Q9BYQ4 P26371
Q8N668 Q9H0A8
P53611 Q9UBV7
Q5BVD1 O43765
Q5T5B0 Q7Z3S9
P05556 Q9BY76
Q96HA8 Q9BYQ2
P15531 Q96HA8
P0CG48 Q9H4L4
Q9GZX9 O43765
Q9Y2I2 Q9HCJ2
Q9NYB0 Q13069
Q9Y5E9 P84103
P59990 P26371
Q13895 Q08117
P61978 P38159
P09012 Q15365
P27487 P01282
P35247 O00322
O15294 P11464
Q15363 P55085
Q15750 P32121
O15145 O15143
P63208 Q86XK2
P26371 O76003
Q16082 P02511
Q9NUX5 Q9Y4P8
O15160 Q8WZ19
Q8NHZ8 Q13042
Q9UHD9 Q2TAL6
Q12800 Q9UD71
P27487 Q07325
P16471 P01236
Q86VR2 Q15041
Q13309 P63208
Q9UHD9 P25311
Q06787 P51116
O43597 Q5T5A8
Q9BVK8 Q9UKG4
P60411 Q5T686
Q99932 P60410
Q7Z3S9 Q96SI1
Q03135 Q9GZQ8
Q6UY14 P60412
O43704 Q06520
O15145 O00401
Q8IX30 P08253
Q93062 Q8N9W6
Q9NRG1 P00492
Q9UMX0 P0CG48
P10451 Q8IXL6
Q14011 P61978
P57081 Q9UBP6
P16070 Q9UPY5
Q9UMX0 Q9UBU3
P41222 P60409
Q9H0R8 Q86VR2
Q5VWX1 O75525
Q9BYR5 P60410
P32121 P07550
Q9GZP9 P60410
