Q08001 P32776
P41800 P36093
P40395 P53064
P23644 P53168
P40547 P14063
P17890 P32573
P46682 Q04408
P15873 P43601
P38221 Q12223
Q07904 P46995
P38873 P36018
P08425 Q05040
P36163 P35734
P46982 P05375
Q07549 Q04341
Q6WNK7 P53173
P22141 P26725
P33322 P18496
Q03957 P36039
P06704 P33767
P30777 P38810
Q08920 Q12527
P32800 P32473
P04039 P32318
P38273 P38179
P32913 P13382
Q06541 P40582
Q03694 P28496
P34230 P32332
P38114 P14359
P53253 Q12255
P46982 P38345
Q05521 P35191
P18900 P32573
Q12402 P09457
P32600 P38872
P38688 P33448
P40460 P25580
P14291 Q03630
P04786 P25349
P24004 Q04947
P38137 P46995
P38169 P32319
P09624 Q04370
Q07532 P38292
P30777 Q00453
P06168 P38932
P53045 Q12029
P53008 Q04396
P41909 P41544
P38292 P03069
Q06686 P42951
P38374 P53112
P50896 P38801
P46673 P37020
P25451 P32874
P33411 P38932
P39718 Q99257
P48525 Q03220
P40051 Q02948
Q04767 P16661
P24004 P52871
P80667 Q12520
P35197 P12904
P80667 Q92328
P46983 Q12748
P46983 P32611
P19880 P39108
Q12527 P38604
Q12462 P25299
P40568 P39108
Q12320 P28791
P38198 P39006
P38356 P04840
P18409 P38351
P47017 P38888
P38629 P40494
P17442 P39079
P53112 P39727
P32485 Q08215
P32573 P19516
P32913 P38342
Q12520 P40395
P53121 P40955
P27929 P29055
P38221 P38428
P40003 Q08280
P22082 Q01590
P27705 P53600
P40345 P38691
P40350 Q04458
P06208 Q08215
Q06704 P38637
P34087 P24280
P53112 Q03028
P39715 P53173
P39704 P47061
Q06541 Q12287
P42945 P39998
P00431 P42223
P38736 P38356
Q99385 P47069
P53248 P32621
P38694 P15179
P50108 P53281
P47112 P15891
P53896 Q12411
Q12320 P21147
P46963 P28778
P32916 P38821
P38111 P32875
P31755 Q99316
P32629 Q06630
P35180 Q08227
P23724 Q01519
P29704 P22214
P36224 Q05946
Q12462 P38839
P39904 P09440
Q04675 P52593
P34087 Q03860
Q08023 Q04991
P25502 P53847
P40529 Q02825
P33894 Q12006
P34230 P32915
P43563 P46682
P32939 P14737
Q07376 P38166
Q04602 P32445
Q06704 P53248
Q12524 P32352
Q08645 P20676
P21592 P36051
P25613 P07263
Q02969 P30902
Q12025 Q12239
P36096 P53950
P39904 Q04329
Q12527 P21825
P40530 P39524
Q06032 P38069
P40070 P11076
P08417 P25301
P53073 P46947
Q08932 Q05867
P46671 P19880
Q12405 P47037
P29952 Q03760
Q06385 P20448
P06838 Q03201
P53011 Q12289
P32800 P09457
Q06697 P40452
P25584 Q03790
Q03694 P10566
P40568 P23542
Q03579 P38932
P13711 P14907
P19262 P38855
Q02804 P47154
P29704 P06778
P38261 P53273
P25299 P38263
P22803 P53171
P24004 P38632
P40532 P06839
P53747 P29340
P43560 Q02486
P00127 P29539
P38182 P22579
Q03778 Q04491
P47082 P35192
P36039 P40061
P40350 Q05899
P80667 P53629
Q04934 Q06385
P53397 Q03530
P53199 P24280
P38164 P43614
P38358 P40557
P53930 Q07878
P38292 P40051
Q05787 Q12748
P38996 Q06683
P00724 P17261
P04386 P39718
P38244 P46947
P40318 Q07468
P40155 Q07807
P34756 P53173
P28795 P36421
P53008 P40464
Q12063 Q00684
P23639 P07257
P40565 P39702
P18962 P41810
P04039 P40501
Q04370 P15179
Q00582 P40066
P35056 P50108
Q04767 Q05359
P80667 Q04964
P53224 P36164
P32842 P40026
Q08227 Q04458
P19736 Q01926
Q07376 P05626
P40161 P32578
P32489 P39518
P40343 P53073
P32613 P39718
P33760 P30771
P40482 Q12208
Q12380 P46995
Q05871 P07276
Q02630 Q08215
Q08743 P09547
Q06568 Q3E790
P33296 P41806
Q12386 Q07904
P38164 P38816
P08417 P53847
P14906 P38814
Q92331 P06197
P35729 Q12241
Q12096 P38555
P0C0W9 Q12452
P53947 Q12205
P29539 P20606
P57744 P53973
Q12029 P41912
Q05521 P32485
P38878 P38962
P38855 Q08001
P39904 P33760
Q12096 P25043
P18888 P53248
P35056 P38523
P21691 P32580
Q12096 Q02642
P22855 P39007
P32573 P32830
P40491 P40089
P31373 Q08887
P53064 P32387
P25641 P38358
P38137 P36057
Q12233 P22211
P47054 P16661
P34087 P53324
P35845 P25574
P19735 P22543
P23542 P42951
P36125 P06838
Q07376 P40549
P53192 P08456
P38632 P32352
Q06497 P38717
P24004 P07143
P38203 P28795
P47017 P25573
P32341 P13711
P50091 Q05787
Q08109 P38182
P32628 P40413
Q04410 P08468
P30775 P40526
P40070 Q06644
Q07418 Q92331
P15303 Q06892
P40368 P17065
P17442 Q03530
P07283 P39713
P54837 P53073
Q03824 P40501
Q03694 P03069
Q08215 P28737
P50091 P17065
P35056 Q00578
Q03254 Q05871
Q06405 P39715
P38127 P06774
Q12098 P43122
Q12255 Q03944
P18759 Q12216
P20050 P38555
P34237 P53860
P38736 P41821
P53008 Q12530
P37302 P36421
P18410 P39715
P38555 P12695
Q06568 Q12003
Q00684 P39108
Q12114 P47082
P38221 Q12032
P17442 P17695
P39904 P38959
P39904 P31539
P43682 Q12495
P26755 P37020
P39707 Q99394
Q04767 Q12208
P46982 P14904
P16658 P32361
P47025 Q06525
Q04969 Q02825
Q08932 P11076
Q12405 P38176
P52488 Q12191
P40155 P38203
P17261 P25615
P12868 P17214
P13393 P53294
Q12462 P25386
P22803 Q08960
P14359 P40473
Q01649 P40858
P39904 Q02774
Q06497 P16547
Q12236 P38301
Q92316 P38825
P07267 Q04396
P34087 Q06096
P27796 P31755
P36057 P25042
P38736 Q01159
P16658 P53039
P28795 P36023
P38636 P42935
Q12121 P36037
P38334 P28795
P23639 P01097
Q04562 P38814
Q07895 Q08004
Q03860 P39734
P32800 P21147
P21954 P40056
P40155 P27825
Q92331 P06786
P23542 Q06681
Q12246 P80667
O13297 P18410
P29340 Q03028
P25303 P47025
P53112 P35189
Q03790 P40452
P39106 P27614
Q12425 Q04947
P43560 P35176
Q12028 P34240
P35723 Q04935
P50091 P34111
P18900 P13586
Q07540 Q04749
P27796 Q08550
Q05359 P39106
P52488 Q12255
Q01519 P33891
P40460 P38959
P40971 P39717
P17890 P53944
P34078 P53629
P38137 P25580
Q04958 P35056
P38307 P41544
P40107 P32796
Q08109 P53184
Q06625 Q12530
P07261 P18962
P38334 P36146
P39727 Q02486
P23542 P00830
Q04767 Q08004
P39981 P15179
