P35197 P07991
P32485 P47822
P06704 P19263
Q06644 P07259
Q12136 P39703
P30606 P51601
P39524 Q04934
P38932 P49018
P12954 Q08686
P32366 P38319
P38147 Q02891
P39715 P38217
P52891 P38346
Q00776 P40317
P40573 P40094
P06102 P38068
P40316 P39729
Q08963 P39077
P49686 P40548
P25655 P53979
P06102 P32581
P12709 P53061
P57743 Q08387
P53280 P38789
P39108 Q07508
Q99190 P40368
P09119 P39955
P32570 P05150
P19358 Q08417
P53311 P40956
P53599 Q06224
P27999 Q05863
Q07381 Q12275
P00830 P31111
Q06593 P53238
P40160 P19736
Q03782 P53877
P38992 P39929
Q02774 P39743
Q03655 P53323
P43573 Q12692
P02557 P27999
P80428 P39735
Q06708 Q12445
P14540 P32917
P07703 Q12406
P24814 P40960
P12709 P29295
Q03898 P38346
P33322 P15565
P36036 P46964
P05150 P38811
Q04675 Q08503
P12695 Q02574
P07703 P36517
P04173 P32606
P28519 P38907
P29055 P53127
P16140 P32910
P40469 Q03441
P47069 P53584
P29055 P25367
P53256 P39927
P19882 P08518
P38304 P32794
Q08387 P39958
P16151 P37303
P36130 Q04675
P09436 Q07350
P40469 P23639
P33419 Q02795
Q99257 P53829
P19358 P33892
P17891 P34241
P38264 P08153
Q02630 P28000
P38285 P07259
P12709 P32259
Q92328 P21951
Q02821 P38853
Q04005 P53184
P38310 P36015
P40555 Q12445
P53632 Q04149
P40956 P22204
P25491 P53277
P40956 P39965
Q01649 P22696
P23642 P38286
P38837 P32354
P41940 Q01329
P41544 P41896
P30822 P29295
P40161 P09064
Q12445 Q03648
P38629 P48836
P07703 P53829
Q02630 P38286
P40450 P13856
Q02629 P04386
P40565 P32828
P32497 Q02555
P07260 P38827
P07260 Q04175
P32366 P47135
P22147 P32803
P06774 Q04437
P07267 P21651
P32610 Q00764
P38837 P07149
P19659 P29295
P02309 P38130
P38144 P35999
P19358 P25087
Q00772 Q12004
P13393 P25567
P25580 P53271
Q07350 Q03388
P53261 P53286
P47079 P41910
P46948 P35184
P19735 P40971
P38987 P39743
P39078 P34218
P02309 P48581
P53323 Q03388
P53096 P47074
P49704 P53917
P40971 P36150
Q08215 P38782
P38862 P40045
P47154 Q02457
Q08229 P02994
P04050 P38286
P19736 P43597
Q02260 P38737
P38855 Q12102
P50277 P48836
P32529 P39946
P39730 Q08923
Q04749 P50623
P29055 P39960
P38129 Q06179
P32855 P36083
Q02793 P39940
P32468 Q06164
Q03862 P32337
P29055 P38244
P40003 P46655
Q06168 P30624
Q03897 Q00772
P32602 Q00245
P20676 P04817
P04050 P14291
P47093 P27637
Q05930 P14741
Q07508 P39706
P00431 Q02793
P43548 P35735
P14164 P12611
P40344 P26309
P47079 P39734
P53322 P53846
P38987 Q07418
Q00684 P53236
P38700 P02829
P07703 P38177
P22141 Q06142
P04173 P26755
P36160 P24279
Q06644 P46993
P35189 P19358
