P47167 P04911
P40957 P25336
P53064 P18238
Q12223 Q08886
P40518 Q08902
Q03860 P10081
P53941 P38130
P32599 P23776
Q00381 P36057
P39992 Q12306
P40573 P38782
Q06091 P39552
P35184 P18900
P46956 P35178
P46673 P32657
Q06411 P04786
P34238 P38842
Q06091 P40509
P06844 Q06168
P38699 P38254
P40090 P16892
P32797 P50090
P38810 P04912
P36012 P38781
P35189 P40340
P03965 P53131
P16370 Q08217
Q06451 P34218
P40960 O74700
P10961 P32642
P30656 P39521
P53437 P19073
Q12380 P32494
P38989 P53952
Q00381 Q03063
P18963 P36121
Q05778 P14906
P36131 Q01684
P40856 Q12749
P21538 P05317
P38070 P10961
Q12018 P25297
P42846 P38811
Q08726 P32583
Q01649 P46956
P39011 P10081
P04786 P34162
Q03177 Q06677
P40555 P32583
P53207 Q06525
Q00772 P25808
Q05785 P26754
P25045 Q04149
Q03322 P54867
P39720 P47079
P06786 P06773
Q12233 P32588
P53824 P38753
Q08773 Q08550
P30283 P53337
P47185 P00899
P13663 Q06554
Q00873 P27705
P38156 P40092
Q00955 P32333
P53070 P34110
P30822 P38744
P36161 P35201
Q12157 Q04272
P40355 P40327
P39723 P35191
P38181 Q12488
P39713 P43542
P41818 P16862
Q02825 P32559
P47115 P04456
P40151 P19880
P39955 P33891
Q03661 Q03790
Q03071 P54862
Q04195 P40356
P35181 P34224
P32566 P38736
P38720 P07249
P38070 P35817
P38911 Q07915
P48361 P32902
P39960 Q08562
Q12462 Q12309
P29469 Q03290
P40480 Q02204
P36034 Q05024
Q06411 P39101
P32480 P25651
Q12518 Q03935
Q03750 P36027
P34730 Q12194
P32499 P15436
P53961 P25648
Q12450 P47165
P38272 P22515
P46674 Q03579
P53437 Q12335
P35842 P00724
P22213 P47821
P38727 P40453
Q12692 P32350
P38720 P34161
P02309 P47185
Q02206 P40055
Q03697 P22138
P35180 P22517
Q02932 P25299
Q99207 Q02516
P25371 P38636
P18963 P38719
P05626 Q03898
P39929 P38121
P36013 P34218
P28320 P39107
P00330 P53857
P38200 P30283
Q06339 Q05787
Q08732 Q12174
P04912 P46964
P38837 P28274
Q99383 P11978
P07251 P32570
P48234 P53867
P40319 P40517
Q08732 P38302
Q04749 Q08032
P52960 Q02948
P00958 P11747
P23776 P36224
P40495 P43604
P32855 P15367
Q07458 P00560
P57744 P38146
Q02159 P00358
P53091 P38147
P32319 P17442
P40078 P47052
P07248 Q05931
P29539 Q03619
P15424 P19880
P40103 P38719
P06777 Q04675
P49166 P38121
P07272 P38779
Q12100 P23776
Q05016 P04807
Q12464 P36165
P42846 P32334
P35206 Q08245
P47134 Q08214
P23561 Q08204
Q07350 P01120
Q04226 P40960
Q02206 P53552
Q08601 P38867
P16861 P23255
