P40048 P07866
P38690 Q99260
P49435 P32629
P39727 Q07844
P00931 Q03898
P32794 P39730
P53130 P40561
P12688 P33322
P38793 P46948
P40495 P34217
P14742 Q00582
P21951 P42843
P47041 P36019
P53145 P38590
P43568 P36018
P00958 P50275
P40574 P38789
P43568 Q12754
P38636 P53968
Q05568 P36145
P13517 Q04031
P38957 P38261
Q04439 P32774
P40092 P47135
Q06169 Q07824
Q00539 Q6Q547
Q07528 P00044
P40494 P09938
P29509 P38042
P53886 P48361
P39531 P38788
P31377 P38873
P01120 P43616
P31382 P53067
P35729 P43561
P38903 Q12033
P22219 P89102
P39076 Q08773
P38810 P40204
P40316 P32867
P02400 Q08144
Q06549 P20437
P32562 P32605
P46675 P28795
P53959 Q04233
P33767 P38871
P13712 P53883
P47041 P28707
Q04217 P32505
P29056 P32802
P32855 P38788
P43637 P32327
P32767 Q12176
Q08956 P07274
P25558 Q04002
Q12285 P32481
Q12477 Q04195
Q03957 P53955
P36049 Q00776
P40484 P27796
P21242 P40016
P32468 P41901
P06773 P11709
P53540 Q08965
P10592 P53267
P32911 Q06408
Q08956 O13563
O13565 P53941
P02293 P32450
Q07887 P38316
P32505 Q06436
P36130 P40567
P30771 P33420
P39927 P25502
P39935 P28817
P38623 P39107
P09435 P20052
Q12344 P47029
P53086 P32849
P38805 Q12469
P31244 P24583
Q06549 P38334
Q12285 Q12194
P53043 P15436
P32571 Q08746
P47053 P48524
P40541 P53731
Q12315 P25719
Q12033 P23202
Q03940 P53855
Q07930 P14737
P52286 P53965
P29295 Q03898
Q06449 Q03768
P38822 P00724
P23644 P38631
P53196 P00044
P13712 P38254
P38999 P50101
P32854 P32849
P40567 P14681
P12962 P40078
P36013 P22213
Q08921 P34087
P38759 P32855
Q12151 Q03898
P30619 P36008
P50875 Q12368
P05694 P38806
P23968 P47041
P39073 P38182
P06100 P21374
P35201 P47045
P07272 P25343
Q99257 Q12098
Q03048 Q05021
P38749 P26793
Q06631 P32783
P46949 P28274
Q99385 P32776
P53877 P06839
P09734 P53100
P35203 P38623
O13553 P25296
P10869 Q12009
Q03774 P38301
P40089 P47017
P33323 P15992
Q06102 P41834
P43593 Q12310
P32571 P24813
P25454 Q00816
P36013 P32873
P00729 P38873
P38956 P43638
P39729 P38873
Q04002 Q05881
P24869 P13856
P41808 P48525
Q07824 P47912
Q03690 P12385
Q12175 P50108
P25357 P46963
P32563 Q07824
P53130 P38874
P38872 P14681
Q12434 P25454
P41834 Q04439
P19657 P53068
P38861 Q06164
P40066 P07149
Q12082 P38200
Q08729 P46678
P40302 P36008
Q12241 Q12129
P40515 P13045
P31244 P41814
P25390 P43638
P40314 P25719
P53886 Q12009
P48412 P37296
P41808 Q12318
P38861 P26755
P38823 Q02884
Q99260 P53322
P32796 P00931
P40567 P32447
P29340 Q07623
P39944 P36103
Q04307 Q12129
Q02554 Q07786
P39704 Q04338
P35729 Q03940
P38615 P53927
Q02825 Q08215
Q05946 P32909
P53248 P00359
Q08886 Q04370
P38872 P36085
Q08217 P10964
P35178 P43593
Q12044 Q05933
P38697 P31378
P53313 P40482
P22147 P53094
P53886 P25389
Q12028 P32263
P36009 P47019
Q02199 Q03818
O14467 P39926
Q12406 P32497
Q08018 P46682
Q12055 Q02875
Q7LIF1 P39936
P40350 P08964
P14724 P38319
P50091 Q02890
P40484 P25357
P38959 P25344
P28708 Q08951
Q08562 Q12009
P31382 P27801
Q06344 Q08550
P33199 P25615
P43616 Q06177
P25644 P38779
P38766 Q04195
P14904 Q00539
P48412 P32628
P53552 P33199
P14742 P40483
P24279 P46970
P32571 Q12329
P33339 P49166
P53900 P43601
P39083 P32354
Q06708 P38737
P40095 P38631
Q99299 P39717
P39008 P35718
P32562 P47019
P40091 P18888
Q06665 P31111
P38013 P35734
P47083 P36168
P33307 P20433
P08018 P33760
P39944 Q06648
P23624 P38768
