P38806 Q03096
P32564 P15992
P28000 P43587
Q06436 Q12297
P35497 P02400
P38822 P00560
Q12418 P30902
Q12098 P43587
P36068 P38822
P24870 P53141
P38339 P40548
Q05080 P14126
P38339 P06101
P38266 P00431
Q02574 P32913
P39954 P32495
Q03750 Q06648
P53865 Q02908
P50104 Q05947
P12383 O13553
P38861 Q12440
P33334 Q12406
P48361 P31539
P06242 P40462
P37012 P04046
P09798 P40010
P43583 P25604
Q08193 Q06640
P34758 P36006
P32491 P32898
P32581 P13099
P39703 P40070
P25045 P52919
P38555 P38959
Q03177 P06101
Q04964 P53919
P43593 P38358
Q08965 Q06679
P38070 Q12118
Q00362 P47093
P53322 P40395
P07866 P39718
Q12186 P38334
Q06479 Q03010
P35169 P53855
P35184 P13663
P32450 P53032
Q12517 Q08962
Q02825 P36024
P46673 Q00582
P38774 Q03900
P12383 Q00246
P25299 P42845
Q07657 P06787
Q08215 Q04062
P40395 Q04264
Q04651 P32835
P40089 P38249
P33306 P01123
Q12038 Q03619
P32319 P33755
P06782 P07149
P34160 P32501
P38989 Q12020
Q03973 P38959
P34730 P25605
P38872 P36120
P39720 Q12038
P12612 Q03338
Q02199 P37296
Q12017 P28795
P32913 P25296
P41816 P32501
P39984 P38682
Q08119 P40314
P02829 P39520
P32573 P27614
P48566 P53834
P05626 P36130
P09624 P15873
P23642 Q04062
P35197 Q12241
Q02256 Q07786
Q12186 P40010
P32598 P54885
Q06651 P38682
Q04964 Q12343
P06244 P37302
Q12518 Q03254
P38751 P32601
P39940 Q12230
P38555 P47050
P32571 P28274
Q12277 Q03940
P36049 P38287
Q03899 P47079
P53067 P40350
P09232 P38333
Q08144 P38431
P53855 P46948
Q07824 P53344
P11075 Q04930
Q07657 Q12315
P51601 P39996
P39717 Q00723
P39563 P53043
P48582 P40091
Q06549 P53094
P22216 Q12236
Q04411 P36421
Q05958 P35203
P38182 P30771
P53754 Q12440
P07262 Q05471
Q08965 P27472
P13517 Q08921
P42843 P38324
P53939 Q03010
P34216 Q03010
P38153 Q04439
P38129 P36049
P23624 P32911
Q07887 P06787
P42846 P05085
