Q76FK4 Q15041
Q13285 P16581
Q15102 Q07699
Q5FBB7 Q9H3Q1
Q12888 Q15645
O00267 Q16665
Q9Y2X7 Q92466
Q86Y97 Q8TEW0
P23258 Q15633
Q9HCN4 Q9BRV8
P98164 Q96FZ7
Q9BTY7 O60566
Q16665 O95721
P17480 Q06265
P35222 Q06495
Q8IYD8 Q15596
Q09472 O75309
P34913 Q8IVF5
P50502 P05388
O75352 O60244
Q9Y5N6 O14686
Q9HC73 P33681
P28908 Q15582
O95990 Q8IYL3
Q9NSA3 Q9UBU3
Q13873 Q16518
P03372 P11511
Q53FD0 Q9H6R6
O14920 Q5JR12
Q15011 P49450
Q9P2R6 O75354
P03372 Q07889
P68400 P02647
P02768 Q14722
O15287 Q4KMG0
Q92597 Q92994
Q9Y2X7 Q9NP84
P61289 P15822
P49407 O14744
O15527 P0CAP2
Q13569 Q8NHQ1
Q9NY26 Q9NZJ5
O14980 Q969H6
P13611 Q9BXR5
Q9UGL9 P98160
O75446 Q14919
P01584 Q99575
Q9BXR5 Q9GZS1
O75970 Q86VN1
Q9NSA3 O15160
Q9UJX6 P16284
P17509 Q9BQD3
Q13873 Q9BWH2
O14727 Q9UNS1
Q13416 P49366
P32970 P80108
P13611 Q00610
Q9BTY7 Q13416
P03372 P46098
Q09472 Q9UPT5
P51116 P02751
P15927 P78527
Q9GZU0 P49913
Q9NPF4 P61587
Q9BVJ6 P46527
Q16594 Q15154
P02647 Q02223
P02647 P57678
P13051 P52434
P54253 Q9HAV4
P49842 O96006
Q13873 P56537
P46379 O14980
Q96RK0 P13725
Q13873 Q12959
P04114 O43572
Q9BVJ6 Q9HC73
Q14005 P17480
O14893 Q5T3J3
Q96KB5 P06400
Q5JY77 Q7Z412
P51946 Q15020
P10124 P08571
Q13868 O00422
P59665 Q07666
O14717 P61201
Q9P2H0 P13807
P49354 P20396
O95084 Q13635
P05060 P06213
Q14974 Q02224
Q13191 P41227
Q15834 P20742
Q6P1J9 Q9UNN4
P11940 O75144
Q16665 Q15834
P62258 Q8IUW5
P49407 Q9GZT6
P0DPI2 Q9UHI6
Q8N2I9 Q96PN7
P35222 Q9Y3C7
Q5RL73 O75182
P15509 Q96CW5
Q96KB5 P30047
P61289 Q9BXW9
P46783 Q15834
Q8N1V2 Q8NCR6
Q9BVJ6 P55058
Q03181 Q00610
P78346 Q9Y5N6
P21673 O76061
O60763 Q13432
Q9HAV4 Q07889
P05556 Q15631
Q9Y6J0 P02647
Q14596 O75528
P02545 Q13191
Q5RL73 P62875
P38432 P27701
P98164 Q9Y421
P56537 P55789
Q7L5N1 Q15751
P09693 P98164
