P54136 O00712
P78549 O76094
P05423 Q13310
Q96HU1 Q16520
Q13523 Q96A58
P09874 Q8IXM3
O15370 P41279
P82675 Q9UHR5
P53396 O14593
P78368 Q9UHL9
Q8WUN7 Q9BSH3
P07451 P38571
P0C0S8 P20132
P22415 Q8N7A1
Q9UDX5 Q92793
O95376 Q7Z2X4
O75175 P62879
Q9UKY1 Q9H213
O00628 Q9Y5Y5
Q99594 P30626
O75164 Q16537
P11473 P20807
Q9NVU0 Q9UI17
Q14999 P14651
P15976 Q9NP86
Q12951 P48200
P82970 Q9BW04
P40261 Q01851
Q71SY5 P20807
Q5VUA4 Q9Y676
Q5H9F3 Q13287
Q8TAE8 Q9BUE6
Q9NZD4 Q8IZL9
Q8N5U6 Q16629
O14948 P26441
Q13485 Q9HAU4
P41002 Q8N4X5
P12081 Q96T60
Q92664 P15056
Q9P2Y5 P28698
P07741 Q13243
Q9NXR8 P06732
O95429 Q8IZT9
Q9UNN4 Q02108
P47874 Q9UIH9
Q12951 Q9UHN1
O75363 P43699
Q04828 O15525
Q16540 Q15744
O96019 O95848
A2A3N6 Q9BSF8
Q6ZYL4 Q6XUX3
Q15911 P25325
Q8TDY2 P12271
Q9BW04 Q92522
Q96IV0 P39748
P19447 P55212
O75563 P15923
Q5EBM0 P50749
Q8WVN8 P28358
P50213 Q9Y6J0
P11245 Q96AV8
Q9NVP2 Q9NVS2
Q6ECI4 P35237
P62318 O43504
Q96D98 P78417
Q04837 Q12948
Q05923 Q16698
Q92844 Q99733
P83111 P41134
Q15185 Q14562
Q9NT62 P13631
Q7L7X3 Q9ULG1
P21399 P41225
P12104 P53634
Q9UIF7 P63302
O95931 P54577
Q9P2K5 Q93008
Q9BYD2 P09884
Q9UNN4 Q15046
P06132 Q8WX92
O75363 Q9H5J8
P63162 O60936
Q08999 Q14032
P09132 O94782
Q14152 Q86YN6
Q9P2Y5 P27540
Q96BP2 Q2VPK5
Q96JN0 P24666
O15235 Q9Y6J0
P40692 O76031
P43355 Q9UM82
Q15672 P05089
P13798 Q16777
P33240 P24666
Q9C0J8 P00338
P24928 Q2VPK5
P00918 Q9Y657
O75529 P52815
Q96JN0 P49914
P57081 P52566
O95990 Q07020
O43680 Q16851
Q9ULV3 Q58A44
Q8TDY2 P22061
O75381 P28328
Q9H211 P49411
Q96IV0 Q15319
Q9BUQ8 P46952
P26639 P58304
Q8WYK0 Q6FI13
Q9BPZ3 Q02386
P14324 Q6NXG1
Q15185 P28324
Q13867 Q9NYD6
O94913 Q9H0U6
Q96P71 P31273
P42765 A6H8Y1
Q93088 Q14527
Q8NI60 P41225
Q7L7X3 Q9H4I2
Q9Y234 P07686
Q13085 Q9GZR1
P48729 P15586
O75563 P50749
O00170 Q14839
Q12952 P09936
O75363 Q05195
P14061 Q86TM3
P14868 O15370
Q9BXL6 Q15542
Q8TE04 Q9UKI8
Q8IXQ6 Q9H2J4
Q8IVS2 P19388
P82970 P52888
Q9NZD4 Q86U86
Q9UBT2 Q9H0U6
P15056 P78364
O95429 Q9NPI8
Q96P71 Q02080
O14593 Q9BYD6
P48730 P78364
Q8N1V2 D3DTV9
Q13077 Q96CA5
Q969Y2 Q9H3P2
Q06547 O76031
P34896 Q96SD1
P14324 Q9BXL8
Q9H3P2 P62269
Q16777 P09936
