Q13772 P43320
Q9UJX6 P35240
Q15047 P0DP25
P00533 P60709
O60674 P05091
P52655 P40424
P20963 Q5PSV4
Q06481 O75173
Q13888 P11487
P61163 P48444
P14618 O95631
P43405 Q14103
Q99417 Q99829
P54198 P04626
P04278 O15399
O43147 Q06265
P27361 Q02413
P04271 P22681
Q92793 Q92731
P00738 P62324
Q93062 Q9NR82
Q07817 O14508
Q8NI35 P04049
P35372 O75420
P61981 Q12959
Q15562 Q99732
P27361 P02741
P24666 Q05086
Q9H0M0 P50591
P60484 Q9BX63
P06241 Q01082
O00548 P07737
P45983 P61968
Q9UKN8 Q14980
P50406 P20366
P84022 P61981
Q06187 P09326
P17252 Q9HCE7
Q13432 P61970
P16885 Q5U651
Q13393 Q13387
P60953 Q9NRM7
P10451 O43184
P08238 Q86SE5
P26441 Q15796
Q13224 Q9UNI1
Q02156 P05386
P08253 Q8NF99
Q9BXW9 Q96SN8
P46108 Q99466
P67775 Q9HC98
Q14469 Q16665
Q16539 Q05513
P61956 O60462
P01584 P15882
P14921 P04278
Q9H307 P02652
Q9H0Q3 P36406
P18627 Q12791
P38432 P02774
P68104 Q00403
Q03013 Q9NVZ3
Q15788 Q16531
P61956 P55089
Q9H211 P09874
P10275 P02765
Q99956 O15205
Q9UBC3 O75791
P07477 Q9NTJ5
Q96PY6 Q9BYG5
Q92585 P07359
P62258 Q01629
Q05209 Q13501
O95163 P48788
Q96IP4 P55854
P50552 P05412
P63244 P46821
Q15796 Q9UBX5
P05386 P06400
Q9Y4K3 Q13873
P23769 P31946
P24928 Q15788
Q14686 P46821
Q05193 Q9Y224
Q9NRR5 Q9NPY3
Q08211 P78545
P10636 Q9HCE7
Q9Y294 P17535
Q15910 O43426
Q9H0U4 P18564
P27361 Q15691
P39687 P20719
P43364 P55769
P62993 Q15696
P19174 Q16831
P16885 P78324
P08473 Q70J99
P61981 Q9HBA0
Q04771 P14314
Q5RKV6 Q13765
P19174 P01574
P52298 P45379
P51681 P12755
Q07666 Q9Y2A7
P14784 P52799
P84077 P00995
P17612 Q14773
P35900 O43491
P49757 P55103
P45983 Q96EY1
Q16666 O15198
Q9NZW5 P19086
P29350 P63244
P04278 P23511
P31749 P56597
Q13485 P08670
O15151 P01011
Q01844 O60331
Q9UQC2 P08134
Q06330 P26038
O95271 O60343
P21731 P35227
P29350 Q96B97
P35249 Q15413
Q04206 P49023
P15056 Q15287
P49790 Q15366
Q01082 Q99961
Q14192 P19474
P52803 O43708
Q09472 Q9H3P7
Q07021 O14793
P04637 Q96ST3
P61981 P84085
P19784 P08962
P63172 P29597
P51812 P06213
O60641 P60033
P03372 P52292
P61981 O95257
Q15102 Q9Y2P4
Q14247 O14576
P39687 O95751
P31946 Q4J6C6
P28290 Q05513
Q13200 P06400
P62993 Q07866
Q15645 Q9Y547
Q9NZL4 O14908
Q9HAP6 O95235
P15927 P68133
Q15797 P35869
Q05516 Q9NVC6
P06493 Q9GZT6
Q14134 P32243
O76036 O75478
P00747 Q9UEW8
P21333 Q9NZR2
Q02363 Q14994
P16220 O75154
P49815 Q6NZY7
P26583 P50570
Q9NQC3 P02792
Q8NHQ8 Q9UHJ3
O95405 P50402
P56945 P06400
O14924 Q8NHQ1
P04637 P25025
Q15796 P14735
Q8N6Y0 P12644
P56945 P35249
Q96ST3 Q16619
Q01844 P06756
Q5T3J3 Q9NVC6
P02649 O60603
P20339 P08519
P04629 P18848
P24385 Q04724
Q99704 P06730
Q8IWV7 P26045
P27361 Q6VN20
P04114 P16471
P07384 Q9UGK8
P62837 Q9UBS8
P84022 Q9NRD5
P26641 P05362
P31269 Q8TF68
Q13547 Q9NRR5
P54132 Q92558
P24534 P08588
Q06330 Q9UQ84
P10071 Q9Y244
Q86UL8 O14492
P03372 Q13362
P49815 O15303
Q8WTR2 Q96SL8
P27361 O95388
P31269 P55916
Q07666 P12931
P07948 Q9Y4H2
P25963 Q99683
P08631 P49356
P42680 Q13322
P29590 P42566
Q14511 Q15475
Q15628 Q9Y337
P63279 P08648
P50454 Q86YD1
P00747 P63165
P26641 P15884
P01308 P29400
P07948 P56915
P17844 Q99653
P17706 Q8N2Y8
Q13253 P23511
P36897 O95071
P14921 P06241
Q9UKV0 Q9BQ66
P17252 Q12933
O95477 P06396
O15105 Q9BUZ4
Q7Z3B3 P07498
P28482 P45983
Q9GZT8 P11277
P51532 P15822
Q8N357 P12004
P07996 Q15797
P12956 Q9NQX5
O14713 Q86U06
O43298 Q53HC5
P56945 Q6ZVK8
Q9Y4A5 Q15573
O15198 Q9BYG5
Q9NQ66 Q1MX18
Q06124 Q9UBU2
P62258 P61978
Q9H1D9 P12821
P02452 P55036
P06241 Q16637
O75909 P13501
Q07954 O15056
Q09472 Q96EV8
P27348 Q9UER7
P28358 Q9H467
P62308 Q13291
Q9Y2X7 P10415
P19419 P09919
P22681 P12931
P51685 Q6RSH7
Q96J02 P19086
Q12959 Q99728
Q02241 Q59H18
O14641 P49959
P50750 Q92729
P11487 O95407
Q9P2H0 P48551
O94973 P27448
Q9UQB8 Q8N3U4
Q9Y4J8 P62333
Q5T3J3 P51671
P41970 Q96IF1
P26368 P56524
Q92793 P55884
P30531 P11234
Q8NC51 Q8TCU5
P19012 Q9BSF0
P10244 O43189
P42224 Q92608
Q16630 Q9BX66
Q15759 Q9GZT6
O95477 P04234
P26641 O75934
Q13216 Q9BY67
Q9UBW7 Q05940
P49841 O94972
P06731 P60510
Q00536 Q9NWX5
Q02363 Q13185
Q8WWL7 Q14524
O95251 Q71F56
Q8TDY4 Q24JQ0
Q15650 Q99750
P54259 P01011
O00463 P22455
P08648 P01241
Q12959 P30305
P38398 P13747
P29350 Q96JB5
P12931 P06239
P48147 P22303
Q9Y618 Q14242
P02649 Q9Y5X3
P02452 O60262
O43561 P22087
P54253 Q9P2E9
P09429 Q9Y235
Q9HCE7 Q8NFH3
O14745 P29083
Q9Y3C5 Q15750
P45973 P09543
Q92997 P06576
Q99689 Q96C03
Q14789 Q13873
P10809 Q07889
Q01844 O43815
Q5T3J3 P10451
P29350 Q9HAU5
Q04206 P21731
Q03135 P11831
P24928 O43524
Q07869 Q8IYJ3
P51948 Q9Y2I6
P38398 O14599
Q15047 Q14677
P62508 Q9NQX5
P05412 Q9GZT6
Q16665 Q99250
Q15382 P37088
P27986 Q7L7X3
P53814 Q15007
P21246 Q13555
Q16543 O15164
P38936 O95831
P13861 Q13642
Q9BUZ4 P62873
P62834 Q9UGY1
Q12933 P54257
Q9UBC3 Q9UHV2
Q96GM8 O60716
P23458 P51784
Q13432 Q86SE5
Q12846 P22570
Q02156 P11940
Q9BXF6 Q9H8Y5
P61586 Q969T9
Q09472 Q15796
Q13263 Q14141
Q14005 Q13813
P06239 Q86VQ1
O15350 Q96CV9
Q9NPD3 P35462
Q13315 P01100
P06213 Q9H1K6
Q14181 Q93062
O14788 P40424
Q12802 Q15038
P61981 P04183
P04156 P28069
Q9Y2N7 Q13087
Q9Y3B2 P0DML2
P84077 Q8N163
Q01094 P49736
P26367 Q9NQ66
P30086 Q92734
Q9HC62 Q9NXR1
P13686 Q8NAP8
O00238 Q8IX12
Q06455 P36405
P04150 Q14524
P0CG47 Q13133
Q99547 O15534
P52630 Q15366
Q12959 P34998
Q99623 Q9H237
