P20226 Q9BW71
P27986 P31751
P55884 Q9UGL9
O60260 Q9Y6X2
P41235 P05412
Q9UKV5 Q05586
P16112 O60896
P09619 Q9UNH5
O15015 P68363
O96019 P10827
Q14289 P78318
P84022 O15182
Q9UKR5 O14543
P07949 Q8TD19
P15498 P12830
Q12959 P07947
Q15572 Q07869
P15172 Q15797
O60260 Q16539
Q13485 Q9BWN1
Q9UNE7 P16070
Q15788 Q15834
Q09472 P30260
P08253 P20963
Q9NRM7 P07949
Q15834 P01730
Q96KG7 Q13129
P46531 Q7Z7J5
O15360 Q96QH2
Q04206 Q96IK5
Q9UK45 O43264
P11802 Q9H840
P01024 Q9UBY5
P50453 P06213
P02751 Q96HB5
P54253 Q13368
P33151 O14796
P36542 P51151
P54253 Q9UQR1
Q9H307 P16401
Q13547 O75689
Q06787 Q9NP79
Q99966 P20336
Q15038 Q8NHY5
Q12955 O15230
Q96GD4 P62304
P62993 P46527
Q14232 Q8WWA0
Q01094 O15198
Q06418 P23497
P18206 P61626
P04626 Q9UBT7
Q13077 Q86WX3
P42702 Q15436
Q01844 Q9UEE9
P22004 Q02388
P11532 O14613
O14939 P07948
Q9H3U1 P45984
Q15404 Q86UW9
P01100 Q16288
Q9NPH3 P25789
P21580 Q9UP38
P04637 Q86SS6
Q05655 P31151
P12931 P49810
P11473 Q00526
Q12959 P01127
Q04206 P61586
P14923 P27361
P19174 P49840
P35222 O75145
Q01959 P51617
P49736 P09486
P51116 P02655
P42858 Q9Y6K9
Q12933 Q14766
Q13009 Q8IYR0
P10827 P00533
Q09028 P62993
Q9UMX0 Q15796
Q9P2M1 Q9Y3D0
P19022 P49773
P01350 Q07820
P20936 Q9NRG1
P31946 Q04695
Q13263 Q7Z418
Q9Y6Q5 Q15465
Q09472 Q13751
Q5T6C5 P04004
Q14765 O00203
P14543 P16157
Q16891 Q9UK53
P40763 P0DP25
P42224 P30154
O14757 O60240
O60264 Q02763
Q05655 Q92793
O75969 Q16600
P62826 P37023
P29350 Q13885
P12757 Q13418
O14544 P30281
P28482 O15534
Q8WUM4 P48443
Q04206 P04150
Q14005 O15111
P12814 Q9NR30
O95990 O75496
P50613 Q9BRP4
O00161 Q6EEV6
P42772 P49146
P48995 Q9UIB8
Q13813 P31323
P61981 O00238
O15117 P13521
P17252 P55010
P08758 P09471
Q9BSL1 Q9Y5U8
P38398 O15164
Q13885 Q12796
P33981 P62805
P19525 A8K7I4
O43318 O00203
O15117 P06858
Q9BXJ8 Q9UKG1
P09651 Q96E17
P49848 P49069
P62314 P61296
P21246 P52333
P09619 Q9UKW4
Q12834 Q969H4
P01375 O43508
P43405 Q8IYF1
O60551 P53708
Q13616 Q6VMQ6
Q969G3 P10114
Q9Y3A3 Q8TDV0
O60674 Q6NUP7
P24158 P23025
P60709 Q04771
Q15796 O00220
Q9UKY1 Q9UJY5
Q04759 Q8WW38
Q15560 O43396
P26038 P02462
Q92997 O14788
Q02750 Q92826
Q14209 Q96RN5
P35222 O43617
Q13137 Q9Y2X8
O75340 P50548
Q01082 Q02779
O14618 P55211
P00533 P84095
P14136 O75712
P02452 P49137
Q14738 Q14232
P69905 Q99728
Q8N9N5 P21359
Q15262 Q14934
Q7L590 Q8TD31
P41220 Q92887
P62258 O15551
P05556 P35638
P40763 Q9P104
O00254 O00330
P19388 P09619
Q9Y5B0 Q9H9H4
Q15102 Q01844
Q7L5N1 P52597
Q9BXJ8 Q05516
P10275 Q6ZU52
Q05655 P04629
O43463 P11831
Q9Y6K8 Q08378
Q9BX66 O14745
P20042 Q13888
Q9BUE0 Q9NR96
Q9H4G0 O43147
Q96GW7 Q99704
Q12933 O95835
P68104 Q93009
O14936 P27797
O14980 Q8IUC6
O15350 Q15599
P61981 Q8WZA2
P19012 Q9BTT4
Q92585 P26045
P22681 P07948
Q03181 P56645
P27986 P40189
P63279 Q13568
O75569 P12814
P17936 Q9BYV9
O75197 P51149
Q9Y3Q8 Q99759
P17676 Q13617
P68363 Q96MX0
Q9P2J2 Q8TES7
Q9UHX1 P41182
P84022 P15923
Q04206 P09467
Q01844 O43157
P11137 O76071
O43837 P01100
Q7L5N1 Q12788
P33993 P18031
P08631 Q9BRB3
P68032 Q9UPQ9
O14641 Q9NYG2
Q96PU5 Q8WXD0
Q9NPI1 Q13158
P25789 O75787
Q15796 P05771
P05412 Q13061
P19784 Q8IW41
P29274 Q6VMQ6
P29597 Q9UH62
Q92793 Q9HAU5
P18206 P43403
O14744 P04278
P51677 Q9UIS9
P05106 Q9C0C4
Q12929 Q9NP59
O75494 O43603
Q71U36 P49356
Q12933 P24390
Q15788 P52594
P55055 P14902
P49639 P09211
Q09472 P60953
Q96GD4 O00303
Q16778 Q9BZZ2
P42263 Q9UGL9
P00568 P20936
P23511 Q9GZP4
P16389 P49959
Q13432 Q12955
Q9NRR5 P68036
P24666 Q9Y5B9
Q13485 O15399
P38398 P60022
P27487 Q0VDD7
Q14686 Q13285
P35222 Q15796
Q15942 O60664
P19012 Q13188
O15198 P43631
Q9Y618 P25490
Q8IX03 P13611
Q9BQ66 Q8WV24
P16333 Q96J77
Q13885 Q9C000
P36897 O43172
O15198 O00255
P06729 Q9BY67
P17927 Q9NUP1
Q96RT1 Q15365
P04233 P62987
P28482 P62424
P16298 Q9Y4X5
P17252 O43318
O14936 Q5T3J3
O75461 O95751
Q16539 P61326
Q6SA08 P49815
P05549 P62258
Q9NQI0 P15172
P62308 P02745
O60383 P27037
P68104 P68400
Q13485 P23443
P36896 P09429
P21246 O60716
Q8IYF1 P04406
Q8NHQ1 Q99578
P08047 Q9NR46
P52657 O75915
O43617 P98177
P54259 O75935
Q8IZP0 O43294
P38432 Q9UPQ3
Q5TCY1 Q9H444
P52292 Q16891
P27695 Q96NT1
P41235 P04908
P24941 Q8IWR1
P19012 P01730
Q9BQD3 Q9H254
Q03135 P54619
Q9BQ66 Q8IV36
P01023 O75379
Q09472 Q9ULT8
P12931 Q96CW1
P05106 Q13177
Q07157 O60687
P08670 P63096
Q15811 P49841
Q9UH65 P04439
P53992 P04216
Q13105 P24928
P27824 Q15102
P51690 Q9Y6Y9
Q16543 P19447
P28702 P51148
Q9Y6K9 Q9Y6N9
P19438 P23469
O14776 P21246
Q15834 O15230
Q9UI32 P54725
P48023 Q9NVP2
P67870 O95237
P22607 O95544
P04278 Q14134
O75197 O75154
P13693 P48200
Q99962 Q6PIL6
Q9H400 O60763
Q9Y6M7 P26842
Q9UMX1 Q8IY31
P63261 Q00535
Q04637 P14652
P50616 P07093
P41220 O95967
Q05209 P11171
P03372 P05412
O60341 Q15363
O43561 Q08380
Q9Y2L1 P00747
Q9BT92 Q86YM7
O15530 P30542
P63261 Q9H5Q4
Q9Y2I6 Q96RK1
Q92597 Q15834
Q04912 Q8N668
Q07817 P06276
O76080 Q14966
P57086 P28325
P10415 Q14814
P10275 Q9UKX2
O75569 P08582
Q99081 P08754
Q9UKW4 P61086
O00161 P41235
P47928 Q9H6J7
Q5RL73 Q9H094
Q99613 P43088
O15379 Q14677
P06241 Q15653
P46060 Q96DW6
P19012 Q16799
Q14974 P02549
Q86SR1 Q6ZN04
Q15572 Q07954
O94906 P55211
P84022 O14578
P42574 Q9NRR5
P43694 Q9Y2J2
P19338 Q13616
Q14192 Q8TCG2
Q92973 P61769
P15311 Q7L190
P05106 Q15361
P14136 O75030
P10828 Q9Y2C9
Q13114 P60880
Q99832 O60921
Q9BQ66 P23471
O14777 O43561
P12004 Q9NRQ2
Q9NYQ7 Q9HCE7
O95983 Q01814
Q16665 P29966
O95396 Q8WWW8
Q00169 O14745
Q7KZF4 Q9NVN8
P49810 P23634
P06400 Q7Z434
Q13765 P51532
P10242 O95237
P00738 Q99816
P68431 Q9UIV1
O14490 P12755
O95251 Q9Y4C0
P10275 Q9NQX5
Q8WUH2 P02649
O00238 P55084
P35244 Q99972
Q96HC4 P04406
P61981 P05412
Q15788 Q9HAU4
Q9Y5K6 P78508
P61244 Q9Y4K3
P61981 Q9Y2U5
O60907 P63151
Q14012 Q5VT25
Q9UKR5 Q86W92
P12643 Q9UHI8
Q6ZVK8 Q96KG7
O95229 P49841
P08253 P10276
P25098 Q15303
Q14147 Q96IY4
A4D1P6 P05546
P84077 P36542
P62993 Q13554
P08651 P20929
P52952 P60468
Q15329 O60704
P31946 Q16563
Q07666 Q08J23
P19022 P29033
P36897 Q16514
Q13387 Q8IXI1
Q92905 Q9NWW0
P43405 P08253
P84077 Q969H4
O14641 Q9ULJ6
Q92574 P29590
Q9ULX6 P08922
P28749 P15927
P14921 Q9NYN1
P16234 Q92918
Q13547 O75531
O15519 Q08345
P49137 Q9NPF8
Q15642 Q13352
P62993 P02461
Q9UI14 O00303
O15534 Q9UI26
P03372 P30926
Q9NRR5 Q9H0I3
Q12788 O00716
P60953 P23229
Q7L5N1 Q9BYV6
Q9NQX7 Q2QGD7
O14745 P22894
O15162 Q13094
Q9BVJ6 P21506
P78552 Q9BXX0
Q13257 P09769
O95886 Q9BYF1
P31942 P50613
Q9Y2I6 P35348
P28324 P15941
P56693 P41236
P22670 Q92844
O00471 P35625
P35548 Q8WYK2
Q13555 Q14680
P19012 O14907
Q99569 Q00341
P19838 Q9Y4G2
Q8NI35 Q59H18
Q13557 P18669
P43405 P37231
P63252 Q13239
P20042 Q05586
P30153 Q15628
P16949 Q15025
P68104 Q15256
P06396 P39687
O14964 P14174
P19438 Q16539
P68871 P11215
P55774 Q14451
P54259 P13798
P20226 P25092
Q13310 P11940
O95967 P61978
Q9UNE7 P11473
P16144 P40616
P28482 Q07812
Q13418 Q8NF64
P11912 P30305
P42574 Q14344
Q8WYH8 P00734
P19429 P10451
P49023 P61586
P16333 O60880
P30153 Q9NPB3
P08047 Q9NR33
P68366 P18433
Q9UBU8 Q8N5H7
Q06481 P41159
P49841 Q9Y6C2
P14780 P41182
Q13485 P61978
P62937 P55211
Q9Y618 P22303
P16070 O60496
O15198 O15105
O94972 P42772
P05771 Q04759
P45985 P35226
Q9UNE7 P60953
Q5FBB7 P50406
Q86UL8 Q96Q35
Q9UEW8 Q14061
O14733 O95747
P42574 Q5T5C0
Q06124 P10070
P01100 Q08752
Q99750 Q14789
P62495 P49407
Q02535 Q08211
P10144 O75674
P42574 P31327
P14138 Q9BYV2
P63167 P18847
P52701 Q5T3J3
O60674 P11684
P60709 Q14088
Q07812 Q99717
P63252 Q9GZY6
Q15653 Q13516
Q15834 O00762
Q01201 Q09161
Q99972 O15315
P26641 Q93009
P40763 Q01955
P63167 Q14296
P30086 P30622
Q96ST3 Q8N9N5
P17706 Q96T60
P48509 Q96FJ2
Q14186 Q66K89
Q96IZ0 P04406
P63165 Q9Y3P8
Q13485 Q99062
O75369 Q9UL45
Q9UH65 P04637
Q9UNE2 P51522
P51692 Q9HD26
Q9Y5P4 P10997
P63252 P06127
P09104 Q13698
Q12962 P49023
Q13191 Q9UKW4
P05155 P54253
P04179 Q14980
Q14005 P56524
Q92624 P09972
Q9UKR5 O60307
P31947 O00213
P21246 Q08881
Q9P2H0 Q9Y483
P55854 P08581
P06213 P05067
P15153 Q13571
P61981 Q01968
P09429 Q12967
Q9UPT6 P02768
Q10567 Q99442
Q96KP1 O15524
Q13177 P26010
P38398 Q00653
A5YKK6 P61758
P17612 Q16665
Q00613 Q8ND90
Q6ZVK8 Q15365
P29466 Q9BWV1
P11473 P06127
P17612 Q96G25
P24941 P60520
P35222 O60293
Q9NWA0 Q14576
P02787 Q9NRX3
P78527 P04150
Q06124 P68366
Q96I34 Q9Y4Y9
P06493 Q10567
Q12959 P09529
Q9UI14 Q15370
Q13432 Q15047
Q13424 P38398
Q9ULV0 P98172
P51587 Q9Y2I1
Q99816 P32942
P61981 P02545
Q9HAU5 Q5TC12
P61981 Q07817
P25101 Q8TB24
O60232 Q9UQM7
Q8WUM4 Q00613
O96017 O00716
Q04206 Q13698
P16581 Q9H4D5
P0DP25 Q53G59
P25963 Q8N5S9
Q16891 Q96L50
P23258 Q15633
Q12824 P61158
Q9GZT6 O75909
P25103 P51164
Q07820 Q13813
O00459 Q99574
P02751 P10114
P13611 P30291
Q07960 P11310
P18887 P49840
Q9Y2Y9 Q96KQ4
Q05513 P51572
Q15645 P36894
P41279 O75530
Q05655 P49902
P28482 O15015
O75528 Q9UHF0
P51692 P10915
O00560 Q14192
P03372 P04278
P0DP25 P48995
P06493 O75031
P41235 P08246
Q9UKY1 O95696
Q9NVA2 P00747
Q13698 Q9HB63
P13798 O14786
P51617 Q13671
O43294 O15020
P55085 Q9Y6G9
Q15796 Q96EY1
O14490 Q01844
Q07869 P25208
P98170 P61586
P42702 P61019
P23246 P50579
Q13432 P34741
Q00403 Q86XS8
P61586 Q86Z02
O14980 Q13291
P49023 Q99547
Q09472 P48058
P07339 P23276
O15530 P62826
O75182 Q06481
P63279 P04899
P08922 O75293
Q12906 P98175
P16870 Q8IVF5
Q05655 P33402
Q9UBU7 Q9UBF6
Q15173 P07384
P20936 O15164
Q01344 Q08881
P04278 Q92796
Q13546 Q06609
P17252 P09874
O14641 Q86SS6
Q96H20 Q9NX61
Q9UKR5 O14802
P06400 P42830
P07948 Q92974
Q12789 P28360
P04439 Q96C92
P27797 P04196
Q9P1Z2 Q9Y3T9
P41235 Q07817
Q9HB75 Q9Y262
Q99750 P06401
P02751 P36508
O95793 P15153
O15315 Q07954
P54259 O60583
P19022 Q9Y483
P06241 Q9NS91
P03372 Q86UW1
P49711 P20336
P30153 Q13185
Q9NYQ7 Q6STE5
P32121 Q03167
O14503 Q6ZU52
P55211 P08754
Q96KG7 P21731
Q9UBF9 Q9H4E7
P49802 P48048
Q14152 P42226
P49450 P10276
Q00722 P26006
P05771 P10071
P01100 P14543
Q9Y230 P11161
P04637 Q96A00
Q13432 Q03111
Q13416 O95633
Q14242 Q09161
P54132 Q9NSA3
Q05655 P09429
P17612 O15105
P62304 Q96CD2
Q8TAD8 P46779
P13984 Q14209
P05107 P16885
O60264 O00238
P51681 P04899
O15379 P42229
Q15726 P33681
Q9UBN7 O00626
P06396 P01303
O14745 O95985
Q9BT92 P14672
O75376 P51948
P30556 P35658
Q8N3Y1 P43681
P36896 P26358
Q13315 P25025
P18074 Q8WZ42
P00533 P09104
Q9BVI4 Q9HBM1
Q96G25 P04629
Q12933 P57727
P35222 P24941
P08047 P51610
P24723 Q9NXR8
Q9NPI5 Q13643
Q13315 P04278
Q14289 P63244
P46379 P42773
Q8N556 Q01955
Q99750 Q9HCC8
O75096 Q15274
P53778 Q9NRI5
Q16621 Q7Z7D3
P35222 Q8IYT8
P63010 Q06495
P42574 Q13489
P52333 P06576
Q13415 P17096
O95295 O14807
P49815 Q9H0F7
Q09472 Q6WCQ1
Q15047 Q9UEE9
P06241 Q9UBN4
P17252 Q9UKA9
O60674 O14802
P13798 Q96J02
P54253 Q9BWS9
P41134 Q16623
Q96ST3 Q9UQB8
P03372 Q96EY1
P38432 Q14232
P11142 P40337
Q13885 P11940
Q9Y6K9 P49796
P01024 Q9BV40
Q8WXI2 P60981
Q96RL1 Q9BYM8
P43364 O95999
Q05193 P15502
P14859 O15399
P07948 P20340
P10827 Q5T3J3
P30519 Q92624
O43707 Q92542
Q13332 O43915
Q96CN9 Q8TES7
P25116 O60882
O60573 P62491
O95295 Q02763
Q13490 P07384
Q92466 Q9UBX1
P28329 O94952
P16401 O15519
P08670 P04156
P61981 Q9NRR5
Q02543 P07947
P21810 P04628
O60921 Q8WXD5
Q16352 O75689
Q92624 O15234
P49841 P33991
P31942 P54764
P19012 P22607
Q96J02 Q9NQ69
Q9HAV5 P46781
P22681 P67775
P25205 O60671
P37198 Q9Y2H0
P42224 Q712K3
P68402 O60506
P35222 P11168
P35568 Q99704
Q92530 Q9H334
P17612 Q9UL45
P78527 Q6ZNK6
P61244 P62993
P36897 P49841
P08603 Q96KX2
Q9H6S1 P60953
Q15102 Q9UI26
P68366 Q86WP2
P67870 P23258
P63279 Q07955
P25391 P01732
Q03181 Q15543
Q9Y328 P80188
P68133 P11234
Q9H6S1 P45984
Q9H9D4 Q9UBF6
P05556 Q07812
P54259 P05067
O75909 P32745
P28482 O14493
P24385 O14763
P32780 O15350
Q05513 Q14258
P28069 P15056
P63279 P10586
P84022 O00555
P36897 O60921
P63010 Q6ZW49
Q15388 A3KMH1
Q00403 Q96S59
O14618 P38936
Q99569 P34741
Q9UHP3 O75593
Q12933 P49356
P29320 Q5SZQ8
Q16539 P61586
Q09472 Q30201
P55854 P40198
P30556 P07332
Q15047 P01100
P17252 Q15797
P19793 Q12805
P10398 O95747
Q12933 Q9UHI6
P35251 O43427
Q99704 P02458
Q6P1J9 P07711
Q96PN7 P19022
P01011 P49427
P05121 Q9UK45
P06241 Q9UQN3
Q9UQM7 Q92963
P61296 Q96JA3
Q8TDC3 Q99728
P14635 P55072
P16455 Q9UIM3
P10275 P00918
O75182 Q8WY54
Q13112 P50458
P26038 P31749
P11473 Q15052
P33993 Q8NBJ4
Q03014 Q15878
P19174 Q15696
O15379 O43815
P11233 P37173
Q13469 P36873
P59046 Q96A23
P06400 P29350
Q96KQ7 Q15722
Q13444 Q09161
Q15139 P02818
O15111 O60844
P48023 Q8NCD3
P19438 P62745
P10828 P07948
P35813 P47992
P15309 Q9H159
P63165 Q15036
P68400 Q99728
P17252 P98164
P14136 O95848
Q99590 P20336
P56696 Q8NCM8
Q96EK5 Q8TAX7
P30307 Q9UKB1
Q99698 Q01130
Q99653 O15126
Q8TBX8 P30626
Q15155 Q9UBF9
Q9UJU2 Q9Y2K7
O95376 Q9HAU4
O75674 O15273
Q9UKR5 P19174
Q9BX66 Q15036
P05787 Q9NSC2
P68104 P61326
P21673 P04150
Q15788 P19793
P62993 P02708
Q02156 Q92905
Q6ZVK8 Q9ULH1
Q9NSA0 Q05586
P00533 P10599
P36897 Q9H0H5
Q9Y371 P13984
P24386 Q9NW68
Q13547 P54259
P09619 Q9NP94
P06858 P20336
Q09472 Q5RL73
P12931 P42702
P0DP25 Q9NZW5
P33176 Q9NQS7
Q16543 P48443
P68400 Q04725
P61978 P11274
P23975 Q9BXP8
Q9UGJ1 O00716
O95429 Q9NQT4
P27348 Q96MU7
Q13547 P20226
Q9ULB1 P49903
Q00526 Q9NQX3
Q01844 Q9UK53
P35609 Q7Z7G1
Q96RI1 Q9NQ66
P02686 P62308
P11388 Q99578
P12931 P07948
O60264 P34947
Q13541 P62877
P54253 Q96SI9
O15162 P10588
P42574 P06213
P46527 P08697
Q9HCE7 O95983
P33151 Q15599
P28482 Q8WXE9
Q9H307 Q9C0J8
O00755 Q9BUY5
P10721 P49759
O00186 Q8N122
Q9UH92 O95157
Q03135 Q9BST9
P40763 P19174
P10275 P07288
O15399 P78504
P28702 O14544
P08253 P20226
Q9H8Y8 Q07869
Q8N0X7 P18850
Q05086 Q9H0R8
P31269 Q9UPZ3
P52333 Q9H0A6
P61981 P57086
P16333 P43364
O15162 Q9UBC3
P27694 Q9H3U1
P06400 P35869
Q13547 O43683
P28482 P62258
P06241 P07332
Q13642 Q9NRX3
P61289 O75170
P48552 Q01892
Q99741 P50222
Q9HCE7 Q9UJY4
P28482 P78560
P31749 P16455
P09874 P01100
P10321 P16619
P16581 Q96M83
O75369 Q92828
Q7L2E3 P20036
P28074 P48730
O76064 P32246
P32121 Q99627
P68133 P14902
P35548 Q92845
Q9UBW8 P68363
P23229 P51148
P04150 Q9BXI6
P27361 Q9C0C4
P04278 Q8NE01
Q9NPD3 O14965
P68400 Q9ULW0
P23443 P43487
P05060 P27448
Q7Z7J5 P57735
O75676 P40337
P48736 P11465
P51692 P34947
O75674 Q14324
