Q9UN86 O14531
Q99856 Q6A162
Q99856 P55081
Q99856 P62837
Q99856 Q9BYR9
Q99856 Q13838
Q99856 O43504
O60220 P14373
O60220 Q9P2A4
O60220 Q9BZW7
O60220 Q8IVT2
P57052 Q9UJX2
P57052 Q14929
P57052 Q9UPG8
Q8WVE6 P17024
Q7Z3S9 Q6A162
Q7Z3S9 P60409
Q7Z3S9 P50222
Q7Z3S9 P60410
Q7Z3S9 Q15323
Q7Z3S9 Q99750
Q7Z3S9 P14373
Q7Z3S9 P60411
Q7Z3S9 Q08117
Q7Z3S9 Q93062
Q7Z3S9 Q9BRK4
Q7Z3S9 Q8TBB1
Q7Z3S9 P15884
Q7Z3S9 P04637
Q7Z3S9 P26371
Q7Z3S9 Q8IZU0
Q7Z3S9 Q12933
Q7Z3S9 P60370
Q7Z3S9 Q8ND90
Q7Z3S9 P62993
Q7Z3S9 Q9UMX0
Q7Z3S9 P19012
Q7Z3S9 P49639
Q7Z3S9 Q8IUQ4
Q7Z3S9 Q9UKT9
Q7Z3S9 Q8N6L0
Q7Z3S9 Q8N6Y0
Q7Z3S9 Q13643
Q7Z3S9 P25791
Q7Z3S9 P16333
Q7Z3S9 Q9NYB0
Q7Z3S9 Q6RW13
Q7Z3S9 P63104
Q7Z3S9 Q8N9N5
Q7Z3S9 Q8IYX8
Q7Z3S9 P32242
Q7Z3S9 Q9H257
Q7Z3S9 Q08379
Q7Z3S9 Q15645
Q7Z3S9 Q9BSI4
Q7Z3S9 Q8WWY3
Q7Z3S9 O43741
Q7Z3S9 Q9BQ66
Q7Z3S9 Q96DZ9
Q7Z3S9 P08238
Q7Z3S9 Q9NRD5
Q7Z3S9 Q12800
Q7Z3S9 P40222
Q7Z3S9 Q04206
Q7Z3S9 O14964
Q7Z3S9 P43364
Q7Z3S9 Q3B820
Q7Z3S9 Q14192
Q7Z3S9 P51116
Q7Z3S9 Q9GZM8
Q7Z3S9 Q9BVG8
Q7Z3S9 Q7L273
Q7Z3S9 Q08AM6
Q7Z3S9 Q9H0I2
Q7Z3S9 Q8WV44
Q7Z3S9 Q9NUX5
Q7Z3S9 P62805
Q7Z3S9 Q9NPJ6
Q7Z3S9 Q8IUH5
Q7Z3S9 Q8N1B4
Q7Z3S9 Q9P2A4
Q7Z3S9 P46527
Q7Z3S9 P31946
Q7Z3S9 Q92567
Q7Z3S9 Q9Y2X8
Q7Z3S9 Q96BA8
Q7Z3S9 Q7Z3I7
Q7Z3S9 Q5T5B0
Q7Z3S9 Q5TZK3
Q7Z3S9 Q15973
Q7Z3S9 Q15415
Q7Z3S9 Q9NSC5
Q7Z3S9 Q9UGL9
Q7Z3S9 Q8TBZ8
Q7Z3S9 Q9UL42
Q7Z3S9 P49841
Q7Z3S9 Q9NS73
Q7Z3S9 Q8N3L3
Q7Z3S9 Q9BQ89
Q7Z3S9 P07947
Q7Z3S9 P10415
Q7Z3S9 Q5TCM9
Q7Z3S9 P61289
Q7Z3S9 Q96Q77
Q7Z3S9 Q7L775
Q7Z3S9 P32969
Q7Z3S9 Q9UHP6
Q7Z3S9 Q9BQ24
Q7Z3S9 Q96IW7
Q7Z3S9 Q07817
Q7Z3S9 Q5TA76
Q7Z3S9 P61077
Q7Z3S9 P25963
Q7Z3S9 Q9NQT4
Q7Z3S9 Q9UPY8
Q7Z3S9 Q9NVL8
Q7Z3S9 O43602
Q7Z3S9 Q9H1K1
Q7Z3S9 O76064
Q7Z3S9 Q8TAP4
Q7Z3S9 Q96ES7
Q7Z3S9 P43356
Q7Z3S9 Q9Y6H1
