filename,Time [s],Test,Rest,Dataset,Part_Train,Part_Test,Model
original.dscript,1025.695,original,dscript,dscript,,,SPRINT
original.du,110.195,original,du,du,,,SPRINT
original.gold_standard,9893.358,original,gold,gold,,,SPRINT
original.guo,60.303,original,guo,guo,,,SPRINT
original.huang,491.35,original,huang,huang,,,SPRINT
original.pan,1657.091,original,pan,pan,,,SPRINT
original.Richoux-Regular,916.212,original,Richoux-Regular,Richoux-Regular,,,SPRINT
original.Richoux-Strict,1129.675,original,Richoux-Strict,Richoux-Strict,,,SPRINT
partitions.dscript_train_0_test_1,667.816,partitions,dscript_0_1,dscript,0,1,SPRINT
partitions.dscript_train_both_test_0,585.473,partitions,dscript_both_0,dscript,both,0,SPRINT
partitions.dscript_train_both_test_1,582.603,partitions,dscript_both_1,dscript,both,1,SPRINT
partitions.du_train_0_test_1,80.004,partitions,du_0_1,du,0,1,SPRINT
partitions.du_train_both_test_0,74.184,partitions,du_both_0,du,both,0,SPRINT
partitions.du_train_both_test_1,74.525,partitions,du_both_1,du,both,1,SPRINT
partitions.guo_train_0_test_1,43.966,partitions,guo_0_1,guo,0,1,SPRINT
partitions.guo_train_both_test_0,42.104,partitions,guo_both_0,guo,both,0,SPRINT
partitions.guo_train_both_test_1,42.821,partitions,guo_both_1,guo,both,1,SPRINT
partitions.huang_train_0_test_1,406.67,partitions,huang_0_1,huang,0,1,SPRINT
partitions.huang_train_both_test_0,344.832,partitions,huang_both_0,huang,both,0,SPRINT
partitions.huang_train_both_test_1,347.883,partitions,huang_both_1,huang,both,1,SPRINT
partitions.pan_train_0_test_1,1509.987,partitions,pan_0_1,pan,0,1,SPRINT
partitions.pan_train_both_test_0,924.448,partitions,pan_both_0,pan,both,0,SPRINT
partitions.pan_train_both_test_1,933.54,partitions,pan_both_1,pan,both,1,SPRINT
partitions.richoux_train_0_test_1,1117.726,partitions,richoux_0_1,richoux,0,1,SPRINT
partitions.richoux_train_both_test_0,722.16,partitions,richoux_both_0,richoux,both,0,SPRINT
partitions.richoux_train_both_test_1,721.821,partitions,richoux_both_1,richoux,both,1,SPRINT
rewired.dscript,961.923,rewired,dscript,dscript,,,SPRINT
rewired.du,107.252,rewired,du,du,,,SPRINT
rewired.guo,59.548,rewired,guo,guo,,,SPRINT
rewired.huang,472.17,rewired,huang,huang,,,SPRINT
rewired.pan,1507.818,rewired,pan,pan,,,SPRINT
rewired.Richoux-Regular,954.148,rewired,Richoux-Regular,Richoux-Regular,,,SPRINT
rewired.Richoux-Strict,993.896,rewired,Richoux-Strict,Richoux-Strict,,,SPRINT
