Node	Partition
Q9NWW9	1
P48200	0
Q5CZC0	0
Q8N3Y1	0
Q96KN4	1
Q96KN1	1
O95237	1
Q9Y3E1	1
Q7RTS6	1
P53816	1
Q9UL19	1
Q8WZ42	0
Q8N1K5	0
Q9H788	0
Q9HDD0	1
Q96KN8	1
Q99952	0
P23470	0
O75410	0
Q8N1M1	0
Q96JP9	0
Q96NH3	0
Q9UNH5	0
O60729	0
O75477	0
A6NE02	0
P10632	1
O95147	0
A4D256	0
Q9UQB3	0
Q8NE62	1
O94779	0
P98160	0
Q9Y2R2	0
Q9H3S7	0
P17706	0
P26045	0
P29074	0
P54829	0
P35236	0
P43378	0
Q92932	0
P00751	1
P23467	0
P23469	0
Q12913	0
Q16849	0
P18031	0
Q8NEZ4	0
O60942	0
Q6W5P4	1
Q9NXD2	0
P60608	1
Q9NS40	0
A7E2Y1	0
Q08174	0
O94806	0
Q9UIQ6	0
Q93074	0
Q86XE3	0
P49411	0
Q9UKZ9	0
A2A3K4	0
Q06124	0
P23471	0
Q9P1G2	0
Q16827	0
Q9UMZ3	0
Q15256	0
Q13332	0
O14522	0
Q92729	0
Q16825	0
Q4JDL3	0
Q8WUK0	0
Q9UIV1	1
Q3L8U1	0
A8K855	0
Q5T0N1	0
P01031	0
Q5VSG8	1
Q9Y6V7	0
Q6IA86	0
Q9BYK8	0
Q16667	0
Q9NRP4	1
Q9NTJ5	0
Q5VZR4	1
Q5SR56	1
A0A1B0GVS7	0
Q12923	0
Q68BL7	0
P18433	0
P10586	0
Q15262	0
P28827	0
P60484	0
P23468	0
Q969F9	0
Q9HCM1	0
Q9NP60	0
Q15678	0
Q05209	0
Q9BY78	0
Q11201	1
Q6ZRS2	0
Q68CZ2	0
B9A6J9	0
Q4LDE5	0
Q86UD1	0
Q6UXD7	1
Q6ZS11	0
P56180	0
P55851	1
O75365	0
Q9UBZ9	0
Q9Y490	0
Q12974	0
Q96PX9	0
P53804	0
Q6N022	0
Q70EL3	0
Q96MU7	0
P29350	0
Q6XPS3	0
Q5SVZ6	0
Q8WY21	0
P08575	0
Q9HD43	0
Q93096	0
O60293	0
Q8WTR2	0
Q9BVJ7	0
Q6N043	0
P59817	0
Q86YH2	0
Q9HBT8	0
Q86Y25	0
Q9H2P0	0
P07451	1
Q96CN4	0
Q09472	0
Q96L91	0
Q9BRD0	0
P48751	1
Q9P281	0
Q86TW2	0
P12645	1
Q6ZN18	0
Q8NI51	0
P49711	0
Q96M83	0
Q15744	0
Q8WWZ4	0
Q9NW68	0
O43823	0
Q8TDY3	0
Q86V15	0
H3BNL8	1
Q9H9E3	0
Q8IUA7	0
Q96QA5	0
Q9H116	0
P46098	1
