Model,Dataset,Accuracy
degree_cons,gold_standard,0.5
RF_MDS,gold_standard,0.507473870273594
SVM_MDS,gold_standard,0.504534276052874
RF_node2vec,gold_standard,0.506503652201086
SVM_node2vec,gold_standard,0.517011054255693
RF_PCA,gold_standard,0.520077620657854
SVM_PCA,gold_standard,0.513410697817399
DeepFE,gold_standard,0.5183
deepPPI_FC,gold_standard,0.5242
deepPPI_LSTM,gold_standard,0.515
PIPR,gold_standard,0.5216
SPRINT,gold_standard,0.515
D-SCRIPT,gold_standard,0.5034
Topsy_Turvy,gold_standard,0.5588
