Model,Dataset,MCC
degree_cons,gold_standard,0
RF_MDS,gold_standard,0.0160856846137048
SVM_MDS,gold_standard,-0.0046685772430901
RF_node2vec,gold_standard,0.0267255915357895
SVM_node2vec,gold_standard,0.0307512690383893
RF_PCA,gold_standard,0.0446462481844844
SVM_PCA,gold_standard,0.0250965812706355
DeepFE,gold_standard,0.0367
deepPPI_FC,gold_standard,0.0503
deepPPI_LSTM,gold_standard,0.0302
PIPR,gold_standard,0.0435
SPRINT,gold_standard,0.5145
D-SCRIPT,gold_standard,0.0086
Topsy_Turvy,gold_standard,0.1464
