Model,Dataset,Precision
degree_cons,gold_standard,0.5
RF_MDS,gold_standard,0.514016243122871
SVM_MDS,gold_standard,0.51195338779433
RF_node2vec,gold_standard,0.522657450076805
SVM_node2vec,gold_standard,0.532693530670058
RF_PCA,gold_standard,0.537009263343626
SVM_PCA,gold_standard,0.504625183238134
DeepFE,gold_standard,0.5204
deepPPI_FC,gold_standard,0.5331
deepPPI_LSTM,gold_standard,0.5135
PIPR,gold_standard,0.5245
SPRINT,gold_standard,0.5145
D-SCRIPT,gold_standard,0.5089
Topsy_Turvy,gold_standard,0.6455
