Model,Dataset,Recall
degree_cons,gold_standard,1
RF_MDS,gold_standard,0.163387642176453
SVM_MDS,gold_standard,0.646441746080541
RF_node2vec,gold_standard,0.221553845552908
SVM_node2vec,gold_standard,0.65208390297254
RF_PCA,gold_standard,0.253035659391331
SVM_PCA,gold_standard,0.521864432831233
DeepFE,gold_standard,0.4664
deepPPI_FC,gold_standard,0.405
deepPPI_LSTM,gold_standard,0.607
PIPR,gold_standard,0.4635
SPRINT,gold_standard,0.5145
D-SCRIPT,gold_standard,0.1935
Topsy_Turvy,gold_standard,0.2609
