Model,Dataset,Specificity
degree_cons,gold_standard,0
RF_MDS,gold_standard,0.84833230863818
SVM_MDS,gold_standard,0.349100830003074
RF_node2vec,gold_standard,0.80024217803992
SVM_node2vec,gold_standard,0.377485254482247
RF_PCA,gold_standard,0.784775591761451
SVM_PCA,gold_standard,0.503227789732555
DeepFE,gold_standard,1
deepPPI_FC,gold_standard,0.5136
deepPPI_LSTM,gold_standard,0.4588
PIPR,gold_standard,0.374
SPRINT,gold_standard,0.5145
D-SCRIPT,gold_standard,0.9514
Topsy_Turvy,gold_standard,0.9795
