Model,Dataset,AUC
degree_cons,dscript,0.5
RF_MDS,dscript,0.77720605355064
SVM_MDS,dscript,0.615145518044237
RF_node2vec,dscript,0.77593808630394
SVM_node2vec,dscript,0.563461538461539
RF_PCA,dscript,0.800069848661234
SVM_PCA,dscript,0.521688009313155
degree_cons,du,0.835913789629676
degree_hf,du,0.86507837492081
RF_MDS,du,0.878965418691054
SVM_MDS,du,0.688053729637039
RF_node2vec,du,0.87890739117733
SVM_node2vec,du,0.65366637452527
RF_PCA,du,0.882109174049728
SVM_PCA,du,0.453701057444984
degree_cons,guo,0.739071038251366
degree_hf,guo,0.8091985428051
RF_MDS,guo,0.723132969034608
SVM_MDS,guo,0.615664845173042
RF_node2vec,guo,0.704819277108434
SVM_node2vec,guo,0.602409638554217
RF_PCA,guo,0.712204007285974
SVM_PCA,guo,0.51775956284153
degree_cons,huang,0.875545851528384
degree_hf,huang,0.916302765647744
RF_MDS,huang,0.969387755102041
SVM_MDS,huang,0.947521865889213
RF_node2vec,huang,0.951612903225806
SVM_node2vec,huang,0.817448680351906
RF_PCA,huang,0.965743440233236
SVM_PCA,huang,0.650145772594752
degree_cons,pan,0.892381952282826
degree_hf,pan,0.928894702505644
RF_MDS,pan,0.976327116212339
SVM_MDS,pan,0.760082894946596
RF_node2vec,pan,0.971284594464885
SVM_node2vec,pan,0.468804991201408
RF_PCA,pan,0.974254742547426
SVM_PCA,pan,0.396859556830862
degree_cons,richoux-regular,0.77599486521181
degree_hf,richoux-regular,0.800385109114249
RF_MDS,richoux-regular,0.922132471728594
SVM_MDS,richoux-regular,0.6218901453958
RF_node2vec,richoux-regular,0.910265011741026
SVM_node2vec,richoux-regular,0.483478698423348
RF_PCA,richoux-regular,0.923909531502423
SVM_PCA,richoux-regular,0.495557350565428
degree_cons,richoux-strict,0.669230769230769
degree_hf,richoux-strict,0.730769230769231
RF_MDS,richoux-strict,0.711240310077519
SVM_MDS,richoux-strict,0.579457364341085
RF_node2vec,richoux-strict,0.72093023255814
SVM_node2vec,richoux-strict,0.468992248062016
RF_PCA,richoux-strict,0.726744186046512
SVM_PCA,richoux-strict,0.472868217054264
DeepFE,dscript,0.9677
DeepFE,du,0.9609
DeepFE,guo,0.9086
DeepFE,huang,0.9938
DeepFE,pan,0.9957
DeepFE,richoux-regular,0.9452
DeepFE,richoux-strict,0.7802
deepPPI_FC,dscript,0.8834
deepPPI_FC,du,0.9094
deepPPI_FC,guo,0.6988
deepPPI_FC,huang,0.9736
deepPPI_FC,pan,0.986
deepPPI_FC,richoux-regular,0.8774
deepPPI_FC,richoux-strict,0.7402
deepPPI_LSTM,dscript,0.8302
deepPPI_LSTM,du,0.8845
deepPPI_LSTM,guo,0.9093
deepPPI_LSTM,huang,0.9419
deepPPI_LSTM,pan,0.8833
deepPPI_LSTM,richoux-regular,0.852
deepPPI_LSTM,richoux-strict,0.7266
PIPR,dscript,0.9663
PIPR,du,0.9513
PIPR,guo,0.9893
PIPR,huang,0.9783
PIPR,pan,0.9934
PIPR,richoux-regular,0.9558
PIPR,richoux-strict,0.8074
SPRINT,du,0.783
SPRINT,guo,0.6351
SPRINT,huang,0.7274
SPRINT,pan,0.8701
SPRINT,richoux-regular,0.9809
SPRINT,richoux-strict,0.816
SPRINT,dscript,0.9277
D-SCRIPT,du,0.816320674649557
D-SCRIPT,guo,0.733061224489796
D-SCRIPT,huang,0.867821180555556
D-SCRIPT,pan,0.84902591003838
D-SCRIPT,richoux-regular,0.768456538891094
D-SCRIPT,richoux-strict,0.596322314049587
D-SCRIPT,dscript,0.807418194352854
Topsy_Turvy,du,0.639718643213123
Topsy_Turvy,guo,0.674272653061225
Topsy_Turvy,huang,0.743051215277778
Topsy_Turvy,pan,0.769220370112051
Topsy_Turvy,richoux-regular,0.761750121222037
Topsy_Turvy,richoux-strict,0.635785123966942
Topsy_Turvy,dscript,0.836551677443656
