Model,Dataset,Accuracy
RF_MDS,dscript,0.77720605355064
SVM_MDS,dscript,0.615145518044238
RF_PCA,dscript,0.800069848661234
SVM_PCA,dscript,0.521688009313155
degree_cons,dscript,0.5
RF_node2vec,dscript,0.77593808630394
SVM_node2vec,dscript,0.563461538461539
RF_MDS,du,0.878965418691055
SVM_MDS,du,0.688053729637039
RF_PCA,du,0.882109174049728
SVM_PCA,du,0.453701057444984
degree_cons,du,0.83592968415035
degree_hf,du,0.86508503644419
RF_node2vec,du,0.87890739117733
SVM_node2vec,du,0.65366637452527
RF_MDS,guo,0.723132969034608
SVM_MDS,guo,0.615664845173042
RF_PCA,guo,0.712204007285974
SVM_PCA,guo,0.51775956284153
degree_cons,guo,0.739071038251366
degree_hf,guo,0.8091985428051
RF_node2vec,guo,0.704819277108434
SVM_node2vec,guo,0.602409638554217
RF_MDS,huang,0.969387755102041
SVM_MDS,huang,0.947521865889213
RF_PCA,huang,0.965743440233236
SVM_PCA,huang,0.650145772594752
degree_cons,huang,0.875545851528384
degree_hf,huang,0.916302765647744
RF_node2vec,huang,0.951612903225806
SVM_node2vec,huang,0.817448680351906
RF_MDS,pan,0.976327116212339
SVM_MDS,pan,0.760082894946597
RF_PCA,pan,0.974254742547426
SVM_PCA,pan,0.396859556830862
degree_cons,pan,0.892395982783357
degree_hf,pan,0.928901641957596
RF_node2vec,pan,0.971284594464885
SVM_node2vec,pan,0.468804991201408
RF_MDS,richoux-regular,0.922132471728594
SVM_MDS,richoux-regular,0.6218901453958
RF_PCA,richoux-regular,0.923909531502423
SVM_PCA,richoux-regular,0.495557350565428
degree_cons,richoux-regular,0.77599486521181
degree_hf,richoux-regular,0.800385109114249
RF_node2vec,richoux-regular,0.910265011741026
SVM_node2vec,richoux-regular,0.483478698423348
RF_MDS,richoux-strict,0.711240310077519
SVM_MDS,richoux-strict,0.579457364341085
RF_PCA,richoux-strict,0.726744186046512
SVM_PCA,richoux-strict,0.472868217054264
degree_cons,richoux-strict,0.669230769230769
degree_hf,richoux-strict,0.730769230769231
RF_node2vec,richoux-strict,0.72093023255814
SVM_node2vec,richoux-strict,0.468992248062016
DeepFE,dscript,0.8653
DeepFE,du,0.5194
DeepFE,guo,0.5002
DeepFE,huang,0.6783
DeepFE,pan,0.6019
DeepFE,richoux-regular,0.6477
DeepFE,richoux-strict,0.5058
deepPPI_FC,dscript,0.64975
deepPPI_FC,du,0.8276
deepPPI_FC,guo,0.6003
deepPPI_FC,huang,0.6176
deepPPI_FC,pan,0.9861
deepPPI_FC,richoux-regular,0.8706
deepPPI_FC,richoux-strict,0.6562
deepPPI_LSTM,dscript,0.5
deepPPI_LSTM,du,0.4993
deepPPI_LSTM,guo,0.4987
deepPPI_LSTM,huang,0.4739
deepPPI_LSTM,pan,0.474
deepPPI_LSTM,richoux-regular,0.833
deepPPI_LSTM,richoux-strict,0.5
PIPR,dscript,0.823
PIPR,du,0.8382
PIPR,guo,0.5002
PIPR,huang,0.8923
PIPR,pan,0.6724
PIPR,richoux-regular,0.8862
PIPR,richoux-strict,0.7043
SPRINT,du,0.7345
SPRINT,guo,0.6252
SPRINT,huang,0.7497
SPRINT,pan,0.8917
SPRINT,richoux-regular,0.9871
SPRINT,richoux-strict,0.8088
SPRINT,dscript,0.7754
D-SCRIPT,du,0.5908
D-SCRIPT,guo,0.6869
D-SCRIPT,huang,0.7688
D-SCRIPT,pan,0.7873
D-SCRIPT,richoux-regular,0.6828
D-SCRIPT,richoux-strict,0.6886
D-SCRIPT,dscript,0.6344
Topsy_Turvy,du,0.6191
Topsy_Turvy,guo,0.6183
Topsy_Turvy,huang,0.6021
Topsy_Turvy,pan,0.8908
Topsy_Turvy,richoux-regular,0.7137
Topsy_Turvy,richoux-strict,0.6045
Topsy_Turvy,dscript,0.6165
