Model,Dataset,F1
RF_MDS,du,0.874313782143889
SVM_MDS,du,0.892898052691867
RF_node2vec,du,0.876364709353792
SVM_node2vec,du,0.84647426361202
RF_PCA,du,0.879282926124042
SVM_PCA,du,0.629836179853608
RF_MDS,guo,0.726534296028881
SVM_MDS,guo,0.697926059513075
RF_node2vec,guo,0.715409532623785
SVM_node2vec,guo,0.643569055529189
RF_PCA,guo,0.722741433021807
SVM_PCA,guo,0.533195020746888
RF_MDS,huang,0.972140762463343
SVM_MDS,huang,0.927492447129909
RF_node2vec,huang,0.946975354742345
SVM_node2vec,huang,0.680203045685279
RF_PCA,huang,0.953731343283582
SVM_PCA,huang,0.584378013500482
RF_MDS,pan,0.972233400402415
SVM_MDS,pan,0.97275138654449
RF_node2vec,pan,0.963221563692458
SVM_node2vec,pan,0.793037423846823
RF_PCA,pan,0.968964127367997
SVM_PCA,pan,0.776479115701731
RF_MDS,richoux-regular,0.921656876954764
SVM_MDS,richoux-regular,0.887196110210697
RF_node2vec,richoux-regular,0.914213757280025
SVM_node2vec,richoux-regular,0.704175198077094
RF_PCA,richoux-regular,0.920189950980392
SVM_PCA,richoux-regular,0.685378241112002
RF_MDS,richoux-strict,0.687058823529412
SVM_MDS,richoux-strict,0.658932714617169
RF_node2vec,richoux-strict,0.698901098901099
SVM_node2vec,richoux-strict,0.607142857142857
RF_PCA,richoux-strict,0.680459770114943
SVM_PCA,richoux-strict,0.590909090909091
DeepFE,du,0.9054
DeepFE,guo,0.8765
DeepFE,huang,0.9719
DeepFE,pan,0.9849
DeepFE,richoux-regular,0.8878
DeepFE,richoux-strict,0.6244
deepPPI_FC,du,0.9112
deepPPI_FC,guo,0.7476
deepPPI_FC,huang,0.9726
deepPPI_FC,pan,0.9854
deepPPI_FC,richoux-regular,0.8912
deepPPI_FC,richoux-strict,0.6957
deepPPI_LSTM,du,0.8836
deepPPI_LSTM,guo,0.9061
deepPPI_LSTM,huang,0.9389
deepPPI_LSTM,pan,0.8783
deepPPI_LSTM,richoux-regular,0.8573
deepPPI_LSTM,richoux-strict,0.6847
PIPR,du,0.8924
PIPR,guo,0.961
PIPR,huang,0.9487
PIPR,pan,0.9788
PIPR,richoux-regular,0.9174
PIPR,richoux-strict,0.6571
SPRINT,du,0.7345
SPRINT,guo,0.6252
SPRINT,huang,0.7497
SPRINT,pan,0.8917
SPRINT,richoux-regular,0.9871
SPRINT,richoux-strict,0.8088
