Model,Dataset,F1
degree_cons,dscript,0
RF_MDS,dscript,0.6899700385219
SVM_MDS,dscript,0.243442158897905
RF_node2vec,dscript,0.691610640163695
SVM_node2vec,dscript,0.187709997760024
RF_PCA,dscript,0.734173629797479
SVM_PCA,dscript,0.17036538892625
degree_cons,du,0.814993564993565
degree_hf,du,0.858470764617691
RF_MDS,du,0.878351109829922
SVM_MDS,du,0.710631040363843
RF_node2vec,du,0.879882092851879
SVM_node2vec,du,0.689071111708563
RF_PCA,du,0.880680998412927
SVM_PCA,du,0.547169811320755
degree_cons,guo,0.758125791473195
degree_hf,guo,0.816630196936543
RF_MDS,guo,0.733333333333333
SVM_MDS,guo,0.628646060078363
RF_node2vec,guo,0.724358974358975
SVM_node2vec,guo,0.603463992707384
RF_PCA,guo,0.713771377137714
SVM_PCA,guo,0.582089552238806
degree_cons,huang,0.861313868613139
degree_hf,huang,0.912146676852559
RF_MDS,huang,0.96769456681351
SVM_MDS,huang,0.944649446494465
RF_node2vec,huang,0.952592592592593
SVM_node2vec,huang,0.814763231197772
RF_PCA,huang,0.96
SVM_PCA,huang,0.572421784472769
degree_cons,pan,0.881797517048435
degree_hf,pan,0.925475158386129
RF_MDS,pan,0.975343345915991
SVM_MDS,pan,0.760781055255505
RF_node2vec,pan,0.97142395866968
SVM_node2vec,pan,0.432184291795343
RF_PCA,pan,0.97420236277425
SVM_PCA,pan,0.461341124492268
degree_cons,richoux-regular,0.803299314972739
degree_hf,richoux-regular,0.811813594538439
RF_MDS,richoux-regular,0.925820585748328
SVM_MDS,richoux-regular,0.62847790507365
RF_node2vec,richoux-regular,0.918396450641737
SVM_node2vec,richoux-regular,0.442732049036778
RF_PCA,richoux-regular,0.92934908501274
SVM_PCA,richoux-regular,0.549205664581986
degree_cons,richoux-strict,0.735395189003437
degree_hf,richoux-strict,0.760147601476015
RF_MDS,richoux-strict,0.625916870415648
SVM_MDS,richoux-strict,0.539094650205761
RF_node2vec,richoux-strict,0.698850574712644
SVM_node2vec,richoux-strict,0.448132780082988
RF_PCA,richoux-strict,0.636363636363636
SVM_PCA,richoux-strict,0.513368983957219
DeepFE,dscript,0.7829
DeepFE,du,0.6746
DeepFE,guo,0.6669
DeepFE,huang,0.7533
DeepFE,pan,0.7096
DeepFE,richoux-regular,0.581
DeepFE,richoux-strict,0.6453
deepPPI_FC,dscript,0.4571
deepPPI_FC,du,0.8405
deepPPI_FC,guo,0.6298
deepPPI_FC,huang,0.3469
deepPPI_FC,pan,0.9853
deepPPI_FC,richoux-regular,0.8843
deepPPI_FC,richoux-strict,0.5294
deepPPI_LSTM,dscript,0
deepPPI_LSTM,du,0.2348
deepPPI_LSTM,guo,0.6655
deepPPI_LSTM,huang,0.5788
deepPPI_LSTM,pan,0.6431
deepPPI_LSTM,richoux-regular,0.8368
deepPPI_LSTM,richoux-strict,0.6667
PIPR,dscript,0.7535
PIPR,du,0.8201
PIPR,guo,0.6669
PIPR,huang,0.8814
PIPR,pan,0.5211
PIPR,richoux-regular,0.8893
PIPR,richoux-strict,0.6162
SPRINT,du,0.7345
SPRINT,guo,0.6252
SPRINT,huang,0.7497
SPRINT,pan,0.8917
SPRINT,richoux-regular,0.9871
SPRINT,richoux-strict,0.8088
SPRINT,dscript,0.7754
D-SCRIPT,du,0.3676
D-SCRIPT,guo,0.6442
D-SCRIPT,huang,0.7382
D-SCRIPT,pan,0.7555
D-SCRIPT,richoux-regular,0.5739
D-SCRIPT,richoux-strict,0.5836
D-SCRIPT,dscript,0.4133
Topsy_Turvy,du,0.4195
Topsy_Turvy,guo,0.6014
Topsy_Turvy,huang,0.3503
Topsy_Turvy,pan,0.8836
Topsy_Turvy,richoux-regular,0.6458
Topsy_Turvy,richoux-strict,0.4161
Topsy_Turvy,dscript,0.3713
