Model,Dataset,MCC
RF_MDS,du,0.751534831096081
SVM_MDS,du,0.786230929078535
RF_node2vec,du,0.755334568115068
SVM_node2vec,du,0.698968854096597
RF_PCA,du,0.761564476476392
SVM_PCA,du,0.421228549887983
RF_MDS,guo,0.448161784294624
SVM_MDS,guo,0.389877903460827
RF_node2vec,guo,0.430029465665902
SVM_node2vec,guo,0.304325304084696
RF_PCA,guo,0.433072148423641
SVM_PCA,guo,0.185951974584694
RF_MDS,huang,0.944670652722806
SVM_MDS,huang,0.862171459573803
RF_node2vec,huang,0.896496954521118
SVM_node2vec,huang,0.46252127078214
RF_PCA,huang,0.910612260581394
SVM_PCA,huang,0.425964838157026
RF_MDS,pan,0.945178241975808
SVM_MDS,pan,0.946091415804877
RF_node2vec,pan,0.927938065024214
SVM_node2vec,pan,0.627863556403984
RF_PCA,pan,0.938863056893327
SVM_PCA,pan,0.625082433618254
RF_MDS,richoux-regular,0.839932471921569
SVM_MDS,richoux-regular,0.775137347390566
RF_node2vec,richoux-regular,0.824296809623154
SVM_node2vec,richoux-regular,0.44563995365157
RF_PCA,richoux-regular,0.836668190605974
SVM_PCA,richoux-regular,0.437270170863762
RF_MDS,richoux-strict,0.517772599607205
SVM_MDS,richoux-strict,0.455672550002333
RF_node2vec,richoux-strict,0.482677345562729
SVM_node2vec,richoux-strict,0.32947938895017
RF_PCA,richoux-strict,0.485803320720789
SVM_PCA,richoux-strict,0.316362992777783
DeepFE,du,0.8105
DeepFE,guo,0.763
DeepFE,huang,0.9453
DeepFE,pan,0.9701
DeepFE,richoux-regular,0.7653
DeepFE,richoux-strict,0.4038
deepPPI_FC,du,0.8191
deepPPI_FC,guo,0.4324
deepPPI_FC,huang,0.9469
deepPPI_FC,pan,0.9723
deepPPI_FC,richoux-regular,0.7734
deepPPI_FC,richoux-strict,0.5025
deepPPI_LSTM,du,0.7691
deepPPI_LSTM,guo,0.8204
deepPPI_LSTM,huang,0.8885
deepPPI_LSTM,pan,0.7657
deepPPI_LSTM,richoux-regular,0.7052
deepPPI_LSTM,richoux-strict,0.47
PIPR,du,0.7883
PIPR,guo,0.9226
PIPR,huang,0.9004
PIPR,pan,0.958
PIPR,richoux-regular,0.8284
PIPR,richoux-strict,0.4748
SPRINT,du,0.7345
SPRINT,guo,0.6252
SPRINT,huang,0.7497
SPRINT,pan,0.8917
SPRINT,richoux-regular,0.9871
SPRINT,richoux-strict,0.8088
