Model,Dataset,Precision
degree_cons,dscript,
RF_MDS,dscript,0.909950813469542
SVM_MDS,dscript,0.15819800942902
RF_node2vec,dscript,0.915927497107597
SVM_node2vec,dscript,0.113705865999444
RF_PCA,dscript,0.940536620739666
SVM_PCA,dscript,0.0960522320072882
degree_cons,du,0.931985294117647
degree_hf,du,0.902585119798234
RF_MDS,du,0.88681446907818
SVM_MDS,du,0.661829808165273
RF_node2vec,du,0.886241810601548
SVM_node2vec,du,0.674634794156706
RF_PCA,du,0.886863425925926
SVM_PCA,du,0.467651757188498
degree_cons,guo,0.706530291109363
degree_hf,guo,0.786015164279697
RF_MDS,guo,0.720323741007194
SVM_MDS,guo,0.615454545454545
RF_node2vec,guo,0.705772811918063
SVM_node2vec,guo,0.606147934678194
RF_PCA,guo,0.704385964912281
SVM_PCA,guo,0.513328776486671
degree_cons,huang,0.972527472527472
degree_hf,huang,0.959807073954984
RF_MDS,huang,0.972140762463343
SVM_MDS,huang,0.959580838323353
RF_node2vec,huang,0.962462462462462
SVM_node2vec,huang,0.790604026845638
RF_PCA,huang,0.979010494752624
SVM_PCA,huang,0.690036900369004
degree_cons,pan,0.976199690402477
degree_hf,pan,0.969786936779602
RF_MDS,pan,0.982870071105365
SVM_MDS,pan,0.781827604076697
RF_node2vec,pan,0.980901077375122
SVM_node2vec,pan,0.469673405909798
RF_PCA,pan,0.982171799027553
SVM_PCA,pan,0.415579331941545
degree_cons,richoux-regular,0.715755143000502
degree_hf,richoux-regular,0.759855635757912
RF_MDS,richoux-regular,0.882801054790507
SVM_MDS,richoux-regular,0.6356282581341
RF_node2vec,richoux-regular,0.866167664670659
SVM_node2vec,richoux-regular,0.481647102664431
RF_PCA,richoux-regular,0.887020648967552
SVM_PCA,richoux-regular,0.496458467482292
degree_cons,richoux-strict,0.629411764705882
degree_hf,richoux-strict,0.705479452054795
RF_MDS,richoux-strict,0.851612903225806
SVM_MDS,richoux-strict,0.580392156862745
RF_node2vec,richoux-strict,0.831395348837209
SVM_node2vec,richoux-strict,0.464601769911504
RF_PCA,richoux-strict,0.854545454545455
SVM_PCA,richoux-strict,0.477272727272727
DeepFE,dscript,0.8604
DeepFE,du,0.904
DeepFE,guo,0.9082
DeepFE,huang,0.9894
DeepFE,pan,0.9894
DeepFE,richoux-regular,0.849
DeepFE,richoux-strict,0.7917
deepPPI_FC,dscript,0.8115
deepPPI_FC,du,0.9045
deepPPI_FC,guo,0.6414
deepPPI_FC,huang,0.968
deepPPI_FC,pan,0.9886
deepPPI_FC,richoux-regular,0.8156
deepPPI_FC,richoux-strict,0.8398
deepPPI_LSTM,dscript,0.8487
deepPPI_LSTM,du,0.8993
deepPPI_LSTM,guo,0.9371
deepPPI_LSTM,huang,0.9774
deepPPI_LSTM,pan,0.865
deepPPI_LSTM,richoux-regular,0.8385
deepPPI_LSTM,richoux-strict,0.8085
PIPR,dscript,0.858
PIPR,du,0.9056
PIPR,guo,0.9677
PIPR,huang,0.9696
PIPR,pan,0.9862
PIPR,richoux-regular,0.8735
PIPR,richoux-strict,0.8519
SPRINT,du,0.7345
SPRINT,guo,0.6252
SPRINT,huang,0.7497
SPRINT,pan,0.8917
SPRINT,richoux-regular,0.9871
SPRINT,richoux-strict,0.8088
SPRINT,dscript,0.7754
D-SCRIPT,du,0.9091
D-SCRIPT,guo,0.7459
D-SCRIPT,huang,0.9623
D-SCRIPT,pan,0.9083
D-SCRIPT,richoux-regular,0.7956
D-SCRIPT,richoux-strict,0.2667
D-SCRIPT,dscript,0.7259
Topsy_Turvy,du,0.8942
Topsy_Turvy,guo,0.636
Topsy_Turvy,huang,0.8873
Topsy_Turvy,pan,0.8736
Topsy_Turvy,richoux-regular,0.8935
Topsy_Turvy,richoux-strict,0.5714
Topsy_Turvy,dscript,0.4692
