Model,Dataset,AUC,Partition
RF_MDS,dscript,0.5,0->1
RF_MDS,dscript,0.718726978046265,both->0
RF_MDS,dscript,0.765643084917917,both->1
SVM_MDS,dscript,0.49734262430613,0->1
SVM_MDS,dscript,0.612321349639016,both->0
SVM_MDS,dscript,0.635071453879769,both->1
RF_node2vec,dscript,0.500041881057796,0->1
RF_node2vec,dscript,0.616060114925593,both->0
RF_node2vec,dscript,0.731596266602848,both->1
SVM_node2vec,dscript,0.560799329903075,0->1
SVM_node2vec,dscript,0.560520111978783,both->0
SVM_node2vec,dscript,0.561020701208568,both->1
RF_PCA,dscript,0.5,0->1
RF_PCA,dscript,0.608615735965817,both->0
RF_PCA,dscript,0.722711704263612,both->1
SVM_PCA,dscript,0.597307192630212,0->1
SVM_PCA,dscript,0.544025342566672,both->0
SVM_PCA,dscript,0.605456478091414,both->1
RF_MDS,du,0.499586947542338,0->1
RF_MDS,du,0.864666850981476,both->0
RF_MDS,du,0.868855844692276,both->1
SVM_MDS,du,0.50185873605948,0->1
SVM_MDS,du,0.71032623721316,both->0
SVM_MDS,du,0.727798430400661,both->1
RF_node2vec,du,0.502398604448321,0->1
RF_node2vec,du,0.867846281448714,both->0
RF_node2vec,du,0.868730920191888,both->1
SVM_node2vec,du,0.536197121674662,0->1
SVM_node2vec,du,0.668025988388167,both->0
SVM_node2vec,du,0.69755778456171,both->1
RF_PCA,du,0.49607600165221,0->1
RF_PCA,du,0.868537461985071,both->0
RF_PCA,du,0.872573316811235,both->1
SVM_PCA,du,0.458488228004957,0->1
SVM_PCA,du,0.437586397567044,both->0
SVM_PCA,du,0.463651383725733,both->1
RF_MDS,guo,0.494773519163763,0->1
RF_MDS,guo,0.874784482758621,both->0
RF_MDS,guo,0.896051103368177,both->1
SVM_MDS,guo,0.506968641114983,0->1
SVM_MDS,guo,0.779741379310345,both->0
SVM_MDS,guo,0.840301974448316,both->1
RF_node2vec,guo,0.516225961538462,0->1
RF_node2vec,guo,0.868965517241379,both->0
RF_node2vec,guo,0.899038461538462,both->1
