Model,Dataset,Accuracy,Partition
RF_MDS,du,0.493858534519272,0->1
RF_MDS,du,0.868827742178666,both->0
RF_MDS,du,0.853663701821262,both->1
SVM_MDS,du,0.509741634900466,0->1
SVM_MDS,du,0.844955396406584,both->0
SVM_MDS,du,0.864887759423973,both->1
RF_node2vec,du,0.501796945193172,0->1
RF_node2vec,du,0.86870209825355,both->0
RF_node2vec,du,0.845911949685535,both->1
SVM_node2vec,du,0.512578616352201,0->1
SVM_node2vec,du,0.805880135695439,both->0
SVM_node2vec,du,0.776504941599281,both->1
RF_PCA,du,0.507200338839475,0->1
RF_PCA,du,0.864744314612389,both->0
RF_PCA,du,0.852604828462516,both->1
SVM_PCA,du,0.524354087251165,0->1
SVM_PCA,du,0.7041085563513,both->0
SVM_PCA,du,0.635112240576027,both->1
RF_MDS,guo,0.506598240469208,0->1
RF_MDS,guo,0.779105496756572,both->0
RF_MDS,guo,0.910557184750733,both->1
SVM_MDS,guo,0.49266862170088,0->1
SVM_MDS,guo,0.696483441447593,both->0
SVM_MDS,guo,0.80058651026393,both->1
RF_node2vec,guo,0.551829268292683,0->1
RF_node2vec,guo,0.778934790030727,both->0
RF_node2vec,guo,0.903201219512195,both->1
SVM_node2vec,guo,0.579268292682927,0->1
SVM_node2vec,guo,0.683509730283373,both->0
SVM_node2vec,guo,0.76219512195122,both->1
RF_PCA,guo,0.502932551319648,0->1
RF_PCA,guo,0.782519631273472,both->0
RF_PCA,guo,0.902492668621701,both->1
SVM_PCA,guo,0.522727272727273,0->1
SVM_PCA,guo,0.641345168999659,both->0
SVM_PCA,guo,0.679618768328446,both->1
RF_MDS,huang,0.505347593582888,0->1
RF_MDS,huang,0.831981981981982,both->0
RF_MDS,huang,0.966577540106952,both->1
SVM_MDS,huang,0.526069518716578,0->1
SVM_MDS,huang,0.796846846846847,both->0
SVM_MDS,huang,0.871657754010695,both->1
RF_node2vec,huang,0.554570259208731,0->1
RF_node2vec,huang,0.813963963963964,both->0
RF_node2vec,huang,0.907912687585266,both->1
SVM_node2vec,huang,0.550477489768077,0->1
SVM_node2vec,huang,0.669369369369369,both->0
SVM_node2vec,huang,0.633697135061392,both->1
RF_PCA,huang,0.528074866310161,0->1
RF_PCA,huang,0.828828828828829,both->0
RF_PCA,huang,0.889705882352941,both->1
SVM_PCA,huang,0.528074866310161,0->1
SVM_PCA,huang,0.675675675675676,both->0
SVM_PCA,huang,0.578877005347594,both->1
RF_MDS,pan,0.490750935917199,0->1
RF_MDS,pan,0.811787980080497,both->0
RF_MDS,pan,0.973133670997578,both->1
SVM_MDS,pan,0.494164280995376,0->1
SVM_MDS,pan,0.812538372330991,both->0
SVM_MDS,pan,0.957388240475666,both->1
RF_node2vec,pan,0.526672593909758,0->1
RF_node2vec,pan,0.773859062691862,both->0
RF_node2vec,pan,0.946099133140698,both->1
SVM_node2vec,pan,0.589464325405646,0->1
