Model,Dataset,Accuracy,Partition
RF_MDS,dscript,0.5,0->1
RF_MDS,dscript,0.71831810814793,both->0
RF_MDS,dscript,0.765702137711114,both->1
SVM_MDS,dscript,0.511143262076296,0->1
SVM_MDS,dscript,0.598460291734198,both->0
SVM_MDS,dscript,0.651913310499587,both->1
RF_PCA,dscript,0.5,0->1
RF_PCA,dscript,0.607838514807721,both->0
RF_PCA,dscript,0.72274123066021,both->1
SVM_PCA,dscript,0.597513877406401,0->1
SVM_PCA,dscript,0.498500810372772,both->0
SVM_PCA,dscript,0.557411125546238,both->1
RF_node2vec,dscript,0.499892305851382,0->1
RF_node2vec,dscript,0.618752762634448,both->0
RF_node2vec,dscript,0.731769773842288,both->1
SVM_node2vec,dscript,0.568930238123729,0->1
SVM_node2vec,dscript,0.559083542065714,both->0
SVM_node2vec,dscript,0.558274500418811,both->1
RF_MDS,du,0.498554316398183,0->1
RF_MDS,du,0.863837434337849,both->0
RF_MDS,du,0.87154068566708,both->1
SVM_MDS,du,0.501652209830649,0->1
SVM_MDS,du,0.711363008017694,both->0
SVM_MDS,du,0.741429161503511,both->1
RF_PCA,du,0.500206526228831,0->1
RF_PCA,du,0.864805087088748,both->0
RF_PCA,du,0.871747211895911,both->1
SVM_PCA,du,0.45910780669145,0->1
SVM_PCA,du,0.437793751727951,both->0
SVM_PCA,du,0.466542750929368,both->1
RF_node2vec,du,0.50087221979939,0->1
RF_node2vec,du,0.864321260713298,both->0
RF_node2vec,du,0.865242040994331,both->1
SVM_node2vec,du,0.54797208896642,0->1
SVM_node2vec,du,0.696226154271496,both->0
SVM_node2vec,du,0.684910597470563,both->1
RF_MDS,guo,0.495354239256678,0->1
RF_MDS,guo,0.870689655172414,both->0
RF_MDS,guo,0.900696864111498,both->1
SVM_MDS,guo,0.493031358885017,0->1
SVM_MDS,guo,0.783189655172414,both->0
SVM_MDS,guo,0.83623693379791,both->1
RF_PCA,guo,0.532520325203252,0->1
RF_PCA,guo,0.864655172413793,both->0
RF_PCA,guo,0.891405342624855,both->1
SVM_PCA,guo,0.396631823461092,0->1
SVM_PCA,guo,0.500215517241379,both->0
SVM_PCA,guo,0.471544715447155,both->1
RF_node2vec,guo,0.533052884615385,0->1
RF_node2vec,guo,0.869612068965517,both->0
RF_node2vec,guo,0.895432692307692,both->1
SVM_node2vec,guo,0.571514423076923,0->1
SVM_node2vec,guo,0.78426724137931,both->0
SVM_node2vec,guo,0.802884615384615,both->1
RF_MDS,huang,0.495091164095372,0->1
RF_MDS,huang,0.953526970954357,both->0
RF_MDS,huang,0.920757363253857,both->1
SVM_MDS,huang,0.496493688639551,0->1
SVM_MDS,huang,0.848547717842324,both->0
SVM_MDS,huang,0.863955119214586,both->1
RF_PCA,huang,0.555399719495091,0->1
RF_PCA,huang,0.954771784232365,both->0
RF_PCA,huang,0.887798036465638,both->1
SVM_PCA,huang,0.561009817671809,0->1
SVM_PCA,huang,0.735269709543569,both->0
SVM_PCA,huang,0.700561009817672,both->1
RF_node2vec,huang,0.528057553956835,0->1
RF_node2vec,huang,0.941078838174274,both->0
RF_node2vec,huang,0.89136690647482,both->1
SVM_node2vec,huang,0.561151079136691,0->1
SVM_node2vec,huang,0.749792531120332,both->0
SVM_node2vec,huang,0.776258992805755,both->1
RF_MDS,pan,0.500218579234973,0->1
RF_MDS,pan,0.95841343073177,both->0
RF_MDS,pan,0.836065573770492,both->1
SVM_MDS,pan,0.485245901639344,0->1
SVM_MDS,pan,0.771754453415353,both->0
SVM_MDS,pan,0.772896174863388,both->1
RF_PCA,pan,0.528524590163934,0->1
RF_PCA,pan,0.958605664488017,both->0
RF_PCA,pan,0.833879781420765,both->1
SVM_PCA,pan,0.423169398907104,0->1
SVM_PCA,pan,0.408496732026144,both->0
SVM_PCA,pan,0.377595628415301,both->1
RF_node2vec,pan,0.514314027747192,0->1
RF_node2vec,pan,0.948417275406895,both->0
RF_node2vec,pan,0.827791235410703,both->1
SVM_node2vec,pan,0.421162739484695,0->1
SVM_node2vec,pan,0.472927079328463,both->0
SVM_node2vec,pan,0.439881083461793,both->1
RF_MDS,richoux,0.499129088445907,0->1
RF_MDS,richoux,0.781753040318918,both->0
RF_MDS,richoux,0.817398877491775,both->1
SVM_MDS,richoux,0.51770853493323,0->1
SVM_MDS,richoux,0.583892617449665,both->0
SVM_MDS,richoux,0.646409909038127,both->1
RF_PCA,richoux,0.503386878265918,0->1
RF_PCA,richoux,0.771357925013877,both->0
RF_PCA,richoux,0.785949293593962,both->1
SVM_PCA,richoux,0.505419005225469,0->1
SVM_PCA,richoux,0.477140838673866,both->0
SVM_PCA,richoux,0.515192568221405,both->1
RF_node2vec,richoux,0.499590079934413,0->1
RF_node2vec,richoux,0.754074784276127,both->0
RF_node2vec,richoux,0.767165402746464,both->1
SVM_node2vec,richoux,0.529616724738676,0->1
SVM_node2vec,richoux,0.4720694353333,both->0
SVM_node2vec,richoux,0.540172166427547,both->1
degree_cons,dscript,0.5,0->1
degree_cons,dscript,0.5,both->0
degree_cons,dscript,0.5,both->1
degree_cons,du,0.499896672866295,0->1
degree_hf,du,0.499896672866295,0->1
degree_cons,du,0.851315789473684,both->0
degree_hf,du,0.86606648199446,both->0
degree_cons,du,0.781566439346973,both->1
degree_hf,du,0.842116139698285,both->1
degree_cons,guo,0.5,0->1
degree_hf,guo,0.5,0->1
degree_cons,guo,0.74563483509377,both->0
degree_hf,guo,0.778400517352878,both->0
degree_cons,guo,0.746225319396051,both->1
degree_hf,guo,0.79849012775842,both->1
degree_cons,huang,0.5,0->1
degree_hf,huang,0.5,0->1
degree_cons,huang,0.831120331950208,both->0
degree_hf,huang,0.897095435684647,both->0
degree_cons,huang,0.902524544179523,both->1
degree_hf,huang,0.899719495091164,both->1
degree_cons,pan,0.499890662584737,0->1
degree_hf,pan,0.499890662584737,0->1
degree_cons,pan,0.858091419406576,both->0
degree_hf,pan,0.897963111467522,both->0
degree_cons,pan,0.814891755958889,both->1
degree_hf,pan,0.823857424010497,both->1
degree_cons,richoux,0.5,0->1
degree_hf,richoux,0.5,0->1
degree_cons,richoux,0.672325004768262,both->0
degree_hf,richoux,0.725205035285142,both->0
degree_cons,richoux,0.713886820551005,both->1
degree_hf,richoux,0.768987341772152,both->1
DeepFE,dscript,0.5343,0->1
DeepFE,dscript,0.6772,both->0
DeepFE,dscript,0.8035,both->1
DeepFE,du,0.5004,0->1
DeepFE,du,0.5,both->0
DeepFE,du,0.5,both->1
DeepFE,guo,0.5203,0->1
DeepFE,guo,0.5737,both->0
DeepFE,guo,0.5134,both->1
DeepFE,huang,0.5694,0->1
DeepFE,huang,0.5286,both->0
DeepFE,huang,0.5014,both->1
DeepFE,pan,0.5009,0->1
DeepFE,pan,0.5198,both->0
DeepFE,pan,0.5966,both->1
DeepFE,richoux,0.4919,0->1
DeepFE,richoux,0.501,both->0
DeepFE,richoux,0.5,both->1
deepPPI_FC,dscript,0.5,0->1
deepPPI_FC,dscript,0.54405,both->0
deepPPI_FC,dscript,0.63,both->1
deepPPI_FC,du,0.5252,0->1
deepPPI_FC,du,0.7598,both->0
deepPPI_FC,du,0.6925,both->1
deepPPI_FC,guo,0.494,0->1
deepPPI_FC,guo,0.6228,both->0
deepPPI_FC,guo,0.8201,both->1
deepPPI_FC,huang,0.4926,0->1
deepPPI_FC,huang,0.6583,both->0
deepPPI_FC,huang,0.6964,both->1
deepPPI_FC,pan,0.4725,0->1
deepPPI_FC,pan,0.7361,both->0
deepPPI_FC,pan,0.8436,both->1
deepPPI_FC,richoux,0.5031,0->1
deepPPI_FC,richoux,0.7534,both->0
deepPPI_FC,richoux,0.8096,both->1
deepPPI_LSTM,dscript,0.5,0->1
deepPPI_LSTM,dscript,0.5,both->0
deepPPI_LSTM,dscript,0.5,both->1
deepPPI_LSTM,du,0.5015,0->1
deepPPI_LSTM,du,0.5049,both->0
deepPPI_LSTM,du,0.5015,both->1
deepPPI_LSTM,guo,0.5054,0->1
deepPPI_LSTM,guo,0.5034,both->0
deepPPI_LSTM,guo,0.5054,both->1
deepPPI_LSTM,huang,0.4849,0->1
deepPPI_LSTM,huang,0.4758,both->0
deepPPI_LSTM,huang,0.4849,both->1
deepPPI_LSTM,pan,0.4726,0->1
deepPPI_LSTM,pan,0.4755,both->0
deepPPI_LSTM,pan,0.4726,both->1
deepPPI_LSTM,richoux,0.4994,0->1
deepPPI_LSTM,richoux,0.5004,both->0
deepPPI_LSTM,richoux,0.5,both->1
PIPR,dscript,0.5,0->1
PIPR,dscript,0.52285,both->0
PIPR,dscript,0.6062,both->1
PIPR,du,0.5211,0->1
PIPR,du,0.7643,both->0
PIPR,du,0.7794,both->1
PIPR,guo,0.5494,0->1
PIPR,guo,0.5978,both->0
PIPR,guo,0.6887,both->1
PIPR,huang,0.5147,0->1
PIPR,huang,0.522,both->0
PIPR,huang,0.5,both->1
PIPR,pan,0.5162,0->1
PIPR,pan,0.9098,both->0
PIPR,pan,0.8101,both->1
PIPR,richoux,0.5343,0->1
PIPR,richoux,0.7656,both->0
PIPR,richoux,0.8061,both->1
SPRINT,du,0.6996,both->0
SPRINT,du,0.7194,both->1
SPRINT,du,0.5384,0->1
SPRINT,guo,0.6836,both->0
SPRINT,guo,0.6792,both->1
SPRINT,guo,0.5186,0->1
SPRINT,huang,0.6878,both->0
SPRINT,huang,0.6223,both->1
