Model,Dataset,MCC,Partition
RF_MDS,du,0,0->1
RF_MDS,du,0.742792033552711,both->0
RF_MDS,du,0.710490052075137,both->1
SVM_MDS,du,0.0245151853029039,0->1
SVM_MDS,du,0.689960984962268,both->0
SVM_MDS,du,0.731136668979165,both->1
RF_node2vec,du,0.00966435341356503,0->1
RF_node2vec,du,0.73865517308622,both->0
RF_node2vec,du,0.703733852126704,both->1
SVM_node2vec,du,0.0239906281822203,0->1
SVM_node2vec,du,0.612415682410069,both->0
SVM_node2vec,du,0.557183535803601,both->1
RF_PCA,du,0.00333190832172469,0->1
RF_PCA,du,0.745018567664657,both->0
RF_PCA,du,0.707080796873457,both->1
SVM_PCA,du,0.0558927390915779,0->1
SVM_PCA,du,0.422825403155854,both->0
SVM_PCA,du,0.315158928194788,both->1
RF_MDS,guo,0.0108845480292072,0->1
RF_MDS,guo,0.576847509850324,both->0
RF_MDS,guo,0.83701553475959,both->1
SVM_MDS,guo,-0.0146630087999742,0->1
SVM_MDS,guo,0.39398080386918,both->0
SVM_MDS,guo,0.608011548929168,both->1
RF_node2vec,guo,0.0133609746064113,0->1
RF_node2vec,guo,0.58027454412692,both->0
RF_node2vec,guo,0.831820748979165,both->1
SVM_node2vec,guo,0.190564424519793,0->1
SVM_node2vec,guo,0.369039259791219,both->0
SVM_node2vec,guo,0.527760182043085,both->1
RF_PCA,guo,0.0202590787496015,0->1
RF_PCA,guo,0.557982351792864,both->0
RF_PCA,guo,0.819483589751501,both->1
SVM_PCA,guo,0.0574433700193567,0->1
SVM_PCA,guo,0.295180281589083,both->0
SVM_PCA,guo,0.415627526442539,both->1
RF_MDS,huang,-0.0107964157442637,0->1
RF_MDS,huang,0.695943163706978,both->0
RF_MDS,huang,0.940142917973899,both->1
SVM_MDS,huang,0.0531187770425585,0->1
SVM_MDS,huang,0.59737260171588,both->0
SVM_MDS,huang,0.743637220007031,both->1
RF_node2vec,huang,0.128340592034739,0->1
RF_node2vec,huang,0.648599857308047,both->0
RF_node2vec,huang,0.826860672814882,both->1
SVM_node2vec,huang,0.105192015710659,0->1
SVM_node2vec,huang,0.337841265349597,both->0
SVM_node2vec,huang,0.277893590906753,both->1
RF_PCA,huang,0.0813931124985068,0->1
RF_PCA,huang,0.67893806498867,both->0
RF_PCA,huang,0.783290991946778,both->1
SVM_PCA,huang,0.0923873844401125,0->1
SVM_PCA,huang,0.351360476975307,both->0
SVM_PCA,huang,0.290390341415821,both->1
RF_MDS,pan,0.0262142896451191,0->1
RF_MDS,pan,0.66057148195908,both->0
RF_MDS,pan,0.950696160956182,both->1
SVM_MDS,pan,-0.0117276313644785,0->1
SVM_MDS,pan,0.645567679075614,both->0
SVM_MDS,pan,0.916901732601099,both->1
RF_node2vec,pan,0.123248542458661,0->1
RF_node2vec,pan,0.631334320815941,both->0
RF_node2vec,pan,0.906360510359795,both->1
SVM_node2vec,pan,0.262586286739475,0->1
SVM_node2vec,pan,0.43437199749745,both->0
SVM_node2vec,pan,0.452641878102909,both->1
RF_PCA,pan,0.174512319600054,0->1
RF_PCA,pan,0.664610426935105,both->0
RF_PCA,pan,0.92151532528816,both->1
SVM_PCA,pan,0.0848783489908413,0->1
SVM_PCA,pan,0.432080893932011,both->0
SVM_PCA,pan,0.467937924177964,both->1
RF_MDS,richoux,-0.0109930270001778,0->1
RF_MDS,richoux,0.594523928335364,both->0
RF_MDS,richoux,0.638441210828279,both->1
SVM_MDS,richoux,0.00580267824619029,0->1
SVM_MDS,richoux,0.52818556114068,both->0
SVM_MDS,richoux,0.586960846203128,both->1
RF_node2vec,richoux,0.0707340314219052,0->1
RF_node2vec,richoux,0.579339086449136,both->0
RF_node2vec,richoux,0.553735214260917,both->1
SVM_node2vec,richoux,0.0849448159137746,0->1
SVM_node2vec,richoux,0.388003094415528,both->0
SVM_node2vec,richoux,0.311246378196941,both->1
RF_PCA,richoux,0.0736240608823619,0->1
RF_PCA,richoux,0.579657038027143,both->0
RF_PCA,richoux,0.567882495636008,both->1
SVM_PCA,richoux,0.0261624767569117,0->1
SVM_PCA,richoux,0.342476056991881,both->0
SVM_PCA,richoux,0.273266577879215,both->1
DeepFE,du,0.0675,0->1
DeepFE,du,0.7532,both->0
DeepFE,du,0.7311,both->1
DeepFE,guo,0.0819,0->1
DeepFE,guo,0.5859,both->0
DeepFE,guo,0.7775,both->1
DeepFE,huang,0.0333,0->1
DeepFE,huang,0.6875,both->0
DeepFE,huang,0.87,both->1
DeepFE,pan,0.0014,0->1
DeepFE,pan,0.6691,both->0
DeepFE,pan,0.9326,both->1
DeepFE,richoux,0.0734,0->1
DeepFE,richoux,0.5524,both->0
DeepFE,richoux,0.6096,both->1
deepPPI_FC,du,0.0466,0->1
deepPPI_FC,du,0.7597,both->0
deepPPI_FC,du,0.7583,both->1
deepPPI_FC,guo,0.0529,0->1
deepPPI_FC,guo,0.5145,both->0
deepPPI_FC,guo,0.6827,both->1
deepPPI_FC,huang,-0.0414,0->1
deepPPI_FC,huang,0.6809,both->0
deepPPI_FC,huang,0.6141,both->1
deepPPI_FC,pan,0.046,0->1
deepPPI_FC,pan,0.6862,both->0
deepPPI_FC,pan,0.9578,both->1
deepPPI_FC,richoux,0.0901,0->1
deepPPI_FC,richoux,0.5757,both->0
deepPPI_FC,richoux,0.6354,both->1
deepPPI_LSTM,du,0.0547,0->1
deepPPI_LSTM,du,0.7333,both->0
deepPPI_LSTM,du,0.6822,both->1
deepPPI_LSTM,guo,0.0777,0->1
deepPPI_LSTM,guo,0.1429,both->0
deepPPI_LSTM,guo,0.0271,both->1
deepPPI_LSTM,huang,-0.008,0->1
deepPPI_LSTM,huang,0.1497,both->0
deepPPI_LSTM,huang,,both->1
deepPPI_LSTM,pan,0.0456,0->1
deepPPI_LSTM,pan,0.6378,both->0
deepPPI_LSTM,pan,0.8578,both->1
deepPPI_LSTM,richoux,0.0741,0->1
deepPPI_LSTM,richoux,0.5507,both->0
deepPPI_LSTM,richoux,0.6004,both->1
PIPR,du,-0.0194,0->1
PIPR,du,0.6768,both->0
PIPR,du,0.7127,both->1
PIPR,guo,0.1218,0->1
PIPR,guo,0.3563,both->0
PIPR,guo,0.659,both->1
PIPR,huang,0.0347,0->1
PIPR,huang,0.396,both->0
PIPR,huang,0.7995,both->1
PIPR,pan,-0.0072,0->1
PIPR,pan,0.6472,both->0
PIPR,pan,0.9102,both->1
PIPR,richoux,0.1288,0->1
PIPR,richoux,0.5673,both->0
PIPR,richoux,0.6464,both->1
SPRINT,du,0.6979,both->0
SPRINT,du,0.7199,both->1
SPRINT,du,0.5408,0->1
SPRINT,guo,0.6871,both->0
SPRINT,guo,0.6688,both->1
SPRINT,guo,0.5165,0->1
SPRINT,huang,0.6726,both->0
SPRINT,huang,0.6232,both->1
SPRINT,huang,0.497,0->1
SPRINT,richoux,0.8022,both->0
SPRINT,richoux,0.7974,both->1
SPRINT,richoux,0.6098,0->1
SPRINT,pan,0.7404,both->0
SPRINT,pan,0.7443,both->1
SPRINT,pan,0.497,0->1
