Model,Dataset,MCC,Partition
RF_MDS,dscript,0,0->1
RF_MDS,dscript,0.511881883262028,both->0
RF_MDS,dscript,0.681893922167119,both->1
SVM_MDS,dscript,-0.00437635747905008,0->1
SVM_MDS,dscript,0.144356521369906,both->0
SVM_MDS,dscript,0.174531427359808,both->1
RF_node2vec,dscript,0.00365053023332377,0->1
RF_node2vec,dscript,0.427851852516364,both->0
RF_node2vec,dscript,0.624497712025226,both->1
SVM_node2vec,dscript,0.0704312308875127,0->1
SVM_node2vec,dscript,0.0716053892643915,both->0
SVM_node2vec,dscript,0.0701785301576762,both->1
RF_PCA,dscript,0,0->1
RF_PCA,dscript,0.406465755443921,both->0
RF_PCA,dscript,0.618901684177357,both->1
SVM_PCA,dscript,0.112205450464899,0->1
SVM_PCA,dscript,0.0516840808924991,both->0
SVM_PCA,dscript,0.123296374626549,both->1
RF_MDS,du,-0.00719741170035574,0->1
RF_MDS,du,0.730385036650516,both->0
RF_MDS,du,0.739602405893592,both->1
SVM_MDS,du,0.00445183733522175,0->1
SVM_MDS,du,0.430114385058817,both->0
SVM_MDS,du,0.465470252346188,both->1
RF_node2vec,du,0.0152122893326929,0->1
RF_node2vec,du,0.736252195364334,both->0
RF_node2vec,du,0.739693920099598,both->1
SVM_node2vec,du,0.0805806254200206,0->1
SVM_node2vec,du,0.336638941338409,both->0
SVM_node2vec,du,0.41425923242754,both->1
RF_PCA,du,-0.0151331213696722,0->1
RF_PCA,du,0.737544146220371,both->0
RF_PCA,du,0.747379455164826,both->1
SVM_PCA,du,-0.0873191926249023,0->1
SVM_PCA,du,-0.131335548962359,both->0
SVM_PCA,du,-0.0825081142340578,both->1
RF_MDS,guo,-0.022892168310883,0->1
RF_MDS,guo,0.750121125991722,both->0
RF_MDS,guo,0.792107015034494,both->1
SVM_MDS,guo,0.014162686429205,0->1
SVM_MDS,guo,0.559499598747597,both->0
SVM_MDS,guo,0.683200882443136,both->1
RF_node2vec,guo,0.0368182769068297,0->1
RF_node2vec,guo,0.737931308684396,both->0
RF_node2vec,guo,0.798529250860559,both->1
SVM_node2vec,guo,0.118105327905931,0->1
SVM_node2vec,guo,0.557048500886947,both->0
SVM_node2vec,guo,0.612443092130757,both->1
RF_PCA,guo,0.0247099867746695,0->1
RF_PCA,guo,0.735220449337709,both->0
