Model,Dataset,Recall,Partition
RF_MDS,dscript,0,0->1
RF_MDS,dscript,0.461986149992633,both->0
RF_MDS,dscript,0.533364828156372,both->1
SVM_MDS,dscript,0,0->1
SVM_MDS,dscript,0.242522469426845,both->0
SVM_MDS,dscript,0.426951694815165,both->1
RF_node2vec,dscript,0,0->1
RF_node2vec,dscript,0.225209960218064,both->0
RF_node2vec,dscript,0.464042120378126,both->1
SVM_node2vec,dscript,0,0->1
SVM_node2vec,dscript,0.000221010755856785,both->0
SVM_node2vec,dscript,0.0835227952614575,both->1
RF_PCA,dscript,0,0->1
RF_PCA,dscript,0.220789745100928,both->0
RF_PCA,dscript,0.448919333884493,both->1
SVM_PCA,dscript,0,0->1
SVM_PCA,dscript,0.0107558567850302,both->0
SVM_PCA,dscript,0.00436990669658675,both->1
RF_MDS,du,0.992565055762082,0->1
RF_MDS,du,0.889134641968482,both->0
RF_MDS,du,0.835605121850475,both->1
SVM_MDS,du,0.800495662949195,0->1
SVM_MDS,du,0.863284489908764,both->0
SVM_MDS,du,0.836844279223461,both->1
RF_node2vec,du,0.972525076319232,0->1
RF_node2vec,du,0.887199336466685,both->0
RF_node2vec,du,0.833406018316616,both->1
SVM_node2vec,du,0.611862189271696,0->1
SVM_node2vec,du,0.794166436273155,both->0
SVM_node2vec,du,0.751853467073703,both->1
RF_PCA,du,0.941346551011979,0->1
RF_PCA,du,0.886231683715787,both->0
RF_PCA,du,0.840148698884758,both->1
SVM_PCA,du,0.376290788930194,0->1
SVM_PCA,du,0.546032623721316,both->0
SVM_PCA,du,0.391160677406031,both->1
RF_MDS,guo,0.930313588850174,0->1
RF_MDS,guo,0.89051724137931,both->0
RF_MDS,guo,0.897793263646922,both->1
SVM_MDS,guo,0.613240418118467,0->1
SVM_MDS,guo,0.762931034482759,both->0
SVM_MDS,guo,0.778164924506388,both->1
RF_node2vec,guo,0.783653846153846,0->1
RF_node2vec,guo,0.874568965517242,both->0
RF_node2vec,guo,0.879807692307692,both->1
SVM_node2vec,guo,0.412259615384615,0->1
SVM_node2vec,guo,0.711637931034483,both->0
SVM_node2vec,guo,0.655048076923077,both->1
RF_PCA,guo,0.797909407665505,0->1
RF_PCA,guo,0.856465517241379,both->0
RF_PCA,guo,0.885017421602787,both->1
SVM_PCA,guo,0.449477351916376,0->1
SVM_PCA,guo,0.403448275862069,both->0
SVM_PCA,guo,0.526132404181185,both->1
RF_MDS,huang,0.991584852734923,0->1
RF_MDS,huang,0.946887966804979,both->0
RF_MDS,huang,0.959326788218794,both->1
SVM_MDS,huang,0.757363253856943,0->1
SVM_MDS,huang,0.834854771784232,both->0
SVM_MDS,huang,0.856942496493689,both->1
RF_node2vec,huang,0.823021582733813,0->1
RF_node2vec,huang,0.938589211618257,both->0
RF_node2vec,huang,0.903597122302158,both->1
SVM_node2vec,huang,0.315107913669065,0->1
