Model,Dataset,Specificity,Partition
RF_MDS,dscript,1,0->1
RF_MDS,dscript,0.974775305731546,both->0
RF_MDS,dscript,0.994992323136884,both->1
SVM_MDS,dscript,1,0->1
SVM_MDS,dscript,0.993907470163548,both->0
SVM_MDS,dscript,0.995878115034841,both->1
RF_node2vec,dscript,0.999868373818356,0->1
RF_node2vec,dscript,0.996132311772506,both->0
RF_node2vec,dscript,0.99448366638746,both->1
SVM_node2vec,dscript,0.999988033983487,0->1
SVM_node2vec,dscript,1,both->0
SVM_node2vec,dscript,0.985724542299868,both->1
RF_PCA,dscript,1,0->1
RF_PCA,dscript,0.995366141152203,both->0
RF_PCA,dscript,0.995346639896067,both->1
SVM_PCA,dscript,1,0->1
SVM_PCA,dscript,0.998747605716811,both->0
SVM_PCA,dscript,0.999574819888981,both->1
RF_MDS,du,0.00619578686493185,0->1
RF_MDS,du,0.840199059994471,both->0
RF_MDS,du,0.90458488228005,both->1
SVM_MDS,du,0.189178025609252,0->1
SVM_MDS,du,0.835499032347249,both->0
SVM_MDS,du,0.901280462618753,both->1
RF_node2vec,du,0.0296554731792412,0->1
RF_node2vec,du,0.840613768316284,both->0
RF_node2vec,du,0.911469690361971,both->1
SVM_node2vec,du,0.505015263846489,0->1
SVM_node2vec,du,0.818357755045618,both->0
SVM_node2vec,du,0.864369821194941,both->1
RF_PCA,du,0.0590665014456836,0->1
RF_PCA,du,0.847387337572574,both->0
RF_PCA,du,0.909541511771995,both->1
SVM_PCA,du,0.762081784386617,0->1
SVM_PCA,du,0.823334254907382,both->0
SVM_PCA,du,0.899628252788104,both->1
RF_MDS,guo,0.0464576074332172,0->1
RF_MDS,guo,0.856034482758621,both->0
RF_MDS,guo,0.898954703832753,both->1
SVM_MDS,guo,0.411149825783972,0->1
SVM_MDS,guo,0.759051724137931,both->0
SVM_MDS,guo,0.876887340301975,both->1
RF_node2vec,guo,0.241586538461538,0->1
RF_node2vec,guo,0.871120689655172,both->0
RF_node2vec,guo,0.919471153846154,both->1
SVM_node2vec,guo,0.658653846153846,0->1
SVM_node2vec,guo,0.772844827586207,both->0
SVM_node2vec,guo,0.908653846153846,both->1
RF_PCA,guo,0.259001161440186,0->1
RF_PCA,guo,0.880603448275862,both->0
