Model,Dataset,Specificity,Partition
RF_MDS,dscript,1,0->1
RF_MDS,dscript,0.97524679534404,both->0
RF_MDS,dscript,0.995323018778788,both->1
SVM_MDS,dscript,0.857446557222157,0->1
SVM_MDS,dscript,0.743723294533667,both->0
SVM_MDS,dscript,0.752604228179993,both->1
RF_node2vec,dscript,0.999964101950461,0->1
RF_node2vec,dscript,0.996154412848092,both->0
RF_node2vec,dscript,0.994364006222329,both->1
SVM_node2vec,dscript,0.571520880698815,0->1
SVM_node2vec,dscript,0.628701930160601,both->0
SVM_node2vec,dscript,0.502800047864066,both->1
RF_PCA,dscript,1,0->1
RF_PCA,dscript,0.995557683807279,both->0
RF_PCA,dscript,0.995677335537971,both->1
SVM_PCA,dscript,0.554836423762844,0->1
SVM_PCA,dscript,0.608678355679976,both->0
SVM_PCA,dscript,0.428817763080194,both->1
RF_MDS,du,0.00289136720363486,0->1
RF_MDS,du,0.83784904617086,both->0
RF_MDS,du,0.90458488228005,both->1
SVM_MDS,du,0.226765799256506,0->1
SVM_MDS,du,0.814625380149295,both->0
SVM_MDS,du,0.830235439900867,both->1
RF_node2vec,du,0.0279110335804623,0->1
RF_node2vec,du,0.848354990323472,both->0
RF_node2vec,du,0.907544701264719,both->1
SVM_node2vec,du,0.316615787178369,0->1
SVM_node2vec,du,0.697539397290572,both->0
SVM_node2vec,du,0.847797645006542,both->1
RF_PCA,du,0.0685667079719124,0->1
RF_PCA,du,0.850705004147083,both->0
RF_PCA,du,0.911193721602644,both->1
SVM_PCA,du,0.303593556381661,0->1
SVM_PCA,du,0.282139894940559,both->0
SVM_PCA,du,0.227178851714168,both->1
RF_MDS,guo,0.0499419279907085,0->1
RF_MDS,guo,0.855603448275862,both->0
RF_MDS,guo,0.894308943089431,both->1
SVM_MDS,guo,0.418118466898955,0->1
SVM_MDS,guo,0.783620689655172,both->0
SVM_MDS,guo,0.883855981416957,both->1
RF_node2vec,guo,0.280048076923077,0->1
RF_node2vec,guo,0.869396551724138,both->0
RF_node2vec,guo,0.915865384615385,both->1
SVM_node2vec,guo,0.638221153846154,0->1
SVM_node2vec,guo,0.813793103448276,both->0
SVM_node2vec,guo,0.882211538461539,both->1
RF_PCA,guo,0.24390243902439,0->1
RF_PCA,guo,0.881896551724138,both->0
RF_PCA,guo,0.885017421602787,both->1
SVM_PCA,guo,0.37862950058072,0->1
SVM_PCA,guo,0.361206896551724,both->0
SVM_PCA,guo,0.220673635307782,both->1
RF_MDS,huang,0.00701262272089762,0->1
RF_MDS,huang,0.960995850622407,both->0
RF_MDS,huang,0.887798036465638,both->1
SVM_MDS,huang,0.237026647966339,0->1
SVM_MDS,huang,0.86804979253112,both->0
SVM_MDS,huang,0.892005610098177,both->1
RF_node2vec,huang,0.22158273381295,0->1
RF_node2vec,huang,0.941078838174274,both->0
RF_node2vec,huang,0.886330935251799,both->1
SVM_node2vec,huang,0.523741007194245,0->1
SVM_node2vec,huang,0.770954356846473,both->0
SVM_node2vec,huang,0.828776978417266,both->1
RF_PCA,huang,0.357643758765778,0->1
RF_PCA,huang,0.941078838174274,both->0
RF_PCA,huang,0.901823281907433,both->1
SVM_PCA,huang,0.664796633941094,0->1
SVM_PCA,huang,0.804979253112033,both->0
SVM_PCA,huang,0.928471248246844,both->1
RF_MDS,pan,0.000874316939890711,0->1
RF_MDS,pan,0.955465846469307,both->0
RF_MDS,pan,0.698142076502732,both->1
SVM_MDS,pan,0.282841530054645,0->1
SVM_MDS,pan,0.683006535947713,both->0
SVM_MDS,pan,0.703825136612022,both->1
RF_node2vec,pan,0.0891874036555825,0->1
RF_node2vec,pan,0.944892989875689,both->0
RF_node2vec,pan,0.696983043382515,both->1
SVM_node2vec,pan,0.580048447478529,0->1
SVM_node2vec,pan,0.631680123029604,both->0
SVM_node2vec,pan,0.449460471261837,both->1
RF_PCA,pan,0.0922404371584699,0->1
RF_PCA,pan,0.95277457388184,both->0
RF_PCA,pan,0.706666666666667,both->1
SVM_PCA,pan,0.475628415300547,0->1
SVM_PCA,pan,0.345508137895681,both->0
SVM_PCA,pan,0.253333333333333,both->1
RF_MDS,richoux,0.998838784594542,0->1
RF_MDS,richoux,0.898370086289549,both->0
RF_MDS,richoux,0.905554480356106,both->1
SVM_MDS,richoux,0.589123282368879,0->1
SVM_MDS,richoux,0.596255740021194,both->0
SVM_MDS,richoux,0.603251403135282,both->1
RF_node2vec,richoux,0.978274236523878,0->1
RF_node2vec,richoux,0.729626078619367,both->0
RF_node2vec,richoux,0.910432465669195,both->1
SVM_node2vec,richoux,0.423037507686001,0->1
SVM_node2vec,richoux,0.497603068072867,both->0
SVM_node2vec,richoux,0.486575117852019,both->1
RF_PCA,richoux,0.995355138378169,0->1
RF_PCA,richoux,0.821365494272594,both->0
RF_PCA,richoux,0.923359783239791,both->1
SVM_PCA,richoux,0.566673117863364,0->1
SVM_PCA,richoux,0.393752838472019,both->0
SVM_PCA,richoux,0.363847493710083,both->1
degree_cons,dscript,0,0->1
degree_cons,dscript,1,both->0
degree_cons,dscript,1,both->1
degree_cons,du,0,0->1
degree_hf,du,0,0->1
degree_cons,du,0.943367488230407,both->0
degree_hf,du,0.916782054832456,both->0
degree_cons,du,0.950413223140496,both->1
degree_hf,du,0.924793388429752,both->1
degree_cons,guo,0,0->1
degree_hf,guo,0,0->1
degree_cons,guo,0.917241379310345,both->0
degree_hf,guo,0.877155172413793,both->0
degree_cons,guo,0.944250871080139,both->1
degree_hf,guo,0.922183507549361,both->1
degree_cons,huang,0,0->1
degree_hf,huang,0,0->1
degree_cons,huang,0.989211618257261,both->0
degree_hf,huang,0.956846473029046,both->0
degree_cons,huang,0.91023842917251,both->1
degree_hf,huang,0.892005610098177,both->1
degree_cons,pan,0,0->1
degree_hf,pan,0,0->1
degree_cons,pan,0.970060264136428,both->0
degree_hf,pan,0.959994871137325,both->0
degree_cons,pan,0.74792304328815,both->1
degree_hf,pan,0.743550502842151,both->1
degree_cons,richoux,0,0->1
degree_hf,richoux,0,0->1
degree_cons,richoux,0.375071523936678,both->0
degree_hf,richoux,0.506103375929811,both->0
degree_cons,richoux,0.513402829486225,both->1
degree_hf,richoux,0.666790766939687,both->1
DeepFE,dscript,0.9821,0->1
DeepFE,dscript,0.9348,both->0
DeepFE,dscript,0.9895,both->1
DeepFE,du,8e-04,0->1
DeepFE,du,0,both->0
DeepFE,du,0,both->1
DeepFE,guo,0.1208,0->1
DeepFE,guo,0.2599,both->0
DeepFE,guo,0.0302,both->1
DeepFE,huang,0.7349,0->1
DeepFE,huang,0.2041,both->0
DeepFE,huang,0.0028,both->1
DeepFE,pan,0.0638,0->1
DeepFE,pan,0.041,both->0
DeepFE,pan,0.2042,both->1
DeepFE,richoux,0.1535,0->1
DeepFE,richoux,0.0023,both->0
DeepFE,richoux,0,both->1
deepPPI_FC,dscript,1,0->1
deepPPI_FC,dscript,0.9985,both->0
deepPPI_FC,dscript,1,both->1
deepPPI_FC,du,0.1365,0->1
