Model,Dataset,Accuracy
RF_MDS,du,0.755594817432273
SVM_MDS,du,0.727179034157833
RF_node2vec,du,0.751948441247003
SVM_node2vec,du,0.762739808153477
RF_PCA,du,0.762073027090695
SVM_PCA,du,0.601295641931684
RF_MDS,guo,0.610176991150443
SVM_MDS,guo,0.608849557522124
RF_node2vec,guo,0.655942806076854
SVM_node2vec,guo,0.620643431635389
RF_PCA,guo,0.615486725663717
SVM_PCA,guo,0.534513274336283
RF_MDS,huang,0.845203488372093
SVM_MDS,huang,0.828488372093023
RF_node2vec,huang,0.883480825958702
SVM_node2vec,huang,0.661504424778761
RF_PCA,huang,0.841569767441861
SVM_PCA,huang,0.60828488372093
RF_MDS,pan,0.807158801020408
SVM_MDS,pan,0.790816326530612
RF_node2vec,pan,0.859267551575244
SVM_node2vec,pan,0.717255717255717
RF_PCA,pan,0.810028698979592
SVM_PCA,pan,0.671875
RF_MDS,richoux-regular,0.815185783521809
SVM_MDS,richoux-regular,0.803634894991922
RF_node2vec,richoux-regular,0.814072458906407
SVM_node2vec,richoux-regular,0.705551828245555
RF_PCA,richoux-regular,0.812924071082391
SVM_PCA,richoux-regular,0.636752827140549
RF_MDS,richoux-strict,0.645348837209302
SVM_MDS,richoux-strict,0.631782945736434
RF_node2vec,richoux-strict,0.705426356589147
SVM_node2vec,richoux-strict,0.637596899224806
RF_PCA,richoux-strict,0.645348837209302
SVM_PCA,richoux-strict,0.594961240310077
DeepFE,du,0.8355
DeepFE,guo,0.7573
DeepFE,huang,0.9009
DeepFE,pan,0.9175
DeepFE,richoux-regular,0.7968
DeepFE,richoux-strict,0.738
deepPPI_FC,du,0.6374
deepPPI_FC,guo,0.7076
deepPPI_FC,huang,0.862
deepPPI_FC,pan,0.8865
deepPPI_FC,richoux-regular,0.8354
deepPPI_FC,richoux-strict,0.7383
deepPPI_LSTM,du,0.6082
deepPPI_LSTM,guo,0.7955
deepPPI_LSTM,huang,0.8556
deepPPI_LSTM,pan,0.9195
deepPPI_LSTM,richoux-regular,0.7906
deepPPI_LSTM,richoux-strict,0.6211
PIPR,du,0.7166
PIPR,guo,0.8686
PIPR,huang,0.9397
PIPR,pan,0.9676
PIPR,richoux-regular,0.8323
PIPR,richoux-strict,0.6686
SPRINT,du,0.522
SPRINT,guo,0.5797
SPRINT,huang,0.5745
SPRINT,pan,0.7997
SPRINT,richoux-regular,0.8295
SPRINT,richoux-strict,0.7811
