Model,Dataset,Accuracy
degree_cons,du,0.845479373293086
degree_hf,du,0.865746729912319
RF_MDS,du,0.750503018108652
SVM_MDS,du,0.804397815464214
RF_node2vec,du,0.772794117647059
SVM_node2vec,du,0.756470588235294
RF_PCA,du,0.760275941362461
SVM_PCA,du,0.640557631503306
degree_cons,guo,0.643231441048035
degree_hf,guo,0.748908296943232
RF_MDS,guo,0.658951965065502
SVM_MDS,guo,0.644978165938865
RF_node2vec,guo,0.655035335689046
SVM_node2vec,guo,0.619257950530035
RF_PCA,guo,0.663755458515284
SVM_PCA,guo,0.576855895196507
degree_cons,huang,0.908491947291362
degree_hf,huang,0.914348462664714
RF_MDS,huang,0.870967741935484
SVM_MDS,huang,0.834310850439883
RF_node2vec,huang,0.86646884272997
SVM_node2vec,huang,0.643175074183976
RF_PCA,huang,0.846774193548387
SVM_PCA,huang,0.656891495601173
degree_cons,pan,0.904705134318868
degree_hf,pan,0.924256874900652
RF_MDS,pan,0.835320298839612
SVM_MDS,pan,0.884914957876331
RF_node2vec,pan,0.894354967309839
SVM_node2vec,pan,0.719024079094243
RF_PCA,pan,0.881338419965029
SVM_PCA,pan,0.732316006994119
degree_cons,richoux-regular,0.835834896810507
degree_hf,richoux-regular,0.84208880550344
RF_MDS,richoux-regular,0.87156704361874
SVM_MDS,richoux-regular,0.832229402261713
RF_node2vec,richoux-regular,0.821787990607179
SVM_node2vec,richoux-regular,0.706390472995639
RF_PCA,richoux-regular,0.836752827140549
SVM_PCA,richoux-regular,0.696365105008078
degree_cons,richoux-strict,0.714285714285714
degree_hf,richoux-strict,0.720634920634921
RF_MDS,richoux-strict,0.724806201550388
SVM_MDS,richoux-strict,0.684108527131783
RF_node2vec,richoux-strict,0.72093023255814
SVM_node2vec,richoux-strict,0.664728682170543
RF_PCA,richoux-strict,0.695736434108527
SVM_PCA,richoux-strict,0.655038759689923
DeepFE,du,0.8505
DeepFE,guo,0.7473
DeepFE,huang,0.8814
DeepFE,pan,0.9306
DeepFE,richoux-regular,0.8448
DeepFE,richoux-strict,0.6394
deepPPI_FC,du,0.8339
deepPPI_FC,guo,0.7178
deepPPI_FC,huang,0.8898
deepPPI_FC,pan,0.9356
deepPPI_FC,richoux-regular,0.8388
deepPPI_FC,richoux-strict,0.6967
deepPPI_LSTM,du,0.8742
deepPPI_LSTM,guo,0.7609
deepPPI_LSTM,huang,0.9028
deepPPI_LSTM,pan,0.9447
deepPPI_LSTM,richoux-regular,0.8261
deepPPI_LSTM,richoux-strict,0.6419
PIPR,du,0.8796
PIPR,guo,0.85
PIPR,huang,0.9136
PIPR,pan,0.9701
PIPR,richoux-regular,0.8495
PIPR,richoux-strict,0.6472
SPRINT,du,0.5564
SPRINT,guo,0.6026
SPRINT,huang,0.6022
SPRINT,pan,0.798
SPRINT,richoux-regular,0.8204
SPRINT,richoux-strict,0.7858
