Model,Dataset,Accuracy
RF_MDS,dscript,0.67500582072177
SVM_MDS,dscript,0.60046565774156
RF_PCA,dscript,0.680745052386496
SVM_PCA,dscript,0.532991850989523
degree_cons,dscript,0.5
RF_node2vec,dscript,0.67062617260788
SVM_node2vec,dscript,0.560096153846154
RF_MDS,du,0.758263868927853
SVM_MDS,du,0.656654210980167
RF_PCA,du,0.761569416498994
SVM_PCA,du,0.448404713998275
degree_cons,du,0.845479373293086
degree_hf,du,0.865746729912319
RF_node2vec,du,0.767647058823529
SVM_node2vec,du,0.616323529411765
RF_MDS,guo,0.660262008733625
SVM_MDS,guo,0.602183406113537
RF_PCA,guo,0.665065502183406
SVM_PCA,guo,0.50349344978166
degree_cons,guo,0.643231441048035
degree_hf,guo,0.748908296943232
RF_node2vec,guo,0.669611307420495
SVM_node2vec,guo,0.572879858657244
RF_MDS,huang,0.878299120234604
SVM_MDS,huang,0.838709677419355
RF_PCA,huang,0.848240469208211
SVM_PCA,huang,0.477272727272727
degree_cons,huang,0.908491947291362
degree_hf,huang,0.914348462664714
RF_node2vec,huang,0.858308605341246
SVM_node2vec,huang,0.667655786350148
RF_MDS,pan,0.835399777459863
SVM_MDS,pan,0.63582896200922
RF_PCA,pan,0.878000317914481
SVM_PCA,pan,0.432045779685265
degree_cons,pan,0.904705134318868
degree_hf,pan,0.924256874900652
RF_node2vec,pan,0.893637378408547
SVM_node2vec,pan,0.44083878169351
RF_MDS,richoux-regular,0.876978998384491
SVM_MDS,richoux-regular,0.586752827140549
RF_PCA,richoux-regular,0.841518578352181
SVM_PCA,richoux-regular,0.495638126009693
degree_cons,richoux-regular,0.74390243902439
degree_hf,richoux-regular,0.807605905006419
RF_node2vec,richoux-regular,0.824807111707481
SVM_node2vec,richoux-regular,0.475763166722576
RF_MDS,richoux-strict,0.709302325581395
SVM_MDS,richoux-strict,0.571705426356589
RF_PCA,richoux-strict,0.697674418604651
SVM_PCA,richoux-strict,0.465116279069768
degree_cons,richoux-strict,0.676923076923077
degree_hf,richoux-strict,0.726923076923077
RF_node2vec,richoux-strict,0.705426356589147
SVM_node2vec,richoux-strict,0.49031007751938
DeepFE,dscript,0.7974
DeepFE,du,0.5004
DeepFE,guo,0.5007
DeepFE,huang,0.5739
DeepFE,pan,0.7435
DeepFE,richoux-regular,0.5737
DeepFE,richoux-strict,0.5556
deepPPI_FC,dscript,0.58455
deepPPI_FC,du,0.6689
deepPPI_FC,guo,0.5805
deepPPI_FC,huang,0.6611
deepPPI_FC,pan,0.6482
deepPPI_FC,richoux-regular,0.8413
deepPPI_FC,richoux-strict,0.6438
deepPPI_LSTM,dscript,0.5
deepPPI_LSTM,du,0.5016
deepPPI_LSTM,guo,0.4972
deepPPI_LSTM,huang,0.4852
deepPPI_LSTM,pan,0.8912
deepPPI_LSTM,richoux-regular,0.8048
deepPPI_LSTM,richoux-strict,0.6712
PIPR,dscript,0.6733
PIPR,du,0.5057
PIPR,guo,0.5007
PIPR,huang,0.5
PIPR,pan,0.9448
PIPR,richoux-regular,0.7998
PIPR,richoux-strict,0.6316
SPRINT,du,0.3445
SPRINT,guo,0.5849
SPRINT,huang,0.5621
SPRINT,pan,0.8066
SPRINT,richoux-regular,0.8402
SPRINT,richoux-strict,0.7299
SPRINT,dscript,0.5014
D-SCRIPT,du,0.5025
D-SCRIPT,guo,0.6951
D-SCRIPT,huang,0.6779
D-SCRIPT,pan,0.8332
D-SCRIPT,richoux-regular,0.5395
D-SCRIPT,richoux-strict,0.7273
D-SCRIPT,dscript,0.72745
Topsy_Turvy,du,0.4995
Topsy_Turvy,guo,0.6463
Topsy_Turvy,huang,0.5
Topsy_Turvy,pan,0.8119
Topsy_Turvy,richoux-regular,0.7456
Topsy_Turvy,richoux-strict,0.7364
Topsy_Turvy,dscript,0.50235
