Model,Dataset,F1
degree_cons,dscript,0
RF_MDS,dscript,0.504201680672269
SVM_MDS,dscript,0.218353057810273
RF_node2vec,dscript,0.501825423166279
SVM_node2vec,dscript,0.179542251157796
RF_PCA,dscript,0.522128135484902
SVM_PCA,dscript,0.172061623680111
degree_cons,du,0.829120966460022
degree_hf,du,0.858570563294973
RF_MDS,du,0.770228285830069
SVM_MDS,du,0.64146653403439
RF_node2vec,du,0.780651474905634
SVM_node2vec,du,0.614084507042254
RF_PCA,du,0.774131539200879
SVM_PCA,du,0.535740247152896
degree_cons,guo,0.697966728280961
degree_hf,guo,0.756045820958846
RF_MDS,guo,0.637393767705382
SVM_MDS,guo,0.603703703703704
RF_node2vec,guo,0.630383341221013
SVM_node2vec,guo,0.607689127738735
RF_PCA,guo,0.643382352941177
SVM_PCA,guo,0.585639491398654
degree_cons,huang,0.901652242328875
degree_hf,huang,0.90965250965251
RF_MDS,huang,0.875555555555556
SVM_MDS,huang,0.825757575757576
RF_node2vec,huang,0.847512038523275
SVM_node2vec,huang,0.645614035087719
RF_PCA,huang,0.844094488188976
SVM_PCA,huang,0.572928821470245
degree_cons,pan,0.897231507671209
degree_hf,pan,0.920536979904944
RF_MDS,pan,0.850044896737504
SVM_MDS,pan,0.626855768433275
RF_node2vec,pan,0.891922639362912
SVM_node2vec,pan,0.467208497626137
RF_PCA,pan,0.875951776649746
SVM_PCA,pan,0.455214908325819
degree_cons,richoux-regular,0.796726847642551
degree_hf,richoux-regular,0.836499791984468
RF_MDS,richoux-regular,0.871658615136876
SVM_MDS,richoux-regular,0.524899322266968
RF_node2vec,richoux-regular,0.816403568977351
SVM_node2vec,richoux-regular,0.439092495636998
RF_PCA,richoux-regular,0.836910930175179
SVM_PCA,richoux-regular,0.551228624802414
degree_cons,richoux-strict,0.714285714285714
degree_hf,richoux-strict,0.725274725274725
RF_MDS,richoux-strict,0.640776699029126
SVM_MDS,richoux-strict,0.570909090909091
RF_node2vec,richoux-strict,0.655737704918033
SVM_node2vec,richoux-strict,0.499047619047619
RF_PCA,richoux-strict,0.641330166270784
SVM_PCA,richoux-strict,0.508771929824562
DeepFE,dscript,0.667
DeepFE,du,0.6669
DeepFE,guo,0.6672
DeepFE,huang,0.6994
DeepFE,pan,0.7868
DeepFE,richoux-regular,0.6851
DeepFE,richoux-strict,0.6637
deepPPI_FC,dscript,0.2882
deepPPI_FC,du,0.7406
deepPPI_FC,guo,0.6043
deepPPI_FC,huang,0.7189
deepPPI_FC,pan,0.7212
deepPPI_FC,richoux-regular,0.853
deepPPI_FC,richoux-strict,0.5185
deepPPI_LSTM,dscript,0
deepPPI_LSTM,du,0.6681
deepPPI_LSTM,guo,0.6629
deepPPI_LSTM,huang,0.6534
deepPPI_LSTM,pan,0.8758
deepPPI_LSTM,richoux-regular,0.8005
deepPPI_LSTM,richoux-strict,0.5902
PIPR,dscript,0.4867
PIPR,du,0.0288
PIPR,guo,0.6672
PIPR,huang,0.6667
PIPR,pan,0.9427
PIPR,richoux-regular,0.7829
PIPR,richoux-strict,0.4706
SPRINT,du,0.3445
SPRINT,guo,0.5849
SPRINT,huang,0.5621
SPRINT,pan,0.8066
SPRINT,richoux-regular,0.8402
SPRINT,richoux-strict,0.7299
SPRINT,dscript,0.5014
D-SCRIPT,du,0.0115
D-SCRIPT,guo,0.6695
D-SCRIPT,huang,0.5473
D-SCRIPT,pan,0.817
D-SCRIPT,richoux-regular,0.1721
D-SCRIPT,richoux-strict,0.6774
D-SCRIPT,dscript,0.5782
Topsy_Turvy,du,0.0191
Topsy_Turvy,guo,0.6003
Topsy_Turvy,huang,0
Topsy_Turvy,pan,0.781
Topsy_Turvy,richoux-regular,0.6817
Topsy_Turvy,richoux-strict,0.6813
Topsy_Turvy,dscript,0.0097
