Model,Dataset,MCC
degree_cons,dscript,0
RF_MDS,dscript,0.530109449292642
SVM_MDS,dscript,0.116412380118289
RF_node2vec,dscript,0.527251250288661
SVM_node2vec,dscript,0.0526743933683091
RF_PCA,dscript,0.53686190178457
SVM_PCA,dscript,0.0340124197067667
degree_cons,du,0.703934266074126
degree_hf,du,0.735263908827391
RF_MDS,du,0.515299200989292
SVM_MDS,du,0.274862480757876
RF_node2vec,du,0.541455581577949
SVM_node2vec,du,0.234442440950897
RF_PCA,du,0.529478381572115
SVM_PCA,du,-0.109335488474967
degree_cons,guo,0.307361958243832
degree_hf,guo,0.498671060385822
RF_MDS,guo,0.333036660151345
SVM_MDS,guo,0.254044460378361
RF_node2vec,guo,0.312866659053149
SVM_node2vec,guo,0.163197888119837
RF_PCA,guo,0.323880028233948
SVM_PCA,guo,0.0343009108677711
degree_cons,huang,0.825003398173961
degree_hf,huang,0.833211100412906
RF_MDS,huang,0.753824534078141
SVM_MDS,huang,0.664140225212561
RF_node2vec,huang,0.726467996132819
SVM_node2vec,huang,0.252394316182528
RF_PCA,huang,0.716515909621793
SVM_PCA,huang,-0.0854203042254063
degree_cons,pan,0.818109877295297
degree_hf,pan,0.852257327445691
RF_MDS,pan,0.686776250387558
SVM_MDS,pan,0.285848485414434
RF_node2vec,pan,0.788471161070103
SVM_node2vec,pan,-0.0558218572315503
RF_PCA,pan,0.751397293102208
SVM_PCA,pan,-0.153465332464726
degree_cons,richoux-regular,0.564191503243812
degree_hf,richoux-regular,0.654787539987624
RF_MDS,richoux-regular,0.742503386537524
SVM_MDS,richoux-regular,0.233830864611432
RF_node2vec,richoux-regular,0.64170870100799
SVM_node2vec,richoux-regular,-0.0783994811153095
RF_PCA,richoux-regular,0.680078169353327
SVM_PCA,richoux-regular,-0.00933973636084242
degree_cons,richoux-strict,0.36660661001142
degree_hf,richoux-strict,0.425208306455821
RF_MDS,richoux-strict,0.465884261619708
SVM_MDS,richoux-strict,0.086021546474855
RF_node2vec,richoux-strict,0.458368631596516
SVM_node2vec,richoux-strict,-0.0193916471482565
RF_PCA,richoux-strict,0.446069595948537
SVM_PCA,richoux-strict,-0.0872027739283239
DeepFE,dscript,0.6618
DeepFE,du,0.7013
DeepFE,guo,0.4953
DeepFE,huang,0.7666
DeepFE,pan,0.8612
DeepFE,richoux-regular,0.6899
DeepFE,richoux-strict,0.3049
deepPPI_FC,dscript,0.6474
deepPPI_FC,du,0.668
deepPPI_FC,guo,0.4383
deepPPI_FC,huang,0.7801
deepPPI_FC,pan,0.871
deepPPI_FC,richoux-regular,0.68
deepPPI_FC,richoux-strict,0.4303
deepPPI_LSTM,dscript,0.6979
deepPPI_LSTM,du,0.7526
deepPPI_LSTM,guo,0.5337
deepPPI_LSTM,huang,0.8098
deepPPI_LSTM,pan,0.8907
deepPPI_LSTM,richoux-regular,0.6531
deepPPI_LSTM,richoux-strict,0.3083
PIPR,dscript,0.7055
PIPR,du,0.761
PIPR,guo,0.7005
PIPR,huang,0.8355
PIPR,pan,0.9407
PIPR,richoux-regular,0.6991
PIPR,richoux-strict,0.3775
SPRINT,du,0.3445
SPRINT,guo,0.5849
SPRINT,huang,0.5621
SPRINT,pan,0.8066
SPRINT,richoux-regular,0.8402
SPRINT,richoux-strict,0.7299
SPRINT,dscript,0.5014
D-SCRIPT,du,0.0423
D-SCRIPT,guo,0.2677
D-SCRIPT,huang,0.505
D-SCRIPT,pan,0.3695
D-SCRIPT,richoux-regular,0.1224
D-SCRIPT,richoux-strict,-0.0829
D-SCRIPT,dscript,0.1402
Topsy_Turvy,du,0.1549
Topsy_Turvy,guo,0.032
Topsy_Turvy,huang,
Topsy_Turvy,pan,0.2786
Topsy_Turvy,richoux-regular,0.1275
Topsy_Turvy,richoux-strict,0.0182
Topsy_Turvy,dscript,0.2209
