Model,Dataset,Recall
RF_MDS,du,0.813164702500719
SVM_MDS,du,0.816901408450704
RF_node2vec,du,0.799411764705882
SVM_node2vec,du,0.747352941176471
RF_PCA,du,0.80310434032768
SVM_PCA,du,0.47887323943662
RF_MDS,guo,0.614847161572052
SVM_MDS,guo,0.599126637554585
RF_node2vec,guo,0.618374558303887
SVM_node2vec,guo,0.569787985865724
RF_PCA,guo,0.625327510917031
SVM_PCA,guo,0.452401746724891
RF_MDS,huang,0.818181818181818
SVM_MDS,huang,0.780058651026393
RF_node2vec,huang,0.804154302670623
SVM_node2vec,huang,0.520771513353116
RF_PCA,huang,0.790322580645161
SVM_PCA,huang,0.403225806451613
RF_MDS,pan,0.879351454458751
SVM_MDS,pan,0.892862819901447
RF_node2vec,pan,0.864614893956307
SVM_node2vec,pan,0.594642002870356
RF_PCA,pan,0.869814020028612
SVM_PCA,pan,0.592910507073597
RF_MDS,richoux-regular,0.865266558966074
SVM_MDS,richoux-regular,0.777705977382876
RF_node2vec,richoux-regular,0.802247567930225
SVM_node2vec,richoux-regular,0.649614223414961
RF_PCA,richoux-regular,0.827463651050081
SVM_PCA,richoux-regular,0.603554119547658
RF_MDS,richoux-strict,0.496124031007752
SVM_MDS,richoux-strict,0.5
RF_node2vec,richoux-strict,0.538759689922481
SVM_node2vec,richoux-strict,0.503875968992248
RF_PCA,richoux-strict,0.531007751937985
SVM_PCA,richoux-strict,0.503875968992248
DeepFE,du,0.8376
DeepFE,guo,0.7214
DeepFE,huang,0.9312
DeepFE,pan,0.9354
DeepFE,richoux-regular,0.8645
DeepFE,richoux-strict,0.4457
deepPPI_FC,du,0.8229
deepPPI_FC,guo,0.6606
deepPPI_FC,huang,0.8607
deepPPI_FC,pan,0.9245
deepPPI_FC,richoux-regular,0.8862
deepPPI_FC,richoux-strict,0.4961
deepPPI_LSTM,du,0.8229
deepPPI_LSTM,guo,0.6546
deepPPI_LSTM,huang,0.9504
deepPPI_LSTM,pan,0.9075
deepPPI_LSTM,richoux-regular,0.8051
deepPPI_LSTM,richoux-strict,0.4492
PIPR,du,0.8448
PIPR,guo,0.869
PIPR,huang,0.8433
PIPR,pan,0.9544
PIPR,richoux-regular,0.8609
PIPR,richoux-strict,0.3411
SPRINT,du,0.3445
SPRINT,guo,0.5849
SPRINT,huang,0.5621
SPRINT,pan,0.8066
SPRINT,richoux-regular,0.8402
SPRINT,richoux-strict,0.7299
