Model,Dataset,Recall
degree_cons,dscript,0
RF_MDS,dscript,0.355995343422584
SVM_MDS,dscript,0.558323632130384
RF_node2vec,dscript,0.347091932457786
SVM_node2vec,dscript,0.544324577861163
RF_PCA,dscript,0.369033760186263
SVM_PCA,dscript,0.69802095459837
degree_cons,du,0.749856239217941
degree_hf,du,0.815123634272571
RF_MDS,du,0.828398965219891
SVM_MDS,du,0.701925840758839
RF_node2vec,du,0.82
SVM_node2vec,du,0.663823529411765
RF_PCA,du,0.805403851681518
SVM_PCA,du,0.635527450416786
degree_cons,guo,0.824454148471616
degree_hf,guo,0.778165938864629
RF_MDS,guo,0.591266375545852
SVM_MDS,guo,0.555458515283843
RF_node2vec,guo,0.598939929328622
SVM_node2vec,guo,0.566254416961131
RF_PCA,guo,0.625327510917031
SVM_PCA,guo,0.631441048034935
degree_cons,huang,0.838945827232797
degree_hf,huang,0.862371888726208
RF_MDS,huang,0.868035190615836
SVM_MDS,huang,0.799120234604106
RF_node2vec,huang,0.79080118694362
SVM_node2vec,huang,0.768545994065282
RF_PCA,huang,0.790322580645161
SVM_PCA,huang,0.736070381231672
degree_cons,pan,0.831982196789064
degree_hf,pan,0.877443967572723
RF_MDS,pan,0.898903195040534
SVM_MDS,pan,0.570656493403275
RF_node2vec,pan,0.873863817572955
SVM_node2vec,pan,0.432785839579014
RF_PCA,pan,0.877602924813225
SVM_PCA,pan,0.612939119376888
degree_cons,richoux-regular,0.982670089858793
degree_hf,richoux-regular,0.969833119383825
RF_MDS,richoux-regular,0.879159935379645
SVM_MDS,richoux-regular,0.577867528271406
RF_node2vec,richoux-regular,0.806273062730627
SVM_node2vec,richoux-regular,0.449010399194901
RF_PCA,richoux-regular,0.827463651050081
SVM_PCA,richoux-regular,0.618093699515347
degree_cons,richoux-strict,0.784615384615385
degree_hf,richoux-strict,0.753846153846154
RF_MDS,richoux-strict,0.511627906976744
SVM_MDS,richoux-strict,0.523255813953488
RF_node2vec,richoux-strict,0.51937984496124
SVM_node2vec,richoux-strict,0.476744186046512
RF_PCA,richoux-strict,0.492248062015504
SVM_PCA,richoux-strict,0.573643410852713
DeepFE,dscript,0.6184
DeepFE,du,1
DeepFE,guo,1
DeepFE,huang,0.9912
DeepFE,pan,0.9464
DeepFE,richoux-regular,0.9165
DeepFE,richoux-strict,0.8721
deepPPI_FC,dscript,0.1702
deepPPI_FC,du,0.942
deepPPI_FC,guo,0.6416
deepPPI_FC,huang,0.8931
deepPPI_FC,pan,0.9564
deepPPI_FC,richoux-regular,0.9102
deepPPI_FC,richoux-strict,0.3828
deepPPI_LSTM,dscript,0
deepPPI_LSTM,du,1
deepPPI_LSTM,guo,0.99
deepPPI_LSTM,huang,1
deepPPI_LSTM,pan,0.8061
deepPPI_LSTM,richoux-regular,0.7737
deepPPI_LSTM,richoux-strict,0.4727
PIPR,dscript,0.3579
PIPR,du,0.0147
PIPR,guo,1
PIPR,huang,1
PIPR,pan,0.907
PIPR,richoux-regular,0.7135
PIPR,richoux-strict,0.3256
SPRINT,du,0.3445
SPRINT,guo,0.5849
SPRINT,huang,0.5621
SPRINT,pan,0.8066
SPRINT,richoux-regular,0.8402
SPRINT,richoux-strict,0.7299
SPRINT,dscript,0.5014
D-SCRIPT,du,0.0058
D-SCRIPT,guo,0.6175
D-SCRIPT,huang,0.3895
D-SCRIPT,pan,0.7445
D-SCRIPT,richoux-regular,0.0957
D-SCRIPT,richoux-strict,0.5727
D-SCRIPT,dscript,0.4707
Topsy_Turvy,du,0.0097
Topsy_Turvy,guo,0.531
Topsy_Turvy,huang,0
Topsy_Turvy,pan,0.6706
Topsy_Turvy,richoux-regular,0.5448
Topsy_Turvy,richoux-strict,0.5636
Topsy_Turvy,dscript,0.0049
